organization,visible_url,domain,organization_type,specialty,confidence,notes
Allegheny County Health Department,https://www.alleghenycounty.us/Services/Health-Department,alleghenycounty.us,Local Government,County health department Pennsylvania,high,Official county health department
Ohio Department of Health,https://odh.ohio.gov,odh.ohio.gov,State Government,State health department,high,Official state health department
South Carolina Department of Public Health,https://dph.sc.gov,dph.sc.gov,State Government,State health department,high,Official state health department
Los Angeles County Public Health Laboratory,http://publichealth.lacounty.gov/lab,publichealth.lacounty.gov,Public Health Laboratory,County public health laboratory,high,Official county public health laboratory
Washington State Department of Health,https://doh.wa.gov,doh.wa.gov,State Government,State health department,high,Official state health department
Cincinnati Health Department,https://www.cincinnati-oh.gov/health,cincinnati-oh.gov,Local Government,City health department,high,Official city health department
Kansas City Health Department,https://www.kcmo.gov/city-hall/departments/health,kcmo.gov,Local Government,City health department Missouri,high,Official city health department
California Department of Public Health,https://www.cdph.ca.gov,cdph.ca.gov,State Government,State health department,high,Official state health department
Georgia Department of Public Health,https://dph.georgia.gov,dph.georgia.gov,State Government,State health department,high,Official state health department
Shelby County Health Department,https://www.shelbyhealth.com,shelbyhealth.com,Local Government,County health department Tennessee,high,Official county health department
Rhode Island Department of Health,https://health.ri.gov,health.ri.gov,State Government,State health department,high,Official state health department
Philadelphia Department of Public Health,https://www.phila.gov/departments/department-of-public-health,phila.gov,Local Government,City health department,high,Official city health department
Louisiana Department of Health,https://ldh.la.gov,ldh.la.gov,State Government,State health department,high,Official state health department
Connecticut Department of Public Health,https://portal.ct.gov/dph,portal.ct.gov,State Government,State health department,high,Official state health department
Washington County Health Department,https://wadcohealth.org,wadcohealth.org,Local Government,County health department,high,Official county health department
Illinois Public Health Institute,https://ilphi.org,ilphi.org,Public Health Institute,Health equity and community health,high,State public health institute nonprofit
Knox County Health Department,https://www.knoxcounty.org/health,knoxcounty.org,Local Government,County health department Tennessee,high,Official county health department
New York Health Foundation,https://nyhealthfoundation.org,nyhealthfoundation.org,Foundation,State health philanthropy nutrition physical activity,high,State's largest independent health philanthropy
Massachusetts Department of Public Health,https://www.mass.gov/orgs/department-of-public-health,mass.gov,State Government,State health department,high,PHAB-accredited state health department
Salt Lake County Health Department,https://slco.org/health,slco.org,Local Government,County community and environmental health,high,Official county health department
Arkansas Department of Health,https://healthy.arkansas.gov,healthy.arkansas.gov,State Government,State health department laboratory emergency response,high,Official state health department
Alabama Department of Public Health,https://alabamapublichealth.gov,alabamapublichealth.gov,State Government,State health department,high,Official state health department
Texas Department of State Health Services,https://www.dshs.texas.gov,dshs.texas.gov,State Government,State health department regional public health,high,Official state health department
Vermont Department of Health,https://www.healthvermont.gov,healthvermont.gov,State Government,State health department,high,Official state health department
Mississippi State Department of Health,https://msdh.ms.gov,msdh.ms.gov,State Government,State health department,high,Official state health department
North Central Health District,https://northcentralhealthdistrict.org,northcentralhealthdistrict.org,Local Government,Regional health district Georgia,high,Health district serving multiple counties
Howard County Health Department,https://www.howardcountymd.gov/health,howardcountymd.gov,Local Government,County health department Maryland,high,Official county health department
Worcester County Health Department,https://www.worcesterhealth.org,worcesterhealth.org,Local Government,County health department Maryland,high,Official county health department
New Orleans Health Department,https://nola.gov,nola.gov,Local Government,City health department Louisiana,high,Official city health department
Tennessee Department of Health,https://www.tn.gov/health,tn.gov,State Government,State health department,high,Official state health department
Jackson County Health Department,https://jchdonline.org,jchdonline.org,Local Government,County health department Michigan,high,Official county health department
American Public Health Association,https://www.apha.org,apha.org,Nonprofit,National public health professional association,high,National professional association for public health
Minnesota Department of Health,https://www.health.state.mn.us,health.state.mn.us,State Government,State health department,high,Official state health department
Tulsa Health Department,https://tulsa-health.org,tulsa-health.org,Local Government,City-county health department Oklahoma,high,Official local health department
Milwaukee Health Department,https://city.milwaukee.gov/Health,city.milwaukee.gov,Local Government,City health department Wisconsin,high,Official city health department
Toledo-Lucas County Health Department,https://lucascountyhealth.com,lucascountyhealth.com,Local Government,County health department Ohio,high,Official county health department
Oklahoma State Department of Health,https://oklahoma.gov/health,oklahoma.gov,State Government,State health department,high,Official state health department
Pitt County Public Health,https://www.pittcountync.gov/Public-Health,pittcountync.gov,Local Government,County health department North Carolina,high,Official county health department
Utah Public Health Laboratory,https://uphl.utah.gov,uphl.utah.gov,Public Health Laboratory,State public health laboratory,high,Official state public health laboratory
Missouri Department of Health and Senior Services,https://health.mo.gov,health.mo.gov,State Government,State health department,high,Official state health department
Multnomah County Health Department,https://multco.us,multco.us,Local Government,County health department Oregon,high,Official county health department
Alameda County Public Health Department,https://health.alamedacountygov.gov,health.alamedacountygov.gov,Local Government,County health department California,high,Official county health department
North Dakota Health and Human Services,https://www.hhs.nd.gov,hhs.nd.gov,State Government,State health department,high,Official state health department
Kent County Health Department,https://www.kentcountymi.gov/Health-Department,kentcountymi.gov,Local Government,County health department Michigan,high,Official county health department
Kentucky Department for Public Health,https://chfs.ky.gov,chfs.ky.gov,State Government,State health department,high,Cabinet for Health and Family Services DPH
Harris County Public Health,https://publichealth.harriscountytx.gov,publichealth.harriscountytx.gov,Local Government,County health department Texas,high,Official county health department
Wauwatosa Health Department,https://www.wauwatosa.net,wauwatosa.net,Local Government,City health department Wisconsin,high,Official city health department
Oregon State Public Health Laboratory,https://www.oregon.gov/oha/ph/lab/pages/index.aspx,oregon.gov,Public Health Laboratory,State public health laboratory,high,Official state public health laboratory
Arizona Department of Health Services,https://www.azdhs.gov,azdhs.gov,State Government,State health department,high,Official state health department
Guilford County Public Health,https://www.guilfordcountync.gov,guilfordcountync.gov,Local Government,County health department North Carolina,high,Official county health department
Mobile County Health Department,https://mchd.org,mchd.org,Local Government,County health department Alabama,high,Official county health department
Long Beach Department of Health and Human Services,https://www.longbeach.gov/health,longbeach.gov,Local Government,City health department California,high,Official city health department
San Diego County Public Health Laboratory,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs.html,sandiegocounty.gov,Public Health Laboratory,County public health laboratory,high,Official county public health laboratory
New Mexico Department of Health,https://www.nmhealth.org,nmhealth.org,State Government,State health department,high,Official state health department
Ingham County Health Department,https://health.ingham.org,health.ingham.org,Local Government,County health department Michigan,high,Official county health department
Apicha Community Health Center,https://apicha.org,apicha.org,Nonprofit,Community health center primary care behavioral health,medium,Community health organization serving NYC
Cambridge Public Health Department,https://www.cambridgepublichealth.org,cambridgepublichealth.org,Local Government,Municipal public health department Massachusetts,high,Official city health department
Connecticut Health Foundation,https://www.cthealth.org,cthealth.org,Foundation,State health philanthropy systems change,high,State's largest independent health philanthropy
Louisville Metro Department of Public Health and Wellness,https://louisvilleky.gov,louisvilleky.gov,Local Government,City-county health department Kentucky,high,Official local health department
Peoria City/County Health Department,https://www.pccphd.org,pccphd.org,Local Government,Joint city-county health department Illinois,high,Official local health department
City of Laredo Health Department,https://www.cityoflaredo.com,cityoflaredo.com,Local Government,City health department Texas,high,Academic public health department designation
Maricopa County Public Health,https://www.maricopa.gov,maricopa.gov,Local Government,County health department Arizona,high,Official county health department
Santa Clara County Public Health Department,https://publichealth.sccgov.org,publichealth.sccgov.org,Local Government,County health department California,high,Official county health department
Public Health Seattle and King County,https://kingcounty.gov,kingcounty.gov,Local Government,County health department Washington,high,Official county health department
Iowa Department of Health and Human Services,https://hhs.iowa.gov,hhs.iowa.gov,State Government,State health department,high,Official state health department
Pasadena Public Health Department,https://www.cityofpasadena.net,cityofpasadena.net,Local Government,City health department California,high,Official city health department
City of St. Louis Department of Health,https://www.stlouis-mo.gov,stlouis-mo.gov,Local Government,City health department Missouri,high,Official city health department
Idaho Department of Health and Welfare,https://healthandwelfare.idaho.gov,healthandwelfare.idaho.gov,State Government,State health department,high,Official state health department
Chemung County Health Department,https://www.chemungcountyny.gov,chemungcountyny.gov,Local Government,County health department New York,high,Official county health department
Ocean County Health Department,https://www.oceancountyhealth.gov,oceancountyhealth.gov,Local Government,County health department New Jersey,high,Official county health department
AIDS Healthcare Foundation,https://www.aidshealth.org,aidshealth.org,Global Health,Global HIV/AIDS public health nonprofit,medium,Global public health nonprofit
Tacoma-Pierce County Health Department,https://tpchd.org,tpchd.org,Local Government,Joint city-county health department Washington,high,Official local health department
Florida Department of Health in Orange County,https://orange.floridahealth.gov,orange.floridahealth.gov,Local Government,County health department Florida,high,County unit of Florida DOH
Will County Health Department,https://willcountyhealth.org,willcountyhealth.org,Local Government,County health department Illinois,high,Official county health department
Georgia Department of Community Health,https://dch.georgia.gov,dch.georgia.gov,State Government,State health agency Medicaid CHIP,high,Major state health agency
Eau Claire City-County Health Department,https://www.eauclairewi.gov,eauclairewi.gov,Local Government,Joint city-county health department Wisconsin,high,Official local health department
Oakland County Health Division,https://www.oakgov.com,oakgov.com,Local Government,County health department Michigan,high,Official county health department
Maine Department of Health and Human Services,https://www.maine.gov,maine.gov,State Government,State health department,high,Official state health department
New Bedford Health Department,https://www.newbedford-ma.gov,newbedford-ma.gov,Local Government,City health department Massachusetts,high,Official city health department
Lawrence-Douglas County Health Department,https://ldchealth.org,ldchealth.org,Local Government,County health department Kansas,high,Official county health department
Springfield-Greene County Health Department,https://www.springfieldmo.gov,springfieldmo.gov,Local Government,Joint city-county health department Missouri,high,Official local health department
Illinois Department of Public Health,https://www.illinois.gov,illinois.gov,State Government,State health department,high,Official state health department
Oklahoma City-County Health Department,https://occhd.org,occhd.org,Local Government,Joint city-county health department Oklahoma,high,Official local health department
Clay County Public Health Center,https://www.clayhealth.com,clayhealth.com,Local Government,County health department Missouri,high,Official county health department
Metro Nashville Public Health Department,https://www.nashville.gov,nashville.gov,Local Government,Metro health department Tennessee,high,Official metro health department
Pennsylvania Public Health Institute,https://phmc.org,phmc.org,Public Health Institute,State public health institute network,high,Pennsylvania public health institute
St. Louis County Department of Public Health,https://stlouiscountymo.gov,stlouiscountymo.gov,Local Government,County health department Missouri,high,Official county health department
North Shore Health Department,https://nshealthdept.org,nshealthdept.org,Local Government,Multi-jurisdictional health department Wisconsin,high,Official local health department
District 4 Public Health,https://district4health.org,district4health.org,Local Government,Public health district Georgia,high,Official regional health district
Benzie-Leelanau District Health Department,https://bldhd.org,bldhd.org,Local Government,District health department Michigan,high,Official district health department
Cape May County Health Department,https://capemaycountynj.gov,capemaycountynj.gov,Local Government,County health department New Jersey,high,Official county health department
Riverside University Health System,https://ruhealth.org,ruhealth.org,Local Government,County health system California,high,Official county health system
Lake County Health Department,https://www.lakecountyil.gov,lakecountyil.gov,Local Government,County health department Illinois,high,Official county health department
Columbia/Boone County Public Health,https://como.gov,como.gov,Local Government,City health department Missouri,high,Official city health department
Brazoria County Health Department,https://brazoriacountytx.gov,brazoriacountytx.gov,Local Government,County health department Texas,high,Official county health department
Milford Health Department,https://milfordct.us,milfordct.us,Local Government,City health department Connecticut,high,Official city health department
Elkhart County Health Department,https://elkhartcountyhealth.com,elkhartcountyhealth.com,Local Government,County health department Indiana,high,Official county health department
Clinton County Health Department,https://clintoncountygov.com,clintoncountygov.com,Local Government,County health department New York,high,Official county health department
Paulding County Health Department,https://paulding.gov,paulding.gov,Local Government,County health department Georgia,high,Official county health department
Community Health Alliance,https://chanevada.org,chanevada.org,Nonprofit,Community health center Nevada,high,Nevada community health nonprofit
Walla Walla County Community Health,https://dchs.waconwa.gov,dchs.waconwa.gov,Local Government,County health department Washington,high,Official county health department
Westford Health Department,https://westfordma.gov,westfordma.gov,Local Government,Town health department Massachusetts,high,Official town health department
Snohomish County Health Department,https://snohd.org,snohd.org,Local Government,County health department Washington,high,Official county health department
Unified Government of Wyandotte County/Kansas City KS,https://wycokck.org,wycokck.org,Local Government,Unified government health department Kansas,high,Official local health department
Siouxland District Health Department,https://siouxlanddistricthealth.org,siouxlanddistricthealth.org,Local Government,District health department Iowa,high,Official district health department
Paso del Norte Health Foundation,https://pdnhf.org,pdnhf.org,Foundation,Regional health foundation border region,high,Health foundation serving Paso del Norte region
Butte County Public Health,https://www.buttecounty.net,buttecounty.net,Local Government,County health department California,high,Official county health department
Cecil County Health Department,https://cecilcountyhealth.org,cecilcountyhealth.org,Local Government,County health department Maryland,high,PHAB Level III accredited local health department
Wilkes County Health Department,https://www.wilkescounty.net,wilkescounty.net,Local Government,County health department North Carolina,high,Official county health department
Jefferson County Health Department,https://www.jeffersoncountywi.gov,jeffersoncountywi.gov,Local Government,County health department Wisconsin,high,Official county health department
Wyoming Department of Health,https://health.wyo.gov,health.wyo.gov,State Government,State health department,high,Official state health department
Utah Association of Local Health Departments,https://ualhd.org,ualhd.org,Policy Organization,Advocacy for Utah local health departments,high,Professional association for local health departments
Hawaii State Department of Health,https://health.hawaii.gov,health.hawaii.gov,State Government,State health department,high,Official state health department
Legacy Community Health,https://www.legacycommunityhealth.org,legacycommunityhealth.org,Nonprofit,Community health clinic network Texas,high,Community health services for underserved populations
Santa Cruz County Health Services Agency,https://www.santacruzhealth.org,santacruzhealth.org,Local Government,County health services California,high,Official county health department
Humboldt County Public Health Laboratory,https://humboldtgov.org,humboldtgov.org,Public Health Laboratory,County public health laboratory California,high,Official county public health laboratory
Monterey County Health Department,https://www.countyofmonterey.gov,countyofmonterey.gov,Local Government,County health department California,high,Official county health department
Jefferson County Public Health,https://www.jeffersoncountyoregon.gov,jeffersoncountyoregon.gov,Local Government,County community health Oregon,medium,County community health services
Hoke County Health Department,https://www.hokecounty.net,hokecounty.net,Local Government,County health department North Carolina,high,Official county health department
Pierce County Public Health,https://www.co.pierce.wi.us,co.pierce.wi.us,Local Government,County health department Wisconsin,high,Official county health department
Saline County Health Department,https://www.salinecountyks.gov,salinecountyks.gov,Local Government,County health department Kansas,high,Official county health department
Wisconsin Department of Health Services,https://www.dhs.wisconsin.gov,dhs.wisconsin.gov,State Government,State health department division of public health,high,Official state health department
Polk County Health Department,https://www.polkcountyiowa.gov,polkcountyiowa.gov,Local Government,County health department Iowa,high,Official county health department
Lincoln-Lancaster County Health Department,https://lincoln.ne.gov,lincoln.ne.gov,Local Government,City health department Nebraska,high,Official city health department
West Central Health District,https://westcentralhealthdistrict.com,westcentralhealthdistrict.com,Local Government,Multi-county health district Georgia,high,Official regional health district
Cudahy Health Department,https://www.cudahywi.gov,cudahywi.gov,Local Government,City health department Wisconsin,high,Official city health department
National Association of County and City Health Officials,https://www.naccho.org,naccho.org,Nonprofit,National local health department membership organization,high,National membership and advocacy organization for local health departments
Iredell County Health Department,https://www.iredellcountync.gov,iredellcountync.gov,Local Government,County health department North Carolina,high,Official county health department
Rockland Board of Health,https://www.rockland-ma.gov,rockland-ma.gov,Local Government,Town health department Massachusetts,medium,Official town health department
Municipality of Anchorage Health Department,https://www.muni.org,muni.org,Local Government,City health department Alaska,high,Official city health department
Oregon Public Health Institute,https://nnphi.org/members/oregon-public-health-institute,nnphi.org,Public Health Institute,Equity and emerging health issues Oregon,high,Member of National Network of Public Health Institutes
NC Local Health Department Accreditation Program,https://ncdhaccreditation.unc.edu,ncdhaccreditation.unc.edu,Policy Organization,Health department accreditation program evaluation,medium,North Carolina local health department accreditation body
