employer,job_title,url,remote_status,salary,role_family,search_term,why_potentially_relevant,risk_or_concern,source_queue,agent
Genesis Research Group,Principal Scientist Analytics,https://genesisrg.com/careers/e124521c-ba72-4a2f-a1c2-db94e85a9bf4/,Flexible hybrid or remote,not_specified,Research Scientist,data,Principal analytics scientist for client RWE/HEOR analytics; R/SAS statistical methods.,Hybrid/remote flexibility not fully remote-only,job_search_queue_C,expansion-C
Guidehouse,Public Health Technical Lead,https://www.remoterocketship.com/us/company/guidehouse/jobs/public-health-technical-lead-united-states-remote/,Remote (US),not_specified,Public Health Analyst,public health,Public health technical lead for federal health informatics modernization.,None noted,job_search_queue_C,expansion-C
Guidehouse,Senior Associate Public Health Economic Modeling,https://guidehouse.searchgreatcareers.com/job/atlanta/senior-associate-public-health-economic-modeling/25181/92853089360,remote unclear,not_specified,HEOR/RWE,HEOR,Health economics and public health economic modeling for federal health programs.,Requires US citizenship; location not specified,job_search_queue_C,expansion-C
HealthVerity,Lead Healthcare Data Analyst (Post-sale),https://healthverity.com/careers/jobs/?gh_jid=5260658008,remote unclear,not_specified,Healthcare Data Analyst,data,Graduate degree in epidemiology/biostatistics; RWD insights for life sciences clients.,Philadelphia PA listed; post-sale client services focus,job_search_queue_C,expansion-C
HealthVerity,Lead Healthcare Data Analyst (Pre-sale),https://healthverity.com/careers/jobs/,remote unclear,not_specified,Healthcare Data Analyst,data,RWD analyst role likely requiring epidemiology/biostatistics background.,Pre-sale may involve demos; remote policy unclear,job_search_queue_C,expansion-C
Inovalon,Informaticist,https://www.inovalon.com/careers,Remote United States,not_specified,Clinical Informatics,informatics,Healthcare informatics role at major healthcare data analytics platform.,Direct job URL not captured,job_search_queue_C,expansion-C
Inovalon,Senior Director Informatics,https://www.inovalon.com/careers,Remote United States,not_specified,Clinical Informatics,informatics,Senior informatics leadership at healthcare data and analytics company.,Director-level title,job_search_queue_C,expansion-C
Inovalon,Senior Product Manager Healthcare Data Products,https://www.inovalon.com/careers,Remote United States,not_specified,Healthcare Data Analyst,data,Product management for healthcare data products and analytics.,Product management not pure analytics,job_search_queue_C,expansion-C
Inovalon,Senior Product Manager Real World Data,https://www.inovalon.com/careers,Remote United States,not_specified,Real World Evidence (RWE),RWE,RWD product management at claims/EHR data platform.,Product management not pure research,job_search_queue_C,expansion-C
Inovalon,Senior Business Analyst Pharmacy,https://www.inovalon.com/careers,Remote United States,not_specified,Healthcare Data Analyst,analyst,Healthcare revenue cycle and pharmacy analytics business analyst.,RCM/billing focus,job_search_queue_C,expansion-C
Inovalon,Sr Business Analyst AI Prototyping and Automation,https://www.inovalon.com/careers,Remote United States,not_specified,Healthcare Data Analyst,data,Healthcare AI prototyping and automation analytics role.,AI/automation focus,job_search_queue_C,expansion-C
IHME (UW),Researcher (Temporary) GEM,https://www.healthdata.org/about/careers/job-openings,Remote eligible within US,not_specified,Research Scientist,research,Gender Equality Metrics research using quantitative epidemiology methods.,Temporary position; 50% Pacific Time overlap required,job_search_queue_C,expansion-C
IHME (UW),Research Scientist (Temporary) Integrated Analytics,https://www.healthdata.org/about/careers/job-openings,Remote eligible within US,not_specified,Research Scientist,research,Integrated analytics research scientist for global burden of disease estimation.,Temporary; may duplicate prior Agent C listing,job_search_queue_C,expansion-C
Genentech,Senior Biostatistician,https://careers.gene.com/us/en/search-results?keywords=biostatistics%20remote,remote unclear,not_specified,Biostatistician,biostatistics,Senior biostatistician in R&D; search returned 60 biostatistics-related results.,Location shows South San Francisco; remote status unclear,job_search_queue_C,expansion-C
Genentech,Senior Statistician,https://careers.gene.com/us/en/search-results?keywords=biostatistics%20remote,remote unclear,not_specified,Statistician,biostatistics,Senior statistician role available in multiple locations.,Remote eligibility not confirmed on listing,job_search_queue_C,expansion-C
Labcorp,Lead Real World Data Partnerships,https://jobsearcher.com/jobs/90f7e84db1e6eb8df0d22894285fffdaaf1f47e69d74ef9ee043bbc9501aa5fb,Fully remote,not_specified,Real World Evidence (RWE),RWE,Lead RWD partnerships liaison for real-world data programs.,More partnerships/BD than research,job_search_queue_C,expansion-C
