organization,domain,visible_url,primary_category,secondary_categories,confidence,notes
Peterson Health Technology Institute,phti.org,https://phti.org,digital_health,Other; Independent evaluation of digital health technology,medium,Nonprofit institute assessing health tech including AI and RPM
Pew Charitable Trusts Health,pew.org,https://www.pew.org/en/about/careers,Government / Public Health,Government; Public Health; Research Organizations; Workday,medium,Policy; Policy research; failure_reason=fetch_failed:HTTP Error 403: Forbidden
PFIC Network,pfic.org,https://www.pfic.org/Get-Involved,rwd_registry,Patient Registry; Progressive Familial Intrahepatic Cholestasis,high,PFIC patient registry for disease experience data collection
Pfizer,pfizer.com,https://www.pfizer.com,pharma_biotech,Biotech Companies; One of world's premier biopharmaceutical companies; Pharmaceutical; Pharmaceutical Companies; Workday (embedded; blocked API); medicines for all types of diseases,high,HEOR/medical affairs; Major pharmaceutical company; Rare disease; failure_reason=no_matching_roles
PHAB,phaboard.org,https://www.phaboard.org/careers/,Government / Public Health,Custom; Government; Public Health,medium,Public health quality; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Pharmaceutical Institute,pharmaceutical-institute.com,https://www.pharmaceutical-institute.com/careers,Medical Communications,Custom; Medical Communications,medium,Medical writing training/comms; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Pharmacom Media,pharmacommedia.com,https://www.pharmacommedia.com,medical_communications,Medical Communications; Independent full service medical communications agency offering more to domestic and international clients,high,PMLIVE article - independent medical communications agency
PharPoint Research,pharpoint.com,https://pharpoint.com,cro_heor_rwe,CRO; US-based contract research organization,high,Helps sponsors meet clinical trial goals
Philadelphia Department of Public Health,phila.gov,https://www.phila.gov/jobs/,Government / Public Health,Custom; Government; Public Health,medium,Municipal public health; failure_reason=no_matching_roles
PHMR,phmr.co.uk,https://www.phmr.co.uk/careers,HEOR / RWE / Consulting,Consulting; Custom; HEOR; RWE,medium,HEOR boutique; HEOR/RWE/epi consulting; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Phoenix Children's Hospital,phoenixchildrens.com,https://careers.phoenixchildrens.com/,Hospital Systems,Hospital Systems; Workday,medium,Hospital/cancer center; failure_reason=no_matching_roles; population health research
Physical HealthChoices,pa.gov,https://www.pa.gov,payer_vbc,Medicaid Managed Care; Pennsylvania Medicaid MCO program directory,high,State Medicaid managed care program
Pi Health,pihealth.ai,https://pihealth.ai,digital_health,Health AI; Oncology AI and precision medicine technology,high,AI platform for cancer care
PicnicHealth,picnic.ai,https://picnic.ai/careers,Digital Health,Digital Health; Greenhouse (embedded),medium,Patient records RWD; failure_reason=no_matching_roles
Piedmont Community Health Plan,pchp.net,http://pchp.net,payer_vbc,Health Insurance; Affordable comprehensive coverage,high,Regional health plan
Pinnacle Treatment Centers,pinnacletreatment.com,https://www.pinnacletreatment.com,behavioral_mental_health,Substance use treatment organization / Addiction treatment company; Addiction treatment programs with trauma-informed care approach,high,National addiction treatment provider; Google result linked to organizational blog content
Plan International,plan-international.org,https://www.plan-international.org,global_health_ngo,International NGO; Children's rights and health programming in 80+ countries,medium,International child-focused development NGO
PointClickCare,pointclickcare.com,https://www.pointclickcare.com,clinical_informatics_healthit,Healthcare Software; Long-term and post-acute care platform with HIE and care coordination,high,Leading LTPAC healthcare software vendor
Policy Research Institute Japan,policy-ri.jp,https://policy-ri.jp,survey_policy_research,Policy Research; International policy research partnerships and Japanese policy,high,Atsumi and Sakai Policy Research Institute
Policy Research Institute of Bangladesh,pri-bd.org,https://www.pri-bd.org,survey_policy_research,Policy Research; Nonprofit nonpartisan policy research in Bangladesh,high,Independent Bangladesh policy research institute
Porsesh Policy Research Institute,prresearch.us,https://prresearch.us,survey_policy_research,Policy Research; Immigrant integration and community policy research,high,Policy research institute focused on immigrant communities
Porter Novelli Health,porternovelli.com,https://www.porternovelli.com/careers,Medical Communications,Medical Communications; Workday,medium,Medical/scientific communications; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Porterhouse Medical Ltd,porterhousemedical.biz,https://www.porterhousemedical.biz,medical_communications,Medical Education; Rapidly-expanding medical education agency providing services to national and international pharmaceutical companies,high,Company homepage - medical education agency in Reading UK
PPD (Part of Thermo Fisher Scientific),ppd.com,https://www.ppd.com,cro_heor_rwe,CRO; Global pharmaceutical contract research and health economics; HEOR; Market Access; Medical Communications; PPD: Global Pharmaceutical Contract Research; Workday,high,CRO med writing; Contract research organization serving biotech and pharma companies; Major CRO for clinical trials and outcomes research; Major CRO with HEOR division; Part of Thermo Fisher clinical research organization; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)>
Precision AQ,precisionaq.com,https://www.precisionaq.com/medical-communications,medical_communications,Consulting; HEOR; Medical Communications; Medical communications services from advisory board meetings and expert engagements to publications and promotional medical education; RWE,high,Company medical communications page; Fetch: HTTP Error 404: Not Found; HEOR; duplicate suppress
Precision for Medicine HEOR,precisionformedicine.com,https://www.precisionformedicine.com/careers,HEOR Consulting,HEOR Consulting; Workday,medium,HEOR consulting; failure_reason=fetch_failed:HTTP Error 404: Not Found
Precision Medicine Group,precisionmedicinegroup.com,https://www.precisionmedicinegroup.com/careers/,Medical Communications,Medical Communications,medium,Med comms; duplicate suppress; Fetch: HTTP Error 404: Not Found
Precision Value & Health,precisionvaluehealth.com,https://www.precisionvaluehealth.com/careers/,HEOR / RWE / Consulting,Consulting; HEOR; RWE; Unknown,medium,Fetch: HTTP Error 404: Not Found; HEOR; failure_reason=fetch_failed:HTTP Error 404: Not Found
Premier Healthcare,premierhealthcare.com,https://www.premierhealthcare.com,medical_communications,Medical Communications; Content and market development medical communications agency with team of experienced innovative thinkers,high,Company homepage - medical communications agency
Premier Inc.,premierinc.com,https://premierinc.com,digital_health,Digital Health; Other; Value-based care and population health strategy consulting,high,Healthcare improvement company and GPO; R19 new; Research/PIN
Premier Research,premier-research.com,https://premier-research.com,cro_heor_rwe,CRO; Market Access; Global full-service CRO market access and regulatory affairs,high,Dedicated to market access and new product strategy
Prevounce,prevounce.com,https://www.prevounce.com,digital_health,Digital Health; Remote patient monitoring software platform,high,RPM connecting patients and clinicians
Prime Global,primeglobalpeople.com,https://primeglobalpeople.com/careers,Medical Communications,Medical Communications; Workable,medium,Medical communications; failure_reason=no_matching_roles
Prime Healthcare,primehealthcare.com,https://www.primehealthcare.com/careers/,Hospital Systems,Custom; Hospital Systems,medium,Hospital operator; failure_reason=no_matching_roles
PrimeTime Health Plan,primetimehealthplan.com,https://www.primetimehealthplan.com,payer_vbc,Medicare Advantage; Locally owned Medicare Advantage plan in Ohio,high,Ohio Medicare Advantage plan
Princeton University Center for Health and Wellbeing,princeton.edu,https://jobs.princeton.edu/,Academic Medical Centers,Academic Medical Centers,medium,SPH/Medicine; adjunct/epi potential
Priority Health,priorityhealth.com,https://www.priorityhealth.com,payer_vbc,Health Insurance; Michigan health insurance for individuals families employers Medicare Medicaid,high,Michigan health insurer
Prisma Health Academics,prismahealth.org,https://academics.prismahealth.org,academic,Academic Medical Center,medium,Prisma Health education and research
Pro Pharma Research Organization,propharmaresearch.com,https://propharmaresearch.com,rwd_registry,Real-World Data; Real-World Evidence Registries,high,Real-world evidence registry services for pharmaceutical research
Professional Data Analysts,pdastats.com,https://pdastats.com,survey_policy_research,"Statistical Consulting; Program evaluation, data collection, analysis, and statistical consulting",high,Full-service program evaluation and statistical consulting firm
Prognos Health,prognoshealth.com,https://prognoshealth.com,ai_clinical_datascience,Healthcare AI; Healthcare analytics and diagnostics innovator,medium,Press release reference in SERP; company homepage confirmed; page 10
ProMED,promedmail.org,https://www.promedmail.org,global_health_ngo,Global Health; Infectious disease outbreak early warning surveillance,high,Global emerging disease surveillance network
ProMedica,promedica.org,https://jobs.promedica.org/,Hospital Systems,Hospital Systems; Workday,medium,Hospital system; Ohio/Michigan; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Propeller Health (ResMed),resmed.com,https://www.resmed.com/en-us/health-professionals/digital-health/,Digital Health,Digital Health; Greenhouse (embedded),medium,Also seen under domain propellerhealth.com; Respiratory digital; failure_reason=no_matching_roles
ProPharma Group,propharmagroup.com,https://www.propharmagroup.com/careers/,HEOR / RWE / Consulting,HEOR / RWE / Consulting,medium,Regulatory/HEOR; R19 new
Providence,providence.org,https://www.providence.org/about,org_harvest,About Us | Providence; Hospital System; Hospital Systems; Oracle Recruiting,high,"Also seen under domain providence.jobs; Comprehensive health care organization across Western US; Hospital/cancer center; Large not-for-profit health system; Swedish Health Services, Kadlec, and other affiliates; West Coast nonprofit system; failure_reason=no_matching_roles; population health research"
Providence Health Information Exchange,provshare.org,https://www.provshare.org,clinical_informatics_healthit,HIE; Health Information Exchange; Regional HIE connecting 50+ EMR systems for comprehensive patient records; Regional Health Information Exchange,high,Providence-affiliated regional health information exchange for care coordination; Regional HIE serving Providence health network
Providence Health Plan,providencehealthplan.com,https://www.providencehealthplan.com,payer_vbc,Health Insurance; Health plans designed for community health,high,Oregon and Washington health plan
PSC Partners Patient Registry,pscpartnersregistry.org,https://www.pscpartnersregistry.org,rwd_registry,Patient Registry; Primary Sclerosing Cholangitis,high,Patient registry supporting PSC research worldwide
PSCI,psci.com,https://www.psci.com/healthcare-and-epidemiology-jobs,google_harvest,Consulting; Healthcare and Epidemiology Jobs - PSCI,medium,Healthcare consulting/research organization
PSI CRO,psicro.com,https://psicro.com,cro_heor_rwe,CRO; Global CRO full-service clinical research,high,Predictable patient enrollment across therapeutic areas
PSI Federal,careers-plansys.icims.com,https://careers-plansys.icims.com/,Federal Contractors,Federal Contractors; iCIMS,medium,Federal health research/contractor; failure_reason=no_matching_roles; iCIMS
PTC Therapeutics,ptcbio.com,https://www.ptcbio.com,pharma_biotech,Therapeutics; Commitment to developing innovative treatments for rare diseases,high,Rare disease therapeutics company
Public Health Foundation,phf.org,https://phf.org,consulting_federal,Public Sector Consulting; Health department training performance improvement and accreditation support,high,Leader in public health workforce development
Public Health Institute,phi.org,https://www.phi.org,consulting_federal,National nonprofit advancing health and wellbeing; Policy Research; Public Health Institute: Home; Research Institute; Research Organizations; Workday,high,"Center for Connected Health Policy and specialized programs; Independent health research organization; Independent nonprofit public health research organization; Public health nonprofit; Solutions to complex health challenges, advancing telehealth policy; failure_reason=fetch_failed:HTTP Error 403: Forbidden"
Public Health Solutions (NYC),health.nyc.gov,https://www.health.nyc.gov/careers,Government / Public Health,Custom; Government; Public Health,medium,NYC public health contractor; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Public Policy Institute (Elevance Health),elevancehealth.com,https://www.elevancehealth.com/public-policy-institute,consulting_federal,Consulting; Digital Health; HEOR; Healthcare policy research and insights; Policy Research; RWE,high,Anthem data; Data-driven research on healthcare programs; HEOR; Payer research; R19 new; R20 new
Public Safety Research Center (PSRC) | University of Cincinnati,ucdigitalfutures.com,https://ucdigitalfutures.com/public-safety-lab,injury_safety_justice,university research center; public safety research; law enforcement policy research,high,School of Criminal Justice center developing research and technology for 21st-century public safety
Publicis Health,publicishealth.com,https://www.publicishealth.com/careers,Medical Communications,Medical Communications; Workday,medium,Medical communications network; Medical/scientific communications; failure_reason=fetch_failed:HTTP Error 401: Unauthorized
Purdue Policy Research Institute,ppri.research.purdue.edu,https://ppri.research.purdue.edu,survey_policy_research,Policy Research; Interdisciplinary research centers at Purdue University,high,University-affiliated policy research institute
Purdue University School of Health Sciences,purdue.edu,https://careers.purdue.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
PwC (Strategy&),strategyand.pwc.com,https://www.strategyand.pwc.com/industries/public-sector,consulting_federal,Public Sector Consulting; Public sector strategy consulting for governments and NGOs,high,Major consulting firm with public sector practice
PwC Health Services,pwc.com,https://www.pwc.com/us/en/careers.html,Federal Contractors,Federal Contractors; Workday,medium,Federal health research/contractor; Workday; failure_reason=no_matching_roles
Pythagoras AI,getpythagoras.ai,https://getpythagoras.ai,ai_clinical_datascience,Healthcare AI; Fully managed AI care agents - clinical and administrative conversations via voice and text,high,Company homepage; page 9
QIAGEN,qiagen.com,https://www.qiagen.com,med_device_diagnostics,Molecular Diagnostics; Sample preparation and molecular diagnostics,high,Leader in sample preparation and molecular diagnostics
Quantician,quantician.com,https://www.quantician.com,digital_health,Population Health; Population health platform for value-based care and MIPS,high,Patient engagement and quality reporting analytics
Quantum Health,quantum-health.com,https://quantum-health.com/careers,Digital Health,Digital Health; Jobvite,medium,Care navigation; failure_reason=no_matching_roles
Quest Diagnostics,questdiagnostics.com,https://www.questdiagnostics.com,med_device_diagnostics,Diagnostics; Clinical laboratory testing and diagnostic information services,high,Major national clinical laboratory
QuidelOrtho,quidelortho.com,https://www.quidelortho.com,med_device_diagnostics,Molecular Diagnostics; Molecular diagnostic testing portfolio for better patient outcomes,high,Combined Quidel and Ortho Clinical Diagnostics
Rady Children's Health,rechsd.org,https://www.rchsd.org,hospital_system,Children's Hospital,high,San Diego pediatric academic hospital with research institute
Rady Children's Hospital,rchsd.org,https://jobs.rchsd.org/,Hospital Systems,Hospital Systems; Workday,medium,Hospital/cancer center; failure_reason=no_matching_roles; population health research
Rae Consult,rae-consult.com,https://rae-consult.com,survey_policy_research,"Program Evaluation; External evaluation for education, training, and credentialing programs",high,Dedicated research evaluation consulting firm
RAND Corporation,rand.org,https://www.rand.org,consulting_federal,Academic Medical Centers; Federal Contractors; Nonprofit research institution for policy and decisionmaking; Policy Research; RAND Provides Objective Research Services and Public Policy Analysis; Research Institute; Research Organizations; Veterans policy and evidence-based interdisciplinary research,high,Also seen under domain rand.wd5.myworkdayjobs.com; Federal health research/contractor; Health policy research; Policy research; Policy research organization developing solutions to public policy challenges; Policy research think tank with health division; Premier policy research organization; R20 new; RAND Health Care employs health economists and HSR researchers; Research center within RAND Corporation
Raytheon Health IT,rtx.com,https://careers.rtx.com/,Federal Contractors,Federal Contractors; Workday,medium,Federal health research/contractor; failure_reason=no_matching_roles
Real Chemistry,realchemistry.com,https://medcomms.realchemistry.com/promo-med-ed,medical_communications,Medical Communications; Medical Education; Promotional medical education team delivers spot-on scientific strategy and content; iCIMS,high,Company subdomain page - promotional medical education capabilities; Medical communications agency; Medical/scientific communications; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Recordati Rare Diseases,recordatirarediseases.com,https://recordatirarediseases.com/careers-join-our-team/,Pharmaceutical Companies,Pharmaceutical Companies; Workday; Workday (embedded; blocked API),medium,Rare disease; failure_reason=no_matching_roles
Recursion Pharmaceuticals,recursion.com,https://www.recursion.com/careers,Biotech Companies,Biotech Companies,medium,AI drug discovery
Red Hat Government Health,redhat.com,https://www.redhat.com/en/jobs,Federal Contractors,Federal Contractors,medium,Federal IT
Redox,redoxengine.com,https://www.redoxengine.com/careers/,Digital Health,Digital Health; Greenhouse,medium,Healthcare API; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Regeneron,regeneron.com,https://www.regeneron.com,pharma_biotech,Biotech Companies; Biotechnology; Harmonizes biology and technology to create life-changing medicines; Pharmaceutical Companies; Unknown,high,Fetch: HTTP Error 403: Forbidden; HEOR; Major biotech company; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Regenstrief Institute,regenstrief.org,https://www.regenstrief.org/careers/,Academic Medical Centers,Academic Medical Centers,medium,IU jobs portal
Relay Therapeutics,relaytx.com,https://relaytx.com/careers/,Biotech Companies,Biotech Companies,medium,Oncology biotech
Reno Behavioral Healthcare Hospital,renobehavioral.com,https://www.renobehavioral.com,behavioral_mental_health,Behavioral health company / Mental health service provider; Mental health and addiction treatment with trauma-informed care,high,Psychiatric hospital providing behavioral health and addiction services
Renown Health,renown.org,https://careers.renown.org/,Hospital Systems,Hospital Systems; Workday,medium,Hospital/cancer center; failure_reason=fetch_failed:HTTP Error 429: Too Many Requests; population health research
Research Evaluation Consulting,researchevaluationconsulting.com,https://researchevaluationconsulting.com,survey_policy_research,"Program Evaluation; Program evaluation, impact studies, training effectiveness",high,Colorado-based evaluation consulting firm
Resonant Sciences,resonantsciences.com,https://www.resonantsciences.com/careers,Research Organizations,Custom; Research Organizations,medium,Public health; R19 new; failure_reason=no_matching_roles
Reveleer,reveleer.com,https://www.reveleer.com/careers,Digital Health,Digital Health; Greenhouse (embedded),medium,Risk adjustment analytics; failure_reason=no_matching_roles
Revolution Medicines,revmed.com,https://www.revmed.com/careers/,Biotech Companies,Biotech Companies,medium,Oncology biotech
Rhino Health,rhinofcp.com,https://www.rhinofcp.com/careers,Digital Health,Digital Health,medium,Federated learning health
Rho,rhoworld.com,https://www.rhoworld.com,cro_heor_rwe,CRO; Global CRO smarter trials science cohesion sponsor-first,high,Strategy-driven approach to clinical trials
RHP Risk Management,rhpmk.com,https://rhpmk.com,environmental_occupational_health,"Environmental Consulting Firm; Exposure Science, Toxicology, Environmental Epidemiology",high,Health and safety solution services with expertise in environmental epidemiology exposure science and toxicology
Rice University Medical Humanities Research Institute,mhri.rice.edu,https://mhri.rice.edu,academic,Research Institute,high,Medical humanities research Houston
Richard M. Fairbanks School of Public Health,iu.edu,https://fairbanks.indianapolis.iu.edu,academic,Academic Medical Centers; School of Public Health; Workday,high,Indiana University Indianapolis campus; SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
Riverside Research,riversideresearch.org,https://www.riversideresearch.org/careers,Federal Contractors,Federal Contractors; iCIMS,medium,Applied research; Federal health research/contractor; failure_reason=no_matching_roles
Rivvi,rivvi.ai,https://rivvi.ai,ai_clinical_datascience,Healthcare AI; Conversational AI infrastructure for healthcare with 2M+ patient interactions,high,Company homepage; page 10
Ro,ro.co,https://ro.co/careers/,Digital Health,Custom; Digital Health,medium,Digital health; R19 new; Telehealth; failure_reason=no_matching_roles
Robert Wood Johnson Medical School,rwjms.rutgers.edu,https://rwjms.rutgers.edu,academic,Medical School,high,Rutgers New Jersey medical school
Roche Diagnostics,roche.com,https://www.roche.com,digital_health,Biotech Companies; Combining life-changing diagnostics and medicines to take on toughest healthcare challenges; Diagnostic tests instruments and digital solutions for healthcare; Diagnostics; Other; Pharmaceutical; Pharmaceutical Companies; Pharmaceutical precision medicine and diagnostics; Phenom,high,Global leader in diagnostics; Global pharma with precision medicine focus; HEOR; Major pharmaceutical and diagnostics company; also Diagnostics; failure_reason=no_matching_roles
Rockefeller University,rockefeller.edu,https://www.rockefeller.edu,academic,Research Institute,high,Biomedical research university NYC
Rocket Pharmaceuticals,rocketpharma.com,https://rocketpharma.com/careers/,Biotech Companies,Biotech Companies; Greenhouse,medium,Gene therapy; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Rosalind Franklin University,rosalindfranklin.edu,https://www.rosalindfranklin.edu,academic,Medical School,high,Chicago Medical School Illinois
Roswell Park Comprehensive Cancer Center,roswellpark.org,https://www.roswellpark.org,org_harvest,Hospital Systems; Research Institute; Roswell Park Comprehensive Cancer Center; Workday,high,"Biostatistics and Statistical Genomics, NCI-designated cancer center; Hospital/cancer center; NCI-designated cancer center; Nation's first cancer hospital; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>; population health research"
RTI Health Solutions,rtis.org,https://www.rtis.org/medical-writing-and-publication-strategy,medical_communications,Database and Registry Research Services; Medical writing and publication strategy - strategic publication planning to medical writing and editing; Publication Planning; Real-World Data,high,Also seen under domain rtihs.org; Company services page - publication strategy and medical writing; Database and registry research services for life sciences
RTI International,rti.org,https://www.rti.org,global_health_ngo,Consulting; Federal Contractors; HEOR; Implementation Science; Independent research institute with global health programs; Phenom; RWE; Research Organizations,high,Federal health research/contractor; Health outcomes research; Major implementation science and research institute; Phenom/iCIMS; RWE/pharma consulting; failure_reason=no_matching_roles
Ruder Finn Health,ruderfinn.com,https://www.ruderfinn.com/careers,Medical Communications,Custom; Medical Communications,medium,Medical/scientific communications; failure_reason=fetch_failed:HTTP Error 404: Not Found
RUPRI Center for Rural Health Policy Analysis,rupri.public-health.uiowa.edu,https://rupri.public-health.uiowa.edu,survey_policy_research,Health Services Research; Federal and state health policy analysis for rural populations,high,University of Iowa rural health policy research center
Rural Policy Research Institute,rupri.org,https://rupri.org,survey_policy_research,"Policy Research; Rural policy, nonpartisan research on rural challenges",high,National rural policy research organization
Rush University System for Health,rush.edu,https://www.rush.edu,hospital_system,Academic Hospital; Academic Medical Centers; Hospital Systems; Workday,high,Academic medical center; Chicago AMC; Chicago academic medical center and health system; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Rutgers Health,rutgershealth.org,https://www.rutgershealth.org,hospital_system,Academic Hospital,high,New Jersey academic health system
Rutgers School of Public Health,sph.rutgers.edu,https://sph.rutgers.edu,academic,Academic Medical Centers; Rutgers School of Public Health - Rutgers University; School of Public Health; University; Workday,high,"Academic employer for epidemiologists and biostatisticians; Also seen under domain rutgers.edu; Educating leaders, putting research into practice, developing public health solutions; New Jersey public health school; SPH/Medicine; Strong environmental and occupational health programs; adjunct/epi potential; failure_reason=no_matching_roles"
RWJBarnabas Health,rwjbh.org,https://www.rwjbh.org,hospital_system,Hospital System; Hospital Systems; Workday,medium,Hospital system; New Jersey academic health system including Jersey City Medical Center with population health focus; New Jersey system; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
RX Communications,rxcomms.com,https://www.rxcomms.com,medical_communications,Scientific Communications; Scientific medical writing services for pharma and biotech by senior experts,high,Company homepage - scientific and medical writing services
Safex Industrial Hygienists,safex.us,https://safex.us,environmental_occupational_health,Environmental Consulting Firm; Occupational Health,high,Occupational health and safety consultants specializing in industrial hygiene since 1992
Sage Bionetworks,sagebionetworks.org,https://sagebionetworks.org/careers/,Digital Health,Digital Health; Unknown,medium,Open science health; R19 new; failure_reason=fetch_failed:HTTP Error 308: Permanent Redirect
Saint Alphonsus Health System,saintalphonsus.org,https://www.saintalphonsus.org,hospital_system,Hospital System,high,Catholic faith-based not-for-profit system serving Idaho eastern Oregon and northern Montana
Saint Louis University College for Public Health,slu.edu,https://jobs.slu.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,Academic medical center; SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Saint Luke's Health System,saint-lukes.org,https://jobs.saint-lukes.org/,Hospital Systems,Hospital Systems; Workday,medium,Missouri/Kansas; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Salient CRGT,salientcrgt.com,https://www.salientcrgt.com/careers/,Federal Contractors,Federal Contractors; iCIMS,medium,Federal health IT; Federal health research/contractor; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Samford University School of Public Health,samford.edu,https://www.samford.edu/publichealth,academic,School of Public Health,high,Birmingham Alabama
Samsung Research America,sra.samsung.com,https://sra.samsung.com/research-area/digital-health,digital_health,Digital Health; Digital health research and prognostic biomarkers,medium,Samsung R&D digital health division
San Diego Biomedical Research Institute,sdbri.org,https://www.sdbri.org,academic,Research Institute,high,Nonprofit biomedical research SD
San Diego State University School of Public Health,sdsu.edu,https://publichealth.sdsu.edu,academic,Academic Medical Centers; School of Public Health; Workday,high,Academic; Also seen under domain employment.ucsd.edu; SDSU public health; SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
San Francisco Department of Public Health,corp.jobapscloud.com,https://corp.jobapscloud.com/,Government / Public Health,Custom; Government; Public Health,medium,Also seen under domain jobapscloud.com; Municipal public health; failure_reason=no_matching_roles
San Jose State University Public Health,sjsu.edu,https://jobs.sjsu.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
Sana Biotechnology,sana.com,https://sana.com/careers/,Biotech Companies,Biotech Companies; Greenhouse,medium,Cell therapy; failure_reason=fetch_failed:HTTP Error 404: Not Found
Sandoz US,sandoz.com,https://www.sandoz.com/careers/,Pharmaceutical Companies,Pharmaceutical Companies; Workday (embedded; blocked API),medium,Biosimilars; failure_reason=no_matching_roles
Sandy Hook Promise,sandyhookpromise.org,https://www.sandyhookpromise.org,injury_safety_justice,violence prevention nonprofit; gun violence prevention research and programs,high,National violence prevention organization with dedicated research and program evaluation work
Sanford Health,sanfordcareers.com,https://sanfordcareers.com/,Hospital Systems,Hospital Systems; Workday (embedded; blocked API),medium,Also seen under domain sanfordhealth.org; Midwest system; failure_reason=no_matching_roles
Sanofi,sanofi.com,https://www.sanofi.com,pharma_biotech,Custom; Pharmaceutical; Pharmaceutical Companies; R&D-driven and AI-powered healthcare biopharmaceutical company committed to improving lives through innovative medicines,high,HEOR; Major pharmaceutical company; failure_reason=no_matching_roles
Sansum Diabetes Research Institute,sansum.org,https://www.sansum.org,academic,Research Institute,high,Santa Barbara diabetes nonprofit
Santa Clara Family Health Plan,scfhp.com,https://www.scfhp.com,payer_vbc,Population Health; Population Health Management PHM Program,high,California Medi-Cal plan with PHM program
Sarepta Therapeutics,sarepta.com,https://www.sarepta.com/careers,Biotech Companies,Biotech Companies; Unknown,medium,Fetch: HTTP Error 404: Not Found; Rare disease; failure_reason=fetch_failed:HTTP Error 404: Not Found
Save the Children International,savethechildren.net,https://www.savethechildren.net,global_health_ngo,International NGO; Child welfare maternal and child health humanitarian aid,high,Major international child welfare NGO
Scalence,scalence.com,https://www.scalence.com,rwd_registry,Real-World Data; Clinical Data Platforms,high,Clinical data platforms integrating trial registry EHR and claims data for RWE
SCAN Health Plan,scanhealthplan.com,https://www.scanhealthplan.com,payer_vbc,Medicare Advantage; Medicare Advantage plans in California Arizona Nevada,high,Medicare Advantage insurer
