organization,visible_url,domain,organization_type,specialty,confidence,notes
elmo medical,https://www.elmomedical.com,elmomedical.com,Medical Writing,Independent medical communications agency with firm foundation and wealth of experience in effective medical and healthcare communications,High,Company homepage - specialist medical writing and editorial services
Premier Healthcare,https://www.premierhealthcare.com,premierhealthcare.com,Medical Communications,Content and market development medical communications agency with team of experienced innovative thinkers,High,Company homepage - medical communications agency
Commgenix,https://commgenix.com/about,commgenix.com,Medical Communications,Medical communications agency for life sciences fueled by deep commitment to excellence and pioneering bold effective medical communications,High,Company about page - medical communications agency for life sciences
Turnover Dynamics,https://www.turnoverdynamics.com/promotional-medical-education,turnoverdynamics.com,Medical Education,Promotional medical education services - decades of pharmaceutical marketing fixture involving training and educating medical sales reps,Medium,Company service page - promotional medical education
Message Lab Media,https://www.messagelabmedia.com/scientific-content-strategy,messagelabmedia.com,Scientific Communications,Scientific content agency - expert storytelling SEO-optimized content creation and strategic marketing for impactful science communications,High,Company page - scientific content agency
Aventine Consulting,https://www.aventineconsulting.com,aventineconsulting.com,Healthcare Communications,Healthcare communications firm acquired by Prime Global Medical Communications in UK,Medium,News article about acquisition - healthcare communications firm
datamedcomms,https://www.datamedcomms.com/medical-communications,datamedcomms.com,Medical Communications,Medical communications agency and health marketing agency delivering people-first healthcare marketing creative campaigns and impactful scientific storytelling,High,Company page - medical communications and health marketing agency
Vigour Communications,https://www.vigourcommunications.com,vigourcommunications.com,Medical Communications,High-science medical communications agency translating complex data into clear evidence-based strategies for EU and APAC regions,High,Company homepage - medical communications agency for EU and APAC
Bedrock Healthcare Communications,https://bedrock-health.com/what,bedrock-health.com,Medical Education,Creative medical education communications that inspire engage and drive impact partnering with medical affairs teams healthcare professionals and patients,High,Company services page - creative medical education
M Health,https://m-health.com,m-health.com,Medical Communications,Global healthcare brand marketing and medical communications agency,High,Company homepage - global medical communications agency
Emotive,https://emotiveagency.com,emotiveagency.com,Healthcare Communications,Global healthcare communications agency blending deep scientific expertise with creative brilliance to inspire change,High,Company homepage - global healthcare communications agency
Six Degrees Medical,https://sixdegreesmed.com,sixdegreesmed.com,Medical Communications,Medical communications agency focusing on HCP engagement and innovative medical communications,Medium,AI Overview reference and company page - medical communications agency
Boston Strategic Partners,https://bostonsp.com/index.php/what-we-do/medical-and-technical-communications/,bostonsp.com,Medical Communications,Medical and technical communications including journal publications conference posters and literature reviews,High,Company services page - medical and technical communications agency
Node Medcom,https://www.nodemedcom.com,nodemedcom.com,Medical Communications,Scientific writing publication planning HCP engagement and medical education services for pharma/biotech across Canada,High,Company homepage - medical communications agency where possibility and communication intersect
Bounce Medical Communications,https://www.bouncemedicalcommunications.com,bouncemedicalcommunications.com,Medical Affairs Strategy,Outcomes-led medical affairs agency experts in scientific engagement and medical communications agency in London,High,Google snippet - London-based international medical communications agency
Helios Medical Communications,https://www.heliosmedcomms.com,heliosmedcomms.com,Medical Communications,Full-service independent global healthcare communications and strategic consultancy ranked 17th on 2020 Sunday Times FastTrack 100,High,NorthEdge investment article and company information - independent medical communications agency
Porterhouse Medical Ltd,https://www.porterhousemedical.biz,porterhousemedical.biz,Medical Education,Rapidly-expanding medical education agency providing services to national and international pharmaceutical companies,High,Company homepage - medical education agency in Reading UK
Nucleus Global,https://www.nucleusglobal.com,nucleusglobal.com,Medical Affairs Strategy,Winner of Medical Affairs Agency of the Year at Communiqué 2022 - medical affairs agency,High,PMLIVE article about Communiqué awards - medical affairs agency
Livewire Editorial Communications,https://www.livewirecommunications.co.uk,livewirecommunications.co.uk,Medical Communications,London-based international medical communications agency experts in medical writing brand strategy and scientific communication,High,Google snippet from company page - medical communications agency
Dice Medical Communications,https://www.dice-comms.co.uk,dice-comms.co.uk,Medical Education,Successful pharmaceutical medical education agency understanding that content is king for delivery,High,Company services page - medical education agency
Scientific Group,https://wearescientific.com,wearescientific.com,Medical Communications,Leading medical communications agency delivering innovative solutions in healthcare communications combining expertise in AI,High,Google snippet - medical communications agency with AI expertise
Turacoz,https://turacoz.com,turacoz.com,Medical Communications,Global scientific communications agency delivering expert medical writing services as strategic MedComms partner,High,Google snippet - medical writing and scientific communications agency
FORCE Medical Communications,https://forcemed.com,forcemed.com,Medical Communications,Medical communications agency working for pharmaceutical device and medical leaders,Medium,Google snippet - medical communications agency
Impact Medical Communications,https://www.impactbiomedcom.com,impactbiomedcom.com,Medical Communications,Full-service medical communications agency united by commitment to deliver customized solutions that engage HCPs to improve patient outcomes,High,Google snippet from company page - full-service medical communications agency
Pharmacom Media,https://www.pharmacommedia.com,pharmacommedia.com,Medical Communications,Independent full service medical communications agency offering more to domestic and international clients,High,PMLIVE article - independent medical communications agency
Symbiotix Medical Communications Agency,https://www.symbiotix.com,symbiotix.com,Medical Communications,Medical communications agency,Medium,YouTube video reference - medical communications agency
Elevate Healthcare Marketing,https://elevatehc.com,elevatehc.com,Healthcare Communications,Integrated marketing communications helping leaders in pharmaceutical biotechnology and medical device companies transform product objectives into actionable sales and marketing strategies,High,Google snippet from company page - healthcare marketing communications firm
