organization,visible_url,domain,organization_type,specialty,confidence,notes
Northwest Association of Occupational and Environmental Medicine (NAOEM),https://naoem.org,naoem.org,Professional Association,"Occupational Health, Environmental Medicine",high,Regional association providing resources for occupational and environmental medicine professionals
Association of State and Territorial Health Officials (ASTHO),https://www.astho.org,astho.org,Professional Association,Public Health Preparedness,high,Provides public health preparedness expertise to help communities anticipate respond to and recover from health emergencies
Arizona Industrial Commission,https://www.azica.gov,azica.gov,Government - State,Injury Prevention,medium,Handles Arizona Industrial Commission Workers Compensation OSHA and Labor Laws
South Dakota Department of Health,https://doh.sd.gov,doh.sd.gov,Government - State,Public Health Preparedness,high,Public Health Preparedness and Response program with health alert network and emergency registry
Association for Health Care Environment (AHE),https://www.ahe.org,ahe.org,Professional Association,Environmental Health,medium,Association for health care environmental services leaders maintaining care environment using infection prevention practices
Nevada Division of Public and Behavioral Health (DPBH),https://www.dpbh.nv.gov,dpbh.nv.gov,Government - State,Public Health Preparedness,high,Public Health Preparedness program providing resources and planning
Applied Environmental Inc.,https://www.appenv.com,appenv.com,Environmental Consulting Firm,"Environmental Health, Industrial Hygiene, Occupational Safety",high,Provides environmental industrial hygiene occupational safety and health consulting to private sector and government
International Association of Industrial Accident Boards and Commissions (IAIABC),https://www.iaiabc.org,iaiabc.org,Professional Association,Injury Prevention,medium,Association of workers compensation regulatory agencies and private sector organizations providing education and training
Washington GISHAB (Governors Industrial Safety and Health Advisory Board),https://gishab.org,gishab.org,State Advisory Board,"Occupational Health, Injury Prevention",high,State-level advisory board promoting safe working environments in Washington
International Society for Industrial Ecology (ISIE),https://isie.org,isie.org,Professional Society,Environmental Health,high,Promotes industrial ecology for innovative environmental solutions
National Association of County and City Health Officials (NACCHO),https://naccho.org,naccho.org,Public Health Association,Public Health Preparedness,high,Supports local health departments with public health programs and preparedness
UT Center for Industrial Services,https://cis.tennessee.edu,cis.tennessee.edu,University Center,Other,high,University of Tennessee center providing industrial consulting and business improvement services
Industrial Economics Incorporated,https://ieconomics.com,ieconomics.com,Environmental Consulting Firm,Environmental Consulting,high,Provides objective environmental and industrial economic analysis and consulting services
Industrial Consultants LLC,https://ammonia.com,ammonia.com,Environmental Consulting Firm,"Occupational Health, Regulatory Science",high,Specializes in PSM compliance and industrial safety training for regulated facilities
Forensic Analytical Consulting Services (FACS),https://facs.com,facs.com,Environmental Consulting Firm,"Occupational Health, Environmental Health",high,Certified industrial hygienist consulting and indoor environmental quality assessment
ALS Global,https://alsglobal.com,alsglobal.com,Testing and Consulting Services,"Occupational Health, Environmental Health",high,Broad range of field services and laboratory testing for industrial and occupational hygiene
Triumvirate Environmental,https://triumvirate.com,triumvirate.com,Environmental Consulting Firm,"Occupational Health, Environmental Health",high,Provides industrial hygiene programs and OSHA compliance services for workplace safety
Association of Public Health Laboratories (APHL),https://aphl.org,aphl.org,Professional Association,Public Health Preparedness,high,Helps public health laboratories with emergency preparedness and response capabilities
USA Center for Rural Public Health Preparedness,https://usacenter.tamiu.edu,usacenter.tamiu.edu,Academic Center,Public Health Preparedness,high,Texas A&M International University CDC-funded center focusing on rural public health preparedness
Environmental Works Inc.,https://environmentalworks.com,environmentalworks.com,Environmental Consulting Firm,"Occupational Health, Environmental Health",high,Industrial hygiene services with certified industrial hygienists for workplace safety
RHP Risk Management,https://rhpmk.com,rhpmk.com,Environmental Consulting Firm,"Exposure Science, Toxicology, Environmental Epidemiology",high,Health and safety solution services with expertise in environmental epidemiology exposure science and toxicology
Safex Industrial Hygienists,https://safex.us,safex.us,Environmental Consulting Firm,Occupational Health,high,Occupational health and safety consultants specializing in industrial hygiene since 1992
Environmental Health Consultants (EHC Impact),https://ehcimpact.com,ehcimpact.com,Environmental Consulting Firm,Environmental Consulting,high,Operates in regulated and compliance-driven government industrial and transportation facility environments
