organization,domain,visible_url,primary_category,secondary_categories,confidence,notes
LSU Health Sciences Center New Orleans,lsuhsc.edu,https://www.lsuhsc.edu,academic,Academic Medical Centers; Health Sciences Center; Workday,high,Academic medical center; Louisiana State University HSC; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)>
Lucid Group,lucidgroup.com,https://www.lucidgroup.com,medical_communications,Medical Communications; Medical Education; Mid-sized fast-growing medical education agency; Workday; Workday (embedded; blocked API),medium,Also seen under domain lucidmotors.com:443; Glassdoor review reference - medical education agency; Med comms agency; Medical communications; Medical/scientific communications; failure_reason=no_matching_roles
Lumanity,lumanity.com,https://lumanity.com/careers/working-at-lumanity/,HEOR / RWE / Consulting,Consulting; HEOR; HEOR Consulting; RWE,medium,Formerly Cello; HEOR; HEOR consulting
Lumeris,lumeris.com,https://lumeris.com,digital_health,Population Health; Value-based care enablement and population health management,high,Technology-enabled services for health systems
Luminis Health,luminishealth.org,https://jobs.luminishealth.org/,Hospital Systems,Hospital Systems; Workday,medium,Hospital system; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Lurie Children's Hospital,luriechildrens.org,https://research.luriechildrens.org,hospital_system,Children's Hospital; Hospital Systems,high,Hospital/cancer center; Stanley Manne Children's Research Institute with child health outcomes focus; population health research
Lyra Health,lyrahealth.com,https://careers.lyrahealth.com/,Digital Health,Custom; Digital Health,medium,Mental health; failure_reason=no_matching_roles
M Health,m-health.com,https://m-health.com,medical_communications,Medical Communications; Global healthcare brand marketing and medical communications agency,high,Company homepage - global medical communications agency
M-H Life Sciences,mhlifesciences.com,https://www.mhlifesciences.com/agency-services,medical_communications,Medical Affairs Strategy; Medical affairs agency purpose-built for biotech scales with partners from phase 2 clinical trials through commercialization,high,Company agency services page
MACPAC,macpac.gov,https://www.macpac.gov/about/careers/,Government / Public Health,Government; Public Health; Unknown,medium,Fetch: HTTP Error 404: Not Found; Medicaid policy; failure_reason=fetch_failed:HTTP Error 404: Not Found
Magellan Federal,magellanfederal.com,https://www.magellanfederal.com/careers/why-choose-us/,Federal Contractors,Federal Contractors; Workday (embedded; blocked API),medium,Behavioral health federal; failure_reason=no_matching_roles
MagnaCare,magnacare.com,https://www.magnacare.com,payer_vbc,Other; Third party administrator customized healthcare solutions,high,TPA delivering healthcare solutions
Magnolia Market Access,magnoliamarketaccess.com,https://www.magnoliamarketaccess.com,cro_heor_rwe,Research Consulting; Market access strategy and HEOR in pharmaceutical industry,high,Core market access concepts
Mahalo Health,mahalo.health,https://www.mahalo.health,rwd_registry,Patient Registry; Patient Registry Platforms,high,Patient registry and clinical registry deployment platform
Main Line Health,mainlinehealth.org,https://careers.mainlinehealth.org/,Hospital Systems,Hospital Systems; Workday,medium,Hospital system; failure_reason=no_matching_roles
Maine Education Policy Research Institute,mepri.maine.edu,https://mepri.maine.edu,survey_policy_research,Policy Research; Non-partisan education policy research for policymakers,high,University of Maine-affiliated education policy institute
MaineHealth,mainehealth.org,https://www.mainehealth.org,hospital_system,Hospital System,high,Maine Medical Center is only academic medical center in Maine
ManTech,mantech.com,https://www.mantech.com/careers/why-mantech/,Federal Contractors,Avature; Federal Contractors,medium,Federal health research/contractor; failure_reason=no_matching_roles; iCIMS
MAP International,map.org,https://www.map.org,global_health_ngo,Humanitarian Health; Medicine and health supply distribution globally,high,Medicine for All People distribution NGO
Marshfield Clinic Health System,marshfieldclinic.org,https://www.marshfieldclinic.org,hospital_system,Hospital System,high,Wisconsin regional health system including Medical Center in Weston
Mass General Brigham,massgeneralbrigham.org,https://www.massgeneralbrigham.org,hospital_system,Hospital System; Hospital Systems,high,Harvard-affiliated AMC; One of largest hospital system-based research enterprises in Massachusetts
Mass General Brigham Health Plan,massgeneralbrighamhealthplan.org,https://massgeneralbrighamhealthplan.org,payer_vbc,Medicare Advantage; New Medicare Advantage experience from Mass General Brigham,high,Massachusetts Medicare Advantage plan
Massachusetts Center for Health Information and Analysis,chiamass.gov,https://www.chiamass.gov,rwd_registry,Health Data Network; State Health Data,high,Independent state agency analyzing Massachusetts health system quality affordability and utilization
Massachusetts Department of Health,mass.gov,https://www.mass.gov/careers,Government / Public Health,Government; Public Health; USAJobs,medium,State public health; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Massachusetts General Hospital Research Institute,massgeneral.org,https://www.massgeneral.org/research,academic,Academic Medical Centers; Research Institute; Unknown,high,Academic; Fetch: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self; Harvard teaching hospital research; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)>
Massachusetts Health Information Hiway,masshiway.net,https://www.masshiway.net,rwd_registry,Health Information Exchange; State Health Information Exchange,high,Massachusetts statewide health information exchange HISP
Mathematica Federal,mathematica.org,https://careers.mathematica.org/,Federal Contractors,Cornerstone; Federal Contractors; Research Organizations,medium,Federal health research/contractor; Medicaid policy evaluation; Policy evaluation; failure_reason=no_matching_roles
Mathematica Policy Research,mathematica.csod.com,https://mathematica.csod.com/ux/ats/careersite/4/home,Government / Public Health,Cornerstone; Government; Public Health; Research Organizations,medium,Policy evaluation; R20 new; failure_reason=no_matching_roles
Maven Clinic,mavenclinic.com,https://www.mavenclinic.com/careers,Digital Health,Digital Health,medium,Women's health virtual
Maximus,maximus.avature.net,https://maximus.avature.net/careers/USHome,Federal Contractors,Avature; Federal Contractors,medium,Federal health programs; Federal health research/contractor; failure_reason=no_matching_roles
Mayo Clinic,mayoclinic.org,https://www.mayoclinic.org,hospital_system,Academic Hospital; Academic Medical Center; Academic Medical Centers; Division of Clinical Trials and Biostatistics - Careers; Hospital Systems; Unknown,high,Academic medical center; Also seen under domain mayo.edu; Fetch: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unabl; Major academic medical center with biostatistics and epidemiology career opportunities; Major multi-state academic health system and research enterprise; Workday; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)>
Mayo Clinic College of Medicine and Science,college.mayo.edu,https://college.mayo.edu,org_harvest,Academic Medical Center; Mayo Clinic College of Medicine & Science,high,Consistently ranked #1 hospital; Premier academic medical center; Premier academic medical center with research and education
McCann Health,mccannhealth.com,https://mccannhealth.com/careers,Medical Communications,Medical Communications; Workday,medium,Medical communications; Medical/scientific communications; failure_reason=fetch_failed:HTTP Error 403: Forbidden
McKinsey Health Institute,mckinsey.com,https://www.mckinsey.com/mhi/overview,org_harvest,Consulting; McKinsey Health Institute,high,Employs health economists and healthcare strategists; Healthcare consulting institute; Non-profit-generating health institute within McKinsey
McLaren Health Plan,mclarenhealthplan.org,https://www.mclarenhealthplan.org,payer_vbc,Health Insurance; Medicaid and Michigan health insurance coverage,high,Michigan health plan
MCT CRO,mct-cro.com,https://www.mct-cro.com,cro_heor_rwe,CRO; CRO delivering clinical trials across Middle East Africa Pakistan and EAEU,high,Regional CRO focus
MD Anderson Cancer Center,mdanderson.org,https://www.mdanderson.org,org_harvest,Hospital Systems; MD Anderson Cancer Center; Research Institute; Taleo,high,Consistently ranked #1 cancer hospital; NCI cancer center; Premier cancer center; Premier cancer center with prevention and research programs; failure_reason=no_matching_roles
MDinteractive,mdinteractive.com,https://www.mdinteractive.com,clinical_informatics_healthit,Healthcare Software; Health information exchange bi-directional exchange and quality reporting,high,HIE and quality reporting software vendor
MDLive,mdlive.com,https://www.mdlive.com/careers,Digital Health,Digital Health; UKG; UltiPro,medium,Telehealth; failure_reason=no_matching_roles
MDRC Health,mdrc.org,https://www.mdrc.org/about/careers,Federal Contractors,Custom; Federal Contractors; Research Organizations,medium,Federal health research/contractor; Social policy evaluation; failure_reason=no_matching_roles
MEB Research,mebresearch.com,https://mebresearch.com,survey_policy_research,Program Evaluation; Research and program evaluation,high,Portland-based research and evaluation firm
Medable,medable.com,https://www.medable.com/careers,Digital Health,Digital Health; Greenhouse,medium,Digital trials platform; failure_reason=fetch_failed:HTTP Error 404: Not Found
MedErgy,medergy.com,https://www.medergy.com/careers,Medical Communications,Custom; Medical Communications,medium,Medical communications; failure_reason=fetch_failed:<urlopen error [Errno -3] Temporary failure in name resolution>
Medica,medica.com,https://www.medica.com,payer_vbc,Health Insurance; Multi-state health insurer individual family employer Medicaid Medicare,high,Health insurer in IA MN KS MO NE ND OK SD WI
Medicaid Health Plans of America,medicaidhealthplans.org,https://medicaidhealthplans.org,payer_vbc,Medicaid Managed Care; Trade association for Medicaid managed care organizations,high,Industry association representing Medicaid MCOs
Medical Action Communications,medicalaction.com,https://www.medicalaction.com/careers,Medical Communications,Custom; Medical Communications,medium,Medical/scientific communications; failure_reason=no_matching_roles
Medical College of Wisconsin,mcw.edu,https://careers.mcw.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Medical Communications Agency MM,medicalcommunications.com,https://www.medicalcommunications.com/careers,Medical Communications,Medical Communications; Workday,medium,Med comms agency; failure_reason=fetch_failed:HTTP Error 404: Not Found
Medical Communications Company,medicalcommunicationscompany.com,https://www.medicalcommunicationscompany.com/careers,Medical Communications,Custom; Medical Communications,medium,Medical writing; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Medical Decision Modeling,mcdmo.com,https://www.mcdmo.com/careers,HEOR / RWE / Consulting,Consulting; Custom; HEOR; RWE,medium,HEOR modeling; failure_reason=no_matching_roles
Medical Diagnostic Laboratories,mdlab.com,https://www.mdlab.com,med_device_diagnostics,Laboratory Medicine; PCR-based molecular diagnostic testing,high,Reference laboratory for molecular diagnostics
Medical Teams International,medicalteams.org,https://www.medicalteams.org,global_health_ngo,Humanitarian Health; Faith-based humanitarian care for refugees and disasters,high,Humanitarian health for displaced populations
Medical University of South Carolina,muschealth.org,https://muschealth.org,academic,Academic Medical Center; Academic Medical Centers; Workday (embedded; blocked API),high,Academic medical center; Also seen under domain musc.edu; Charleston SC academic medical center; failure_reason=no_matching_roles
Medicover Integrated Clinical Services,medicover-imed.com,https://medicover-imed.com,cro_heor_rwe,CRO; Integrated clinical research services,medium,Clinical research services provider
Medidata (Dassault),medidata.com,https://www.medidata.com/en/about-us/medidata-careers/,Digital Health,Custom; Digital Health,medium,Clinical data; Clinical trials data; R19 new; failure_reason=no_matching_roles
MEDITECH,ehr.meditech.com,https://ehr.meditech.com,clinical_informatics_healthit,EHR; Electronic health record platform unifying clinical and operational data; Electronic health record software for hospitals; Healthcare Software,high,Established acute and ambulatory EHR vendor; Major EHR vendor
MedPAC,medpac.gov,https://www.medpac.gov/what-we-do/careers/,Government / Public Health,Custom; Government; Public Health,medium,Medicare policy; failure_reason=no_matching_roles
Medpace,medpace.com,https://www.medpace.com,cro_heor_rwe,CRO; Consulting; Drug and biologic contract research organization; HEOR; RWE; Unknown,high,CRO; Fetch: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unabl; Full-service CRO; HEOR/RWE/epi consulting; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)>
MedShare International,medshare.org,https://www.medshare.org,global_health_ngo,Humanitarian Health; Medical supply donation to developing countries,high,Medical surplus redistribution NGO
MedStar Health Research Institute,medstarhealth.org,https://www.medstarhealth.org › innovation-and-research,hospital_system,Hospital System; Hospital Systems; Research Institute; Workday,high,DC/Maryland system; Hospital system; MHRI across 300+ sites of care; Research institute supporting clinical research throughout the MedStar Health system; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
MedThink,medthink.com,https://www.medthink.com/careers,Medical Communications,Medical Communications,medium,Medical communications
Medtronic,medtronic.com,https://jobs.medtronic.com/,digital_health,Digital Health; HealthCast Vital Sync remote patient monitoring; Pharmaceutical Companies; Unknown,medium,"Device HEOR; Fetch: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostn; Medical device company with hospital RPM product; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'jobs.medtronic.com'. (_ssl"
Meharry Medical College,mmc.edu,https://www.mmc.edu/careers/,Academic Medical Centers,Academic Medical Centers; Workday,medium,Academic medical center; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Memorial Hermann Health Plan,memorialhermann.org,https://healthplan.memorialhermann.org,payer_vbc,Health Insurance; Hospital Systems; Memorial Hermann Health Insurance Company; Phenom,high,Houston system; Texas regional health plan; failure_reason=no_matching_roles
Memorial Sloan Kettering Cancer Center,mskcc.org,https://www.mskcc.org,org_harvest,About Us | Memorial Sloan Kettering; Hospital Systems; Research Institute; Workday,high,Cancer center; Employs cancer epidemiologists and biostatisticians; Hospital/cancer center; Leading cancer research and treatment center; World-renowned cancer center eliminating health disparities; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)>; population health research
Mendel Health,mendel.ai,https://www.mendel.ai/careers,Digital Health,Digital Health; Unknown,medium,Clinical AI/RWD; R19 new; failure_reason=fetch_failed:<urlopen error [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1129)>
Merative,merative.com,https://www.merative.com,digital_health,Digital Health; Health data analytics and technology solutions; Healthcare Software,high,Claims/EHR analytics; Former IBM Watson Health; Former IBM Watson Health assets; Legacy
Merck,merck.com,https://www.merck.com,pharma_biotech,Biostatistics and Research Decision Sciences; Following science to tackle health threats and improve lives; Pharmaceutical; Pharmaceutical Companies; Unknown,high,Fetch: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self; HEOR; Major pharmaceutical company; Major pharmaceutical company with biostatistics and research opportunities; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)>
Mercy Health,mercy.net,https://jobs.mercy.net/,Hospital Systems,Hospital Systems; Workday,medium,Hospital system; Multi-state Catholic; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Message Lab Media,messagelabmedia.com,https://www.messagelabmedia.com/scientific-content-strategy,medical_communications,Scientific Communications; Scientific content agency - expert storytelling SEO-optimized content creation and strategic marketing for impactful science communications,high,Company page - scientific content agency
Metriport,metriport.com,https://www.metriport.com,clinical_informatics_healthit,FHIR; FHIR-native medical API for patient data aggregation and interoperability,high,Modern FHIR interoperability platform
MetroHealth Research Institute,metrohealth.org,https://www.metrohealth.org/research,academic,Academic Medical Centers; Hospital Systems; Research Institute; Workday,high,Academic medical center; Cleveland health system research; Cleveland public system; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Michigan State University College of Human Medicine,msu.edu,https://careers.msu.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
Microsoft Research,microsoft.com,https://www.microsoft.com/home/groups,google_harvest,Digital Health; Eightfold; Health Technology; Real-world Evidence - Microsoft Research: Opportunities,medium,Clinical AI; Microsoft research opportunities in real-world evidence and health data science; failure_reason=no_matching_roles
Midi Health,joinmidi.com,https://www.joinmidi.com/careers,Digital Health,Digital Health,medium,Women's midlife health
Mighty Catalyst,mightycatalyst.org,https://www.mightycatalyst.org,survey_policy_research,Program Evaluation; Research and evaluation consulting with human-centered design,high,Community-focused evaluation consulting organization
Mila Health,milahealth.com,https://milahealth.com,ai_clinical_datascience,Healthcare AI; AI Care Coordination for Payers and Providers - care gap closure outreach follow-up,high,Company homepage; page 8
Milbank Memorial Fund,milbank.org,https://www.milbank.org/about/careers/,Research Organizations,Custom; Research Organizations,medium,Health policy foundation; failure_reason=fetch_failed:HTTP Error 404: Not Found
Milken Institute,milkeninstitute.org,https://milkeninstitute.org/about/careers,Research Organizations,Custom; Research Organizations,medium,Health policy; failure_reason=no_matching_roles
Milken Institute School of Public Health,gwu.edu,https://publichealth.gwu.edu,hospital_system,Academic Medical Centers; Milken Institute School of Public Health | George Washington University; Regional Health System; School of Public Health; University; Workday,high,Academic institution employing epidemiology and biostatistics faculty; Academic medical center; Also seen under domain publichealth.gwu.edu; George Washington University; Population Health and Health Equity strategic plan with George Washington University affiliation; SPH/Medicine; Strong health policy and health economics programs; Top ten school of public health with center for health policy research; adjunct/epi potential; failure_reason=fetch_failed:<urlopen error [Errno -5] No address associated with hostname>
Millennium Health,millenniumhealth.com,https://www.millenniumhealth.com/careers/,Digital Health,Digital Health; Workable,medium,Toxicology data; failure_reason=no_matching_roles
Millennium Physician Group,millenniumphysician.com,https://millenniumphysician.com/careers-at-mpg/,Digital Health,Digital Health; Workday (embedded; blocked API),medium,Value-based; failure_reason=no_matching_roles
Milliman,milliman.com,https://careers.milliman.com/en,HEOR / RWE / Consulting,Consulting; HEOR; RWE; UKG; UltiPro,medium,Actuarial/HEOR; HEOR/RWE/epi consulting; failure_reason=no_matching_roles
Mindbowser,mindbowser.com,https://www.mindbowser.com,clinical_informatics_healthit,Healthcare Software; Health information exchange software solutions for seamless patient data exchange,medium,Healthcare IT software development firm
Minnesota Department of Health,mn.gov,https://mn.gov/mmb/careers/,Government / Public Health,Custom; Government; Public Health,medium,State public health; failure_reason=no_matching_roles
Mississippi Department of Health,ms.gov,https://www.ms.gov/dfa/telestaff,Government / Public Health,Government; Public Health; USAJobs,medium,State public health; failure_reason=fetch_failed:HTTP Error 404: Not Found
Missouri Department of Health,mo.gov,https://www.mo.gov/careers/,Government / Public Health,Government; Public Health; USAJobs,medium,State public health; failure_reason=fetch_failed:HTTP Error 404: Not Found
MITRE,mitre.org,https://careers.mitre.org/us/en,Federal Contractors,Federal Contractors; Phenom,medium,Federal health research/contractor; Health FFRDC; Phenom; failure_reason=no_matching_roles
Modern Health,modernhealth.com,https://www.modernhealth.com/careers,Digital Health,Digital Health,medium,Mental health benefits
Moderna,modernatx.com,https://www.modernatx.com/careers,Biotech Companies,Biotech Companies; Unknown,medium,Fetch: HTTP Error 308: Permanent Redirect; HEOR; failure_reason=fetch_failed:HTTP Error 308: Permanent Redirect; mRNA therapeutics
Moffitt Cancer Center,moffitt.org,https://careers.moffitt.org/,Hospital Systems,Hospital Systems; Workday,medium,Florida cancer center; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Montana Department of Health,mt.gov,https://mt.gov/govt/jobs,Government / Public Health,Government; Public Health; USAJobs,medium,State public health; failure_reason=fetch_failed:HTTP Error 404: Not Found
Montana State University Public Health,montana.edu,https://jobs.montana.edu/,Schools of Public Health,Academic Medical Centers; Schools of Public Health; Workday,medium,SPH; SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
Montefiore Health System,montefiore.org,https://www.montefiore.org/careers,Hospital Systems,Hospital Systems; Workday,medium,Bronx academic system; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Morehouse School of Medicine,msm.edu,https://www.msm.edu/Education/Careers/,Academic Medical Centers,Academic Medical Centers; Workday,medium,Health disparities research; failure_reason=fetch_failed:HTTP Error 404: Not Found
Mount Carmel Health,mountcarmelhealth.com,https://www.mountcarmelhealth.com,hospital_system,Regional Health System,high,Ohio regional health system including Mount Carmel Foundation
Mount Sinai Health System,mountsinai.org,https://www.mountsinai.org,hospital_system,Academic Medical Centers; Hospital System; Hospital Systems; iCIMS,high,Academic; Icahn School of Medicine including Mount Sinai Kravis Children's Hospital; NYC academic system; failure_reason=no_matching_roles
MRIGlobal,mriglobal.org,https://www.mriglobal.org/careers/,Federal Contractors,Custom; Federal Contractors,medium,Applied research; Federal health research/contractor; failure_reason=no_matching_roles
MSL Group (Publicis),mslgroup.com,https://www.mslgroup.com/careers,Medical Communications,Medical Communications; Workday,medium,Medical/scientific communications; failure_reason=fetch_failed:HTTP Error 404: Not Found
MultiCare Health System,multicare.org,https://jobs.multicare.org/,Hospital Systems,Hospital Systems; Workday,medium,Hospital/cancer center; failure_reason=fetch_failed:HTTP Error 403: Forbidden; population health research
MVP Health Care,mvphealthcare.com,https://www.mvphealthcare.com,payer_vbc,Health Insurance; NY health insurance for individuals family employer-based,high,Northeast regional health insurer
Mylan (Viatris),viatris.com,https://www.viatris.com/en/careers,Pharmaceutical Companies,Pharmaceutical Companies,medium,Generic pharma; Global generics
Myriad Genetics,myriad.com,https://www.myriad.com/careers/,Biotech Companies,Biotech Companies; Workday,medium,Genetic testing; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Mytonomy,mytonomy.com,https://mytonomy.com,digital_health,Digital Health; Patient engagement microlearning and education platform,high,Digital health patient education video platform
Médecins du Monde,medecinsdumonde.org,https://www.medecinsdumonde.org,global_health_ngo,Humanitarian Health; Medical care for vulnerable populations affected by crisis,high,Doctors of the World international medical NGO
NALC Health Benefit Plan,nalchbp.org,https://www.nalchbp.org,payer_vbc,Health Insurance; Health benefit plan for postal workers,medium,Health insurance agency
NASHP,nashp.org,https://nashp.org/careers/,Government / Public Health,Government; Public Health,medium,State policy
Natera Inc,natera.com,https://www.natera.com/company/careers/,Biotech Companies,Biotech Companies; Digital Health; Greenhouse,medium,Genomics; duplicate suppress; failure_reason=no_matching_roles
Nation Evaluation Consulting,nationconsult.com,https://nationconsult.com,survey_policy_research,Program Evaluation; Evaluation and strategic consulting for organizational programs,high,Program evaluation consulting firm
National Academy of Medicine,nam.edu,https://nam.edu,org_harvest,Government; National Academy of Medicine | Advancing Health Care; Public Health; Research Institute; Research Organizations; Workday,high,"Also seen under domain nationalacademies.org; Health policy; Health policy advisory; Health policy research; Health policy studies and digital health architecture research; Honorary organization conducting health policy studies; Part of National Academies of Sciences, Engineering, and Medicine; failure_reason=fetch_failed:HTTP Error 404: Not Found"
National Association of County and City Health Officials (NACCHO),naccho.org,https://naccho.org,environmental_occupational_health,Government; Public Health; Public Health Association; Public Health Preparedness; Unknown,high,Fetch: HTTP Error 403: Forbidden; Local health departments; Local public health; Supports local health departments with public health programs and preparedness; failure_reason=fetch_failed:HTTP Error 403: Forbidden
National Association of Professional Staff in Public Safety (NAPSPS),napsps.org,https://napsps.org,injury_safety_justice,professional association; public safety workforce; law enforcement support services,low,National association for civilian public safety professionals; membership organization rather than primary research center
National Bureau of Economic Research,nber.org,https://www.nber.org/jobs,Government / Public Health,Custom; Government; Public Health; Research Organizations,medium,Health economics research; Public health research/policy; failure_reason=no_matching_roles
National Cancer Institute (NCI),cancer.gov,https://dceg.cancer.gov,environmental_occupational_health,About NCI; Academic Medical Centers; Custom; Environmental Epidemiology; Exposure Science; Government; Government - Federal Research Institute; Hospital Systems; Occupational Health,high,Division of Cancer Epidemiology and Genetics; Hospital/cancer center; Major NIH institute for cancer epidemiology and biostatistics; NIH cancer research; NIH institute for cancer research and prevention; Occupational and Environmental Epidemiology Branch (OEEB) studies workplace and environmental exposures; failure_reason=no_matching_roles; population health research
National Heart Lung and Blood Institute,nhlbi.nih.gov,https://www.nhlbi.nih.gov/about/careers,Academic Medical Centers,Academic Medical Centers; USAJobs,medium,NIH cardiovascular research; failure_reason=fetch_failed:HTTP Error 404: Not Found
National Institute for Occupational Safety and Health (NIOSH),cdc.gov,https://www.cdc.gov,environmental_occupational_health,Global Health; Government - Federal Research Agency; Occupational Health; US government global health programs and disease response; Workplace Safety Research,high,Leading federal research agency for occupational safety and health; US federal global health center; part of CDC
National Institutes of Health,nih.gov,https://www.nih.gov,hospital_system,Clinical Registry; Federal Research Institute; Government; Multiple (cancer ophthalmology); National Institutes of Health (NIH); Specialty Hospital,high,"Federal biomedical research agency; Government registry aggregator listing patient and clinical registries; Multiple institutes employ epidemiologists and biostatisticians; Nation's medical research agency, part of US Department of Health and Human Services; Premier U.S. hospital for clinical research located in Bethesda MD; Premier federal biomedical and public health research agency"
National Network for Youth,nn4youth.org,https://nn4youth.org,behavioral_mental_health,Behavioral health company / Youth services organization; Youth mental health and homeless youth services,medium,National nonprofit serving youth experiencing homelessness with behavioral health focus
National Offices of Violence Prevention Network,ovpnetwork.org,https://www.ovpnetwork.org,injury_safety_justice,network of state violence prevention offices; firearm injury prevention; violence prevention,medium,Network of state offices of violence prevention including firearm injury prevention offices
National Veterans Foundation,nvf.org,https://www.nvf.org,behavioral_mental_health,Veterans health organization; Veterans mental health PTSD and trauma support,high,Nonprofit supporting veterans with PTSD and trauma-related mental health needs
Nationwide Children's Hospital Abigail Wexner Research Institute,nationwidechildrens.org,https://www.nationwidechildrens.org/research,academic,Hospital Systems; Research Institute,high,Columbus OH pediatric research; Hospital/cancer center; Pediatric research; population health research
