organization,domain,visible_url,primary_category,secondary_categories,confidence,notes
Cigna/Evernorth,thecignagroup.com,https://jobs.thecignagroup.com/,Digital Health,Digital Health; Unknown,medium,Fetch: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self; Payer analytics; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)>
Cincinnati Children's Hospital,cincinnatichildrens.org,https://www.cincinnatichildrens.org,hospital_system,Children's Hospital; Hospital Systems; Workday,high,Hospital/cancer center; Office of Population Health focus at major children's hospital system; failure_reason=no_matching_roles; population health research
CIOMS,cioms.ch,https://www.cioms.ch,global_health_ngo,Other; International medical research ethics and standards,high,Council for International Organizations of Medical Sciences
City of Hope,cityofhope.org,https://www.cityofhope.org,academic,Academic Medical Center; City of Hope: Top Cancer Treatment and Research Center; Clinical Research Jobs at City of Hope; Hospital Systems; Research Institute; Workday,high,"Also seen under domain cityofhope.jobs.org; Beckman Research Institute for cancer, HIV, and diabetes; California cancer center; Cancer center with TGen affiliate; Comprehensive cancer center with clinical research opportunities; Hospital/cancer center; NCI-designated Comprehensive Cancer Center with Beckman Research Institute; NCI-designated comprehensive cancer center; failure_reason=fetch_failed:<urlopen error timed out>; population health research"
Cityblock Health,cityblock.com,https://cityblock.com/careers/,Digital Health,Digital Health; Unknown,medium,Fetch: HTTP Error 308: Permanent Redirect; Value-based care; failure_reason=fetch_failed:HTTP Error 308: Permanent Redirect
Civitas Networks for Health,civitasforhealth.org,https://www.civitasforhealth.org,clinical_informatics_healthit,HIE; Health information exchange facilitating secure clinical data sharing,high,Regional and national HIE network organization
Clario,clario.com,https://clario.com,cro_heor_rwe,CRO; Clinical research organization and clinical trial solutions,high,Regulatory and market access support
Clarivate (DRG),clarivate.com,https://careers.clarivate.com/,HEOR / RWE / Consulting,Consulting; HEOR; Phenom; RWE,medium,HEOR consulting; HEOR/RWE/epi consulting; failure_reason=no_matching_roles
ClearView Healthcare Partners,clearviewhcp.com,https://clearviewhcp.com/careers/,HEOR / RWE / Consulting,Consulting; Greenhouse (embedded); HEOR; RWE,medium,Strategy consulting; failure_reason=no_matching_roles
Clemson University School of Health Research,clemson.edu,https://www.clemson.edu/health-research,injury_safety_justice,Academic Medical Centers; Research Institute; Workday; criminal justice research; public safety research; university research center; violence prevention,high,CUSHR interdisciplinary health research; SPH/Medicine; University center providing public safety research evaluation and criminal justice technical assistance; adjunct/epi potential; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Cleveland Clinic,clevelandclinic.org,https://jobs.clevelandclinic.org/,Hospital Systems,Hospital Systems; Workday (embedded; blocked API),medium,Academic medical center; failure_reason=no_matching_roles
Cleveland Clinic Lerner Research Institute,lerner.ccf.org,https://www.lerner.ccf.org,academic,Research Institute,high,Cleveland Clinic research arm
Clever Care Health Plan,clevercarehealthplan.com,https://www.clevercarehealthplan.com,payer_vbc,Medicare Advantage; Medicare Advantage Alternative Medicine Plans,high,Medicare Advantage with alternative medicine focus
Clinical Registry Investigating Bardet-Biedl Syndrome,bbs-registry.org,https://www.bbs-registry.org,rwd_registry,Clinical Registry; Bardet-Biedl Syndrome,high,CRIBBS clinical registry for Bardet-Biedl syndrome community
ClinicalConnect HIE,clinicalconnecthie.com,https://www.clinicalconnecthie.com,clinical_informatics_healthit,HIE; Secure health information exchange for regional healthcare provider networks,high,Regional HIE serving Western Pennsylvania
ClinicalTrials.gov,clinicaltrials.gov,https://clinicaltrials.gov,rwd_registry,Clinical Registry; General,high,Federal clinical trials and observational study registry
ClosedLoop AI,gethealthy.com,https://www.gethealthy.com/careers/,Digital Health,Digital Health; Greenhouse (embedded),medium,Predictive analytics; failure_reason=no_matching_roles
Cloudticity,cloudticity.com,https://www.cloudticity.com,clinical_informatics_healthit,Health IT; Cloud-based health information exchange and healthcare data platform on public cloud,high,Cloud HIE and healthcare data infrastructure
Clover Health,cloverhealth.com,https://www.cloverhealth.com/about-us/careers,Digital Health,Custom; Digital Health,medium,MA analytics; failure_reason=no_matching_roles
CM Consulting,cmconsulting.co,https://www.cmconsulting.co/scientific-medical-writing,medical_communications,Medical Writing; Independent medical communications agency partnering with leading healthcare organisations to develop compelling scientific content,medium,Company services page - independent medical communications agency
CMI Media Group,cmimediagroup.com,https://www.cmimediagroup.com/careers,Medical Communications,Medical Communications; Workday,medium,"Medical/scientific communications; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.cmimediagroup.com'. (_"
CMIC,cmicgroup.com,https://cmicgroup.com,cro_heor_rwe,CRO; Clinical CRO solutions Phase I to Phase IV,high,Japan's first and largest contract research organization
CNA Corporation,cna.org,https://www.cna.org/careers/working-at-cna,Federal Contractors,Dayforce; Federal Contractors,medium,Dayforce; failure_reason=no_matching_roles
Co-Dx,co-dx.com,https://co-dx.com,med_device_diagnostics,Molecular Diagnostics; PCR platform for rapid real-time diagnostic results,high,Point-of-care molecular diagnostics
Cochrane,cochrane.org,https://www.cochrane.org/about-us/jobs,Research Organizations,Custom; Research Organizations,medium,Evidence synthesis; failure_reason=no_matching_roles
Coforma,coforma.io,https://coforma.io/careers/,Federal Contractors,Federal Contractors; Greenhouse,medium,CMS/HHS digital; Federal digital health; Federal health research/contractor; R20 new; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Coherus BioSciences,coherus.com,https://www.coherus.com/careers/,Pharmaceutical Companies,Pharmaceutical Companies; Workday,medium,Biosimilars; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Collective Health,collectivehealth.com,https://collectivehealth.com/careers/,Digital Health,Digital Health,medium,Employer benefits
Collegium Pharmaceutical,collegiumpharma.com,https://www.collegiumpharma.com/careers/,Pharmaceutical Companies,Pharmaceutical Companies; Workday,medium,Specialty pharma; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Color Health Inc,color.com,https://www.color.com/careers,Biotech Companies,Biotech Companies; Custom; Digital Health,medium,Population genomics; failure_reason=no_matching_roles
Colorado Department of Public Health and Environment,cdphe.colorado.gov,https://cdphe.colorado.gov/careers,google_harvest,Government; Careers,high,Official Colorado state government career page for Department of Public Health and Environment
Colorado School of Public Health,cuanschutz.edu,https://coloradosph.cuanschutz.edu,academic,Colorado School of Public Health - CU Anschutz; School of Public Health; University,high,Also seen under domain coloradosph.cuanschutz.edu; CU Anschutz multi-campus SPH; Educate future leaders and turn research into practice; Only accredited school of public health in Rocky Mountain region; Tri-institutional collaboration
Colorado Social Health Information Exchange,ehealth.colorado.gov,https://ehealth.colorado.gov/CSHIE,rwd_registry,Health Information Exchange; State Health Information Exchange,high,Colorado social health information exchange supporting whole-person care
Colorado State University School of Public Health,colostate.edu,https://publichealth.colostate.edu,academic,Colorado School of Public Health at Colorado State University; School of Public Health; University,high,Academic public health employer; Accredited school of public health in Rocky Mountain region; Also seen under domain publichealth.colostate.edu; Part of Colorado SPH tri-institutional collaboration; Rocky Mountain accredited SPH
Columbia Data Analytics,columbiadataanalytics.com,https://columbiadataanalytics.com/careers,google_harvest,HEOR; Careers - HEOR,high,HEOR and healthcare analytics consulting firm
Columbia Mailman School of Public Health,opportunities.columbia.edu,https://opportunities.columbia.edu/,Academic Medical Centers,Academic Medical Centers,medium,Workday
Columbia University Mailman School of Public Health,columbia.edu,https://www.publichealth.columbia.edu,academic,Careers in Public Health; Columbia University Mailman School of Public Health; School of Public Health; University,high,"Also seen under domain publichealth.columbia.edu; Columbia University public health; Founded 1922, groundbreaking research and innovative solutions; Strong epidemiology and health policy programs; Top public health school career opportunities; Top-tier school of public health"
Commgenix,commgenix.com,https://commgenix.com/about,medical_communications,Medical Communications; Medical communications agency for life sciences fueled by deep commitment to excellence and pioneering bold effective medical communications,high,Company about page - medical communications agency for life sciences
CommonSpirit Health,commonspirit.org,https://www.commonspirit.org,org_harvest,"Hospital System; Dignity Health AZ, CA, and NV",high,"Includes Dignity Health and CHI Health; Large health system with quality and research initiatives; Large integrated health system across Arizona, California, and Nevada"
Commonwealth Fund,commonwealthfund.org,https://www.commonwealthfund.org,global_health_ngo,Health care systems policy research foundation; Other; Research Organizations; Workday,high,Health policy foundation; Private US health policy research foundation; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Community Catalyst,communitycatalyst.org,https://communitycatalyst.org/about/careers/,Government / Public Health,ADP; Government; Public Health,medium,Health justice; failure_reason=no_matching_roles
Community Health Network,ecommunity.com,https://careers.ecommunity.com/,Hospital Systems,Hospital Systems; Workday,medium,Hospital system; Indiana system; failure_reason=fetch_failed:<urlopen error [Errno -5] No address associated with hostname>
Complete HealthVizion,healthvizion.com,https://www.healthvizion.com/careers,Medical Communications,Custom; Medical Communications,medium,Medical writing; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
ConcertAI,concertai.com,https://www.concertai.com/careers,Digital Health,Digital Health; Unknown,medium,Fetch: HTTP Error 404: Not Found; Oncology RWE; failure_reason=fetch_failed:HTTP Error 404: Not Found
Cone Health,conehealth.com,https://jobs.conehealth.com/,Hospital Systems,Hospital Systems; Workday,medium,Hospital system; failure_reason=no_matching_roles
Connecticut Children's Research Institute,connecticutchildrens.org,https://www.connecticutchildrens.org/research-institute,academic,Research Institute,high,Pediatric healthcare research
Contexture,contexture.org,https://www.contexture.org,clinical_informatics_healthit,HIE; Regional health information exchange enabling delivery of health information,high,Multi-state regional HIE
Cook Children's Health Care,cookchildrens.org,https://careers.cookchildrens.org/,Hospital Systems,Hospital Systems; Workday,medium,Hospital/cancer center; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>; population health research
Cooper University Health,cooperhealth.org,https://jobs.cooperhealth.org/,Academic Medical Centers,Academic Medical Centers; Hospital Systems; Workday,medium,Academic medical center; New Jersey AMC; failure_reason=no_matching_roles
Corbin Communications,corbincommunications.com,https://www.corbincommunications.com/careers,Medical Communications,Custom; Medical Communications,medium,Medical writing; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Corcept Therapeutics,corcept.com,https://www.corcept.com/careers/,Biotech Companies,Biotech Companies; Workday (embedded; blocked API),medium,Commercial biotech; failure_reason=no_matching_roles
Coreva Scientific,coreva-scientific.com,https://www.coreva-scientific.com/careers,HEOR / RWE / Consulting,Consulting; Custom; HEOR; RWE,medium,HEOR modeling; failure_reason=fetch_failed:HTTP Error 404: Not Found
CorEvitas HEOR,corevitas.com,https://www.corevitas.com/careers,HEOR Consulting,HEOR Consulting; Workday,medium,HEOR consulting; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Corewell Health Research Institute,corewellhealth.org,https://www.corewellhealth.org/research-institute,academic,Hospital Systems; Research Institute; Workday,high,Michigan health system research; Michigan system; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Cornell University Master of Public Health,hr.cornell.edu,https://hr.cornell.edu/jobs,Academic Medical Centers,Academic Medical Centers,medium,SPH/Medicine; adjunct/epi potential
Costello Medical,costellomedical.com,https://www.costellomedical.com,cro_heor_rwe,Consulting; HEOR; Medical Communications; RWE; Real-world evidence methodologies and geographies for evidence generation; Workable,high,Also seen under domain apply.workable.com; HEOR analytics; Supports global evidence generation needs; Workable; evidence dev; failure_reason=no_matching_roles
COTA Healthcare,cotahealthcare.com,https://cotahealthcare.com/,Digital Health,Digital Health,medium,Oncology RWD
Cotiviti,cotiviti.com,https://www.cotiviti.com/careers,HEOR / RWE / Consulting,Consulting; HEOR; RWE; iCIMS,medium,Risk adjustment analytics; failure_reason=no_matching_roles
Council of State and Territorial Epidemiologists (CSTE),cste.org,https://www.cste.org,environmental_occupational_health,Custom; Disaster Epidemiology; Government; Professional Association; Public Health; Public Health Preparedness,high,Applied epidemiology org; Disaster Epidemiology Subcommittee focuses on public health preparedness and disaster response; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Council on Education for Public Health,ceph.org,https://ceph.org,consulting_federal,Council on Education for Public Health: Home; Independent agency accrediting schools of public health; Other; Public Health Organization,medium,Accreditation body for public health programs; Accreditation body rather than consulting or research firm; Independent agency accrediting schools of public health; Sets standards for public health education
Creighton University Health Sciences,creighton.edu,https://careers.creighton.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,Academic medical center; SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:HTTP Error 403: Outdated Browser Version
Criminal Justice Policy Research Institute,pdx.edu,https://www.pdx.edu/criminology-criminal-justice/cjpri,survey_policy_research,Academic Medical Centers; Criminal justice policy research; Policy Research; Workday,high,Portland State University policy research hub; SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:HTTP Error 404: Not Found
CRISP,crisphealth.org,https://www.crisphealth.org,clinical_informatics_healthit,HIE; State-designated health information exchange and health data utility,high,Maryland statewide HIE
CRISPR Therapeutics,crisprtx.com,https://www.crisprtx.com,pharma_biotech,Biotech Companies; Biotechnology; Pioneering a new era of medicines; transforming lives of patients with serious diseases,high,Gene editing biotech; Gene therapy
Criterium CRO,criteriumcro.com,https://www.criteriumcro.com,cro_heor_rwe,CRO; Full service clinical research organization,high,Quality clinical trial solutions reducing costs and expediting approval
Cromos Pharma,cromospharma.com,https://cromospharma.com,cro_heor_rwe,CRO; US-based ISO-accredited international CRO,high,22+ years experience integrated CRO services
Crossover Health,crossoverhealth.com,https://crossoverhealth.com/careers/,Digital Health,Digital Health; Unknown,medium,Employer health; Fetch: HTTP Error 403: Forbidden; failure_reason=fetch_failed:HTTP Error 403: Forbidden
CSL Behring,csl.com,https://www.csl.com/careers,Pharmaceutical Companies,Pharmaceutical Companies; Workday (embedded; blocked API),medium,Biologics; failure_reason=no_matching_roles
CTC Medical Communications,ctc.agency,https://ctc.agency/resource-hub/what-does-a-medical-communications-agency-do,medical_communications,Medical Communications; Medical communications agency supporting biotechnology and pharmaceutical companies,high,Company resource page explaining agency services
CTI Clinical Trial and Consulting,ctifacts.com,https://www.ctifacts.com,cro_heor_rwe,CRO; RWE; Full-service contract research organization founded 1999,high,Full-service CRO with RWE capabilities
CUNY Graduate School of Public Health,cuny.edu,https://sph.cuny.edu,academic,School of Public Health,high,City University of New York
CVP (Client Solution Architects),careers-cvpcorp.icims.com,https://careers-cvpcorp.icims.com/,Federal Contractors,Federal Contractors; iCIMS,medium,Federal health research/contractor; failure_reason=no_matching_roles; iCIMS
CVS Health/Aetna,cvshealth.com,https://jobs.cvshealth.com/us/en,Digital Health,Digital Health; Phenom,medium,Home health analytics; Medicare analytics; Medicare primary care; Payer/pharmacy data; failure_reason=no_matching_roles
Cystic Fibrosis Foundation,cff.org,https://www.cff.org/medical-professionals/patient-registry,rwd_registry,Patient Registry; Cystic Fibrosis,high,CF Foundation Patient Registry collects longitudinal health status data
Cytel,cytel.com,https://cytel.com,cro_heor_rwe,Consulting; HEOR; Market access real-world evidence software trial design HEOR; RWE,high,Biostatistics/HEOR; HEOR market access and regulatory strategy
Daiichi Sankyo US,daiichisankyo.us,https://daiichisankyo.us/careers/,Pharmaceutical Companies,Pharmaceutical Companies; Workday,medium,Oncology; failure_reason=fetch_failed:HTTP Error 404: 404
Dana-Farber Cancer Institute,dana-farber.org,https://careers.dana-farber.org/jobs/clinical-research,google_harvest,Clinical Research Jobs at Dana-Farber Cancer Institute; Hospital Systems; Research Institute,high,Cancer research institute with clinical research career opportunities; Harvard cancer center; Hospital/cancer center; population health research
Danaher Life Sciences,danaher.com,https://lifesciences.danaher.com,pharma_biotech,Biotech Companies; Improving drug candidate success rates by 25% with automation solutions; Other; Pharmaceutical Companies; Phenom; analytical innovations; digital solutions,medium,Diagnostics; Life sciences tools and services provider; failure_reason=no_matching_roles
Dandelion Health,dandelionhealth.ai,https://dandelionhealth.ai,digital_health,Health AI; Multimodal real-world data clinical AI marketplace,high,Precision medicine platform combining RWD with validated AI
Dartmouth College Geisel School of Medicine,dartmouth.edu,https://careers.dartmouth.edu/,Academic Medical Centers,Academic Medical Centers,medium,SPH/Medicine; adjunct/epi potential
Dartmouth-Hitchcock Medical Center,dartmouth-hitchcock.org,https://www.dartmouth-hitchcock.org › about › population,hospital_system,Academic Hospital; Academic Medical Centers; iCIMS,high,Academic medical center; Population Health team convenes health system and community leaders for evidence-based programs; failure_reason=fetch_failed:<urlopen error [Errno -3] Temporary failure in name resolution>
Databricks Health,databricks.com,https://www.databricks.com/company/careers,Digital Health,Custom; Digital Health,medium,Data platform; failure_reason=no_matching_roles
datamedcomms,datamedcomms.com,https://www.datamedcomms.com/medical-communications,medical_communications,Medical Communications; Medical communications agency and health marketing agency delivering people-first healthcare marketing creative campaigns and impactful scientific storytelling,high,Company page - medical communications and health marketing agency
Datavant,datavant.com,https://www.datavant.com,clinical_informatics_healthit,Data Connectivity; Digital Health; Health IT; Healthcare data connectivity privacy-preserving record linkage and exchange; Real-World Data; Unknown,high,Data linkage; Fetch: HTTP Error 404: Not Found; Healthcare data infrastructure and connectivity platform; R19 new; RWE platform; Real-world data connectivity platform for clinical research and drug development; failure_reason=fetch_failed:HTTP Error 403: Forbidden
de Beaumont Foundation,debeaumont.org,https://debeaumont.org/careers/,Government / Public Health,Custom; Government; Public Health,medium,Public health foundation; failure_reason=fetch_failed:HTTP Error 404: Not Found
Deaconess Health System,deaconess.com,https://www.deaconess.com/careers,Hospital Systems,Hospital Systems; UKG; UltiPro,medium,Indiana/Kentucky; failure_reason=no_matching_roles
Decipher,deciphergenomics.org,https://www.deciphergenomics.org,clinical_informatics_healthit,Clinical Data Platform; Clinical genome database for sharing and comparing human genome variants,high,Genomic and clinical data platform
Deep 6 AI,deep6.ai,https://www.deep6.ai/careers,Digital Health,Digital Health; Greenhouse,medium,Clinical trial matching; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Definitive Healthcare,definitivehc.com,https://www.definitivehc.com/careers,Digital Health,Digital Health; Greenhouse,medium,Healthcare commercial data; failure_reason=fetch_failed:HTTP Error 404: Not Found
Delaware Department of Health,delawarestatejobs.com,https://delawarestatejobs.com/,Government / Public Health,Government; Public Health; USAJobs,medium,"State public health; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'delawarestatejobs.com'. (_"
Dell Medical School at UT Austin,utexas.edu,https://dellmed.utexas.edu,academic,Medical School,high,UT Austin medical school
Deloitte Consulting LLP,apply.deloitte.com,https://apply.deloitte.com/en_US/careers,Federal Contractors,Consulting; Federal Contractors; HEOR; RWE; Workday,medium,Health consulting; Life sciences consulting; R20 new; Workday; failure_reason=no_matching_roles
Dentsu Health,dentsu.com,https://www.dentsu.com/careers,Medical Communications,Medical Communications,medium,Medical/scientific communications
Denver Health,denverhealth.org,https://www.denverhealth.org,hospital_system,Hospital System; Hospital Systems; Workday,high,Denver public hospital system including Denver Health Hospital and Clinics; Public safety-net; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)>
DePaul University Health Sciences,depaul.edu,https://careers.depaul.edu/,Universities,Universities,medium,University
Devoted Health,devoted.com,https://www.devoted.com/careers/,Digital Health,Digital Health,medium,Medicare Advantage
