organization,visible_url,domain,organization_type,specialty,confidence,notes
Veradigm,https://veradigm.com/Life-Sciences/Veradigm,veradigm.com,EHR Data,EHR/Clinical Data,high,Real-world evidence services leveraging EHR-sourced clinical registry populations
Massachusetts Center for Health Information and Analysis,https://www.chiamass.gov,chiamass.gov,Health Data Network,State Health Data,high,Independent state agency analyzing Massachusetts health system quality affordability and utilization
Scalence,https://www.scalence.com,scalence.com,Real-World Data,Clinical Data Platforms,high,Clinical data platforms integrating trial registry EHR and claims data for RWE
PSC Partners Patient Registry,https://www.pscpartnersregistry.org,pscpartnersregistry.org,Patient Registry,Primary Sclerosing Cholangitis,high,Patient registry supporting PSC research worldwide
IntuitionLabs,https://intuitionlabs.ai,intuitionlabs.ai,Health Data Network,EMR/Claims Integration,high,RWE platform architecture integrating EMR and claims across OMOP CDM networks
DHIS2,https://dhis2.org,dhis2.org,Health Data Network,Health Information Management System,high,Global public-good health information management and analytics platform
Canadian Institute for Health Information,https://www.cihi.ca,cihi.ca,Health Data Network,Canadian Health Systems Data,high,National source for Canadian health systems and population health data
Surescripts,https://surescripts.com/interconnect,surescripts.com,Health Information Exchange,Health Information Network,high,National health information network supporting TEFCA-scale patient information exchange
PFIC Network,https://www.pfic.org/Get-Involved,pfic.org,Patient Registry,Progressive Familial Intrahepatic Cholestasis,high,PFIC patient registry for disease experience data collection
Foundation for Sarcoidosis Research,https://www.stopsarcoidosis.org/patient-registry,stopsarcoidosis.org,Patient Registry,Sarcoidosis,high,FSR patient registry for sarcoidosis research
European Cystic Fibrosis Society,https://pr.ecfs.eu,ecfs.eu,Patient Registry,Cystic Fibrosis,high,ECFS patient registry providing population-level cystic fibrosis data
Camden Coalition,https://camdenhealth.org/work/health-information-exchange,camdenhealth.org,Health Information Exchange,General,high,Regional health information exchange providing real-time data for care coordination
Aplastic Anemia and MDS International Foundation,https://www.aamds.org/sponsored-research/global-pnh-patient-registry,aamds.org,Patient Registry,Aplastic Anemia / MDS / PNH,high,Global PNH patient registry sponsored with NORD
Blood Cancer United,https://bloodcancerunited.org/resources/patients/registry,bloodcancerunited.org,Patient Registry,Blood Cancer,high,National patient registry for blood cancer research
New Jersey Health Information Network,https://www.nj.gov/health/njhin,nj.gov,Health Information Exchange,State Health Information Exchange,high,Statewide system for secure electronic patient health information exchange
Clinical Registry Investigating Bardet-Biedl Syndrome,https://www.bbs-registry.org,bbs-registry.org,Clinical Registry,Bardet-Biedl Syndrome,high,CRIBBS clinical registry for Bardet-Biedl syndrome community
Massachusetts Health Information Hiway,https://www.masshiway.net,masshiway.net,Health Information Exchange,State Health Information Exchange,high,Massachusetts statewide health information exchange HISP
Kentucky Health Information Exchange,https://khie.ky.gov/Pages,khie.ky.gov,Health Information Exchange,State Health Information Exchange,high,Kentucky statewide health information exchange
Wisconsin Health Information Organization,https://whio.org,whio.org,Health Data Network,State Health Data,high,State health data organization equipping Wisconsin healthcare leaders with objective data
Georgia Health Information Network,https://www.gahin.org,gahin.org,Health Information Exchange,State Health Information Exchange,high,Georgia statewide electronic health information exchange
Texas Statewide Health Information Exchange,https://www.hhs.texas.gov/improving-services-texans,hhs.texas.gov,Health Information Exchange,State Health Information Exchange,high,Texas statewide health information exchange for provider data sharing
Wisconsin Statewide Health Information Network,https://wishin.org,wishin.org,Health Information Exchange,State Health Information Exchange,high,Wisconsin state-designated statewide vendor-agnostic HIE entity
Colorado Social Health Information Exchange,https://ehealth.colorado.gov/CSHIE,ehealth.colorado.gov,Health Information Exchange,State Health Information Exchange,high,Colorado social health information exchange supporting whole-person care
Hawaii Health Information Exchange,https://hawaiihie.org,hawaiihie.org,Health Information Exchange,State Health Information Exchange,high,Hawaii state HIE enabling provider and hospital data exchange
Providence Health Information Exchange,https://provshare.org,provshare.org,Health Information Exchange,Regional Health Information Exchange,high,Providence-affiliated regional health information exchange for care coordination
