organization,employer_url,search_term,job_title,job_url,location,remote_status,captured_at
AIR Federal,https://www.air.org/careers,research,Medicaid Researcher Healthcare Innovations,https://www.air.org/careers,US-Remote,Fully Remote,2026-06-22T14:00:00+00:00
AIR Federal,https://www.air.org/careers,research,Principal Researcher Prescription Drug Policy,https://www.air.org/careers,US-Remote,Fully Remote,2026-06-22T14:00:00+00:00
AIR Federal,https://www.air.org/careers,research,Principal Researcher Value-Based Specialty Care,https://www.air.org/careers,US-Remote,Fully Remote,2026-06-22T14:00:00+00:00
AIR Federal,https://www.air.org/careers,research,Research Associate Healthcare Innovations,https://www.air.org/careers,US-Remote,Fully Remote,2026-06-22T14:00:00+00:00
AIR Federal,https://www.air.org/careers,research,Senior Researcher Healthcare Innovations,https://www.air.org/careers,US-Remote,Fully Remote,2026-06-22T14:00:00+00:00
AIR Federal,https://www.air.org/careers,public health,Medicaid and Medicare Policy Researcher,https://www.air.org/careers,US-Remote,Fully Remote,2026-06-22T14:00:00+00:00
AIR Federal,https://www.air.org/careers,outcomes research,Senior Researcher Healthcare Transformation,https://www.air.org/careers,US-Remote,Fully Remote,2026-06-22T14:00:00+00:00
AIR Federal,https://www.air.org/careers,research,Senior Researcher Community Safety and Violence Prevention,https://www.air.org/careers,US-Remote,Fully Remote,2026-06-22T14:00:00+00:00
AIR Federal,https://www.air.org/careers,research,Senior Researcher Suicide Prevention and Safety Outcomes,https://www.air.org/careers,US-Remote,Fully Remote,2026-06-22T14:00:00+00:00
Allucent,https://www.allucent.com,biostatistics,Director/Sr Director Biostatistical Consulting,https://apply.workable.com/allucent/,Remote United States,Fully Remote,2026-06-22T15:00:00+00:00
Allucent,https://www.allucent.com,biostatistics,Associate Director/Director Pharmacometrician,https://apply.workable.com/allucent/,Remote United States,Fully Remote,2026-06-22T15:00:00+00:00
Amgen,https://www.amgen.com,HEOR,Global HEOR Senior Manager,https://careers.amgen.com/en/job/washington-d-c/global-health-economics-and-outcomes-research-heor-senior-manager/87/96477788352,United States - Remote,Fully Remote,2026-06-22T16:00:00+00:00
Amgen,https://www.amgen.com,epidemiology,Observational Research Senior Manager,https://careers.amgen.com/en/job/washington-d-c/observational-research-senior-manager-pharmacovigilance-epidemiology-causal-inference-obesity/87/93473144048,United States - Remote,Fully Remote,2026-06-22T16:00:00+00:00
Amgen,https://www.amgen.com,biostatistics,Biostatistics Manager General Medicine,https://careers.amgen.com/en/job/washington-d-c/biostatistics-manager/87/93966677824,United States - Remote,Fully Remote,2026-06-22T16:00:00+00:00
Amgen,https://www.amgen.com,HEOR,HEOR Senior Manager Oncology,https://careers.amgen.com/en/job/washington-d-c/health-economics-and-outcomes-research-heor-senior-manager-oncology/87/89704257456,United States - Remote,Fully Remote,2026-06-22T16:00:00+00:00
Amgen,https://www.amgen.com,biostatistics,Biostatistics Manager,https://careers.amgen.com/en/job/washington-d-c/biostatistics-manager/87/93966677824,United States - Remote,Fully Remote,2026-06-22T16:00:00+00:00
Amplify,https://amplify.com/medical-communications,medical writer,Experienced Medical Writer USA,https://careers.amiculum.biz/jobs/7841961-experienced-medical-writer-usa,USA Remote,Fully Remote,2026-06-22T16:00:00+00:00
Amplify,https://amplify.com/medical-communications,medical writer,Medical Writer Porterhouse Medical US,https://www.porterhousemedical.com/jobs/medical-writer-porterhouse-medical-us/,US Remote,Fully Remote,2026-06-22T16:00:00+00:00
Amplify,https://amplify.com/medical-communications,medical writer,Medical Writer Medical Communications,https://www.remoterocketship.com/us/company/precisionvalue/jobs/medical-writer-medical-communications-united-states-remote/,United States - Remote,Fully Remote,2026-06-22T16:00:00+00:00
Amwell,https://business.amwell.com/about-us/careers/jobs,data scientist,Sr Data Scientist,https://ai-jobs.net/job/6830-sr-data-scientist/,Remote/Anywhere,Fully Remote,2026-06-22T16:00:00+00:00
AnalytAIX,https://analytaix.com,data scientist,Data Scientist NLP,https://analyticallc.applytojob.com/apply/aONiQ1w0Ox/Data-Scientist-NLP,Fully Remote,Fully Remote,2026-06-22T16:00:00+00:00
AnalytAIX,https://analytaix.com,data scientist,Senior Data Scientist Medicaid Policy,https://analyticallc.applytojob.com/apply/aAs7KEZ0Ne/Senior-Data-Scientist,Remote,Fully Remote,2026-06-22T16:00:00+00:00
AnalytAIX,https://analytaix.com,data scientist,Data Scientist Federal Programs,https://datasciencejobs.com/jobs/data-scientist-analytica-united-states-1/,Remote United States,Fully Remote,2026-06-22T16:00:00+00:00
Alnylam,https://www.alnylam.com,biostatistics,Associate Director Biostatistics,https://www.compbiojobs.com/jobs/4214/associate-director-biostatistics,United States,Fully Remote,2026-06-22T17:00:00+00:00
Alpha Omega Integration,https://alphaomega.com/careers/,public health,Public Health Analyst,https://www.remoterocketship.com/us/company/alpha-omega/jobs/public-health-analyst-virginia-remote/,Virginia / Remote US,Fully Remote,2026-06-22T17:00:00+00:00
Axle Informatics,https://axleinfo.com/careers/,data scientist,Data Scientist II,https://job-boards.greenhouse.io/axle,Remote,Fully Remote,2026-06-22T18:00:00+00:00
Axle Informatics,https://axleinfo.com/careers/,medical writer,Scientific Communications Technical Writer,https://job-boards.greenhouse.io/axle,Rockville MD Remote eligible,Fully Remote,2026-06-22T18:00:00+00:00
Axle Informatics,https://axleinfo.com/careers/,biostatistics,Senior Biostatistician Pharmacoepidemiology,https://job-boards.greenhouse.io/axle,Remote USA,Fully Remote,2026-06-22T18:00:00+00:00
Baxter,https://jobs.baxter.com/en,HEOR,Manager Health Economics and Outcomes Research,https://jobs.baxter.com/en/job/deerfield/manager-health-economics-and-outcomes-research-heor/152/96220616352,Deerfield IL United States Remote,Fully Remote,2026-06-22T18:00:00+00:00
Baxter,https://jobs.baxter.com/en,outcomes research,Analyst Real-World Data and Healthcare Analytics,https://jobs.baxter.com/en/job/deerfield/analyst-real-world-data-and-healthcare-analytics/152/96220616240,Deerfield IL United States Remote,Fully Remote,2026-06-22T18:00:00+00:00
Baxter,https://jobs.baxter.com/en,medical affairs,Senior Manager Medical Affairs,https://jobs.baxter.com/en/job/deerfield/senior-manager-medical-affairs/152/95637097792,Deerfield IL United States Remote,Fully Remote,2026-06-22T18:00:00+00:00
Baxter,https://jobs.baxter.com/en,data scientist,Senior Manager Strategic Insights and Analytics,https://jobs.baxter.com/en/job/deerfield/senior-manager-strategic-insights-and-analytics/152/95637100256,Deerfield IL United States Remote,Fully Remote,2026-06-22T18:00:00+00:00
Bayer,https://www.bayer.com,research,Research Strategy Engagement,https://talent.bayer.com/careers/job/562949977137634,Residence Based United States,Fully Remote,2026-06-22T18:00:00+00:00
BetterHelp,https://www.betterhelp.com/careers/,data scientist,Data Scientist AI,https://builtin.com/job/data-scientist-ai/6494878,US Remote,Fully Remote,2026-06-22T16:30:50+00:00
BetterHelp,https://www.betterhelp.com/careers/,data scientist,Data Scientist Marketing Inference,https://builtin.com/job/data-scientist-marketing-inference/9800461,US Remote,Fully Remote,2026-06-22T16:30:50+00:00
BetterHelp,https://www.betterhelp.com/careers/,data scientist,Senior Data Scientist Forecasting,https://builtin.com/job/senior-data-scientist-forecasting/3946255,US Remote,Fully Remote,2026-06-22T16:30:50+00:00
BioCryst Pharmaceuticals,https://www.biocryst.com/careers/,HEOR,Assoc Director RWE HEOR,https://xtalks.com/job/assoc-director-rwe-heor/,US Remote,Fully Remote,2026-06-22T16:30:50+00:00
BioCryst Pharmaceuticals,https://www.biocryst.com/careers/,research,Sr Advanced Analytics Manager,https://www.biocryst.com/careers/,NC Remote,Fully Remote,2026-06-22T16:30:50+00:00
Beth Israel Lahey Health,https://www.bilh.org,biostatistics,Biostatistician 2 Center for Healthcare Delivery Science,https://jobs.bilh.org/jobs/biostatistician-2-center-for-healthcare-delivery-science-boston-ma-jr87090/,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Beth Israel Lahey Health,https://www.bilh.org,outcomes research,Sr Healthcare Analyst,https://jobs.bilh.org/jobs/sr-healthcare-analyst-wakefield-ma-jr94957/,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Biogen,https://www.biogen.com/careers.html,epidemiology,Sr Principal Epidemiologist,https://www.biogen.com/careers.html,Remote within USA,Fully Remote,2026-06-22T16:30:50+00:00
Biogen,https://www.biogen.com/careers.html,biostatistics,Sr Principal Biostatistician,https://www.biogen.com/careers.html,Remote within USA,Fully Remote,2026-06-22T16:30:50+00:00
BioMarin Pharmaceutical,https://www.biomarin.com,outcomes research,Associate Director Patient Centered Outcomes Science,https://www.biomarin.com,Remote United States,Fully Remote,2026-06-22T16:30:50+00:00
BioMarin Pharmaceutical,https://www.biomarin.com,medical writer,Senior Medical Writer,https://www.biomarin.com,Remote United States,Fully Remote,2026-06-22T16:30:50+00:00
BioNTech,https://www.biontech.com/careers.html,research,Director Clinical Trials Feasibility Planning and Analytics,https://www.biontech.com/careers.html,US Remote,Fully Remote,2026-06-22T16:30:50+00:00
Bixal,https://careers.bixal.com/,data scientist,Senior Data Analytics Metrics and Evaluation Specialist,https://careers.bixal.com/,Remote within USA,Fully Remote,2026-06-22T16:30:50+00:00
Bixal,https://careers.bixal.com/,data scientist,Data Analytics Engineer,https://careers.bixal.com/,Remote USA,Fully Remote,2026-06-22T16:30:50+00:00
Bixal,https://careers.bixal.com/,data scientist,Senior Product Data Analyst,https://careers.bixal.com/,Remote within USA,Fully Remote,2026-06-22T16:30:50+00:00
Blue Matter Consulting,https://bluematterconsulting.com/careers/,research,Research Manager Senior Research Manager,https://bluematterconsulting.com/careers/,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Blue Matter Consulting,https://bluematterconsulting.com/careers/,data scientist,Consultant Senior Consultant Analytics,https://bluematterconsulting.com/careers/,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Bluebird Bio,https://www.bluebirdbio.com/careers,biostatistics,Associate Director Biostatistics,https://www.bluebirdbio.com/careers,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Bluebird Bio,https://www.bluebirdbio.com/careers,biostatistics,Sr Principal Statistical Programmer,https://www.bluebirdbio.com/careers,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Boehringer Ingelheim,https://www.boehringer-ingelheim.com,biostatistics,Post Doctoral Fellow Applied Biostatistics,https://www.boehringer-ingelheim.com,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Boehringer Ingelheim,https://www.boehringer-ingelheim.com,data scientist,Associate Director Principal Clinical Data Scientist,https://www.boehringer-ingelheim.com,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
BOLDSCIENCE,https://www.boldsci.com,medical writer,Associate Medical Writer,https://www.boldsci.com,Remote,Fully Remote,2026-06-22T16:30:50+00:00
BOLDSCIENCE,https://www.boldsci.com,medical writer,Senior Medical Writer,https://www.boldsci.com,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Bon Secours Mercy Health,https://careers.bonsecours.com/us/en,public health,Population Health Performance and Attribution Specialist,https://careers.bonsecours.com/us/en,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Bon Secours Mercy Health,https://careers.bonsecours.com/us/en,outcomes research,Clinical Quality Manager Population Health MSSP,https://careers.bonsecours.com/us/en,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Booz Allen Hamilton Inc,https://careers.boozallen.com/,epidemiology,Real World Data Linkage Engineer Lead,https://careers.boozallen.com/careers/JobDetail/Bethesda-Real-World-Data-Linkage-Engineer-Lead-R0234983/121424,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Booz Allen Hamilton Inc,https://careers.boozallen.com/,epidemiology,Diagnostics and Digital Health Programmatic Technical Advisor,https://careers.boozallen.com/jobs/JobDetail/Bethesda-Diagnostics-Digital-Health-Programmatic-Technical-Advisor-R0241963/125931,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Booz Allen Hamilton Inc,https://careers.boozallen.com/,data scientist,Bioinformatics Product Manager,https://careers.boozallen.com/jobs/JobDetail/Bethesda-Bioinformatics-Product-Manager-R0228902/117361,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Boston Children's Hospital,https://www.childrenshospital.org,epidemiology,Research Fellow Computational Epidemiology,https://iddjobs.org/jobs/research-fellow-assistant-associate-pre-and-post-doctoral-in-computational-epidemiology-respiratory-disease-surveillance,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Boston Medical Center,https://www.bmc.org,research,Research Data Analyst,https://careers.bmc.org/jobs/research-data-analyst,Remote MA,Fully Remote,2026-06-22T16:30:50+00:00
Boston Medical Center,https://www.bmc.org,research,Senior Data Manager Clinical Research,https://careers.bmc.org/jobs/senior-data-manager-clinical-research-research-support-services-remote-massachusetts-united-states,Remote MA,Fully Remote,2026-06-22T16:30:50+00:00
Boston Strategic Partners,https://bostonsp.com,data scientist,Data Scientist,https://bostonsp.com/index.php/join-bsp/,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Boston Strategic Partners,https://bostonsp.com,outcomes research,Real-World Data Programmer,https://bostonsp.com/index.php/join-bsp/,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Boston Strategic Partners,https://bostonsp.com,medical writer,Medical Communications Consultant,https://bostonsp.com/index.php/careers/medical-communications-consultant/,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Boston Scientific,https://jobs.bostonscientific.com/,biostatistics,Fellow Biostatistics,https://jobs.bostonscientific.com/,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Bracco,https://www.bracco.com,research,Medical Director Clinical Development,https://www.bracco.com,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
BridgeBio Pharma,https://bridgebio.com/careers,HEOR,US Director HEOR,https://bridgebio.com/careers,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
BridgeBio Pharma,https://bridgebio.com/careers,biostatistics,Associate Director Biostatistics and AI,https://bridgebio.com/careers,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
BridgeBio Pharma,https://bridgebio.com/careers,biostatistics,Biostatistics Director Medical Affairs,https://bridgebio.com/careers,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Bristol Myers Squibb,https://www.bms.com,outcomes research,Director Real World Data Research,https://www.bms.com,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Bristol Myers Squibb,https://www.bms.com,outcomes research,Associate Director Real World Data Strategy,https://www.bms.com,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Bristol Myers Squibb,https://www.bms.com,epidemiology,Senior Manager RWDR Hematology,https://www.bms.com,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Brightside Health,https://www.brightside.com/careers/,data scientist,Senior Data Scientist,https://www.brightside.com/careers/,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
CACI Federal Health,https://careers.caci.com/,data scientist,Senior Data Scientist AI ML Research Engineer,https://careers.caci.com/,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Cactus Life Sciences,https://cactuslifesciences.com,medical writer,Senior Medical Writer,https://cactuslifesciences.com,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
CAI Global,https://caiglobal.org,data scientist,Senior Data Scientist,https://caiglobal.org,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
CAI Global,https://caiglobal.org,data scientist,Data Scientist,https://caiglobal.org,Remote US,Fully Remote,2026-06-22T16:30:50+00:00
Cedar,https://www.cedar.com/careers/,data scientist,Sr Data Scientist Commercial Analytics,https://builtin.com/job/sr-data-scientist-commercial-analytics/4641830,Remote US,Fully Remote,2026-06-22T16:35:36+00:00
Cedar,https://www.cedar.com/careers/,data scientist,Data Scientist III Product Analytics,https://www.builtinseattle.com/job/data-scientist-product-analytics/4295688,Remote US,Fully Remote,2026-06-22T16:35:36+00:00
Cedars-Sinai,https://www.cedars-sinai.edu,public health,Senior Data Intelligence Analyst Health Equity,https://careers.cshs.org/job/los-angeles/senior-data-intelligence-analyst-health-equity-analyst-remote/252/93170582960,Remote US approved states,Fully Remote,2026-06-22T16:35:36+00:00
Cencora,https://www.cencora.com,data scientist,Data Scientist II,https://builtin.com/job/data-scientist-ii/3529651,Remote North Carolina,Fully Remote,2026-06-22T16:35:36+00:00
Cencora,https://www.cencora.com,outcomes research,Assistant Director Real World Evidence Retrospective Analysis,https://www.talentify.io/job/assistant-director-real-world-evidence-retrospective-analysis---amerisourcebergen-r241624,Remote USA,Fully Remote,2026-06-22T16:35:36+00:00
