organization,visible_url,domain,result_title,snippet_summary,inferred_category,confidence,reason_included,notes
Health Resources and Services Administration,https://www.hrsa.gov,hrsa.gov,HRSA: Health Resources and Services Administration,Federal agency improving access to healthcare services,Government,High,Federal agency for underserved populations and health workforce,Employs public health analysts and researchers
Houston Methodist,https://www.houstonmethodist.org/academic-institute,houstonmethodist.org,Medical Research | Academic Institute,"Bioengineering, digital health, and translational research",Academic Medical Center,High,Academic medical center with research programs,Strong clinical trials infrastructure
Indiana University Health,https://iuhealth.org,iuhealth.org,About Our System | IU Health,Academic health center with specialty services,Academic Medical Center,High,Academic health system,Partnership with Indiana University School of Medicine
Indiana University School of Medicine,https://medicine.iu.edu/expertise/global-health,medicine.iu.edu,Global Health | IU School of Medicine,Center for Global Health with rural health services delivery,University,High,Medical school with global health research,Strong global health programs in East Africa
Institute of Education Sciences,https://ies.ed.gov,ies.ed.gov,Institute of Education Sciences (IES),Federal research agency for education data and program evaluation,Government,Medium,Federal research agency for program evaluation specialists,Statistics and research arm of US Department of Education
Ipsen,https://www.ipsen.com,ipsen.com,Ipsen - improving patient health outcomes,Pharmaceutical company serving biotech and pharma industries,Pharmaceutical,High,Mid-size pharmaceutical company,"Focus on oncology, neuroscience, and rare diseases"
IQVIA,https://www.iqvia.com,iqvia.com,"IQVIA: Transforming Life Sciences with Data, Technology",Pharma clinical research company using data and technology for healthcare,CRO,High,World's largest healthcare data and analytics company,"Major employer for epidemiologists, biostatisticians, HEOR, RWE"
Johns Hopkins Bloomberg School of Public Health,https://publichealth.jhu.edu,publichealth.jhu.edu,Johns Hopkins Bloomberg School of Public Health,World's leading school of public health with outbreak response center,University,High,Premier school of public health globally,Strongest epidemiology and biostatistics programs
Labcorp,https://www.labcorp.com,labcorp.com,"Labcorp: Lab Diagnostics, Drug Development, Global Life Sciences",Clinical laboratory and drug development with real world data services,CRO,High,Clinical laboratory and CRO division,Real world data and central laboratory services
Lehigh University College of Health,https://health.lehigh.edu,health.lehigh.edu,Lehigh University College of Health,Population and community health research with diverse partners,University,Medium,Academic institution with population health programs,Interdisciplinary health college
Mayo Clinic College of Medicine and Science,https://college.mayo.edu,college.mayo.edu,Mayo Clinic College of Medicine & Science,Premier academic medical center with research and education,Academic Medical Center,High,Premier academic medical center,Consistently ranked #1 hospital
McKinsey Health Institute,https://www.mckinsey.com/mhi/overview,mckinsey.com,McKinsey Health Institute,Non-profit-generating health institute within McKinsey,Consulting,High,Healthcare consulting institute,Employs health economists and healthcare strategists
MD Anderson Cancer Center,https://www.mdanderson.org,mdanderson.org,MD Anderson Cancer Center,Premier cancer center with prevention and research programs,Research Institute,High,Premier cancer center,Consistently ranked #1 cancer hospital
Memorial Sloan Kettering Cancer Center,https://www.mskcc.org,mskcc.org,About Us | Memorial Sloan Kettering,World-renowned cancer center eliminating health disparities,Research Institute,High,Leading cancer research and treatment center,Employs cancer epidemiologists and biostatisticians
Milken Institute School of Public Health,https://publichealth.gwu.edu,publichealth.gwu.edu,Milken Institute School of Public Health | George Washington University,Top ten school of public health with center for health policy research,University,High,Academic institution employing epidemiology and biostatistics faculty,Strong health policy and health economics programs
National Academy of Medicine,https://nam.edu,nam.edu,National Academy of Medicine | Advancing Health Care,Health policy studies and digital health architecture research,Research Institute,High,Honorary organization conducting health policy studies,"Part of National Academies of Sciences, Engineering, and Medicine"
National Cancer Institute,https://www.cancer.gov,cancer.gov,About NCI,NIH institute for cancer research and prevention,Government,High,Major NIH institute for cancer epidemiology and biostatistics,Division of Cancer Epidemiology and Genetics
National Institutes of Health,https://www.nih.gov,nih.gov,National Institutes of Health (NIH),"Nation's medical research agency, part of US Department of Health and Human Services",Government,High,Premier federal biomedical and public health research agency,Multiple institutes employ epidemiologists and biostatisticians
NCQA,https://www.ncqa.org,ncqa.org,"NCQA: Health Care Accreditation, HEDIS Measures",Healthcare quality accreditation and outcomes measurement organization,Healthcare Analytics,High,Healthcare quality organization employing outcomes researchers,Develops HEDIS quality measures
North Carolina Department of Health and Human Services,https://www.ncdhhs.gov,ncdhhs.gov,NC DHHS: North Carolina Department of Health and Human Services,State health department serving North Carolina,Government,High,State health department,Employs epidemiologists and program evaluators
Northwell Health,https://www.northwell.edu,northwell.edu,Northwell Health,Large integrated health system with research institute,Hospital System,High,Large integrated health system with research programs,Research institute and population health management
NYU Grossman School of Medicine,https://med.nyu.edu,med.nyu.edu,About NYU Grossman School of Medicine,No. 1 comprehensive academic medical center,Academic Medical Center,High,Premier medical school and health system,Ranked top academic medical center
Ochsner Health,https://www.ochsner.org,ochsner.org,Ochsner Health: Expert Care in Louisiana and Beyond,Largest academic medical center in Louisiana with health equity research,Academic Medical Center,High,Academic medical center with outcomes research,Ochsner-Xavier Institute for Health Equity and Research
Office of the National Coordinator for Health IT,https://www.healthit.gov,healthit.gov,ONC - Office of the National Coordinator for Health IT,Tailored resources for digital health needs and health IT interoperability,Government,High,Federal office for health information technology,Employs health informaticists and data analysts
Oregon Health & Science University,https://www.ohsu.edu,ohsu.edu,About OHSU,Oregon's only academic health center,Academic Medical Center,High,Academic health sciences university,Oregon's only public academic health center
Partners In Health,https://www.pih.org,pih.org,Partners In Health: Home,Global health organization transforming care for mothers and addressing health inequality,Nonprofit,High,International health organization for program evaluation and research,Focus on health equity and population health
Partnership HealthPlan of California,https://www.partnershiphp.org,partnershiphp.org,Partnership HealthPlan,Non-profit community-based health care organization for Medi-Cal,Insurance,Medium,Medicaid managed care plan,Serves Northern California Medi-Cal populations
PATH,https://www.path.org,path.org,PATH: Better health moves humanity forward,International nonprofit developing health solutions globally,Nonprofit,High,Global health innovation organization,Focus on implementation and program evaluation
Penn State Health,https://www.pennstatehealth.org,pennstatehealth.org,Penn State Health,Academic medical center with research institute,Academic Medical Center,High,Academic medical center with clinical research,Part of Penn State College of Medicine
PPD (Thermo Fisher Scientific),https://www.ppd.com,ppd.com,PPD: Global Pharmaceutical Contract Research,Contract research organization serving biotech and pharma companies,CRO,High,Major CRO for clinical trials and outcomes research,Part of Thermo Fisher clinical research organization
Providence,https://www.providence.org/about,providence.org,About Us | Providence,Comprehensive health care organization across Western US,Hospital System,High,Large not-for-profit health system,"Swedish Health Services, Kadlec, and other affiliates"
Public Health Institute,https://www.phi.org,phi.org,Public Health Institute: Home,"Solutions to complex health challenges, advancing telehealth policy",Research Institute,High,Independent nonprofit public health research organization,Center for Connected Health Policy and specialized programs
RAND Corporation,https://www.rand.org,rand.org,RAND Provides Objective Research Services and Public Policy Analysis,Policy research organization developing solutions to public policy challenges,Research Institute,High,Policy research think tank with health division,RAND Health Care employs health economists and HSR researchers
Roswell Park Comprehensive Cancer Center,https://www.roswellpark.org,roswellpark.org,Roswell Park Comprehensive Cancer Center,"Biostatistics and Statistical Genomics, NCI-designated cancer center",Research Institute,High,NCI-designated cancer center,Nation's first cancer hospital
Rutgers School of Public Health,https://sph.rutgers.edu,sph.rutgers.edu,Rutgers School of Public Health - Rutgers University,"Educating leaders, putting research into practice, developing public health solutions",University,High,Academic employer for epidemiologists and biostatisticians,Strong environmental and occupational health programs
Scripps Research,https://www.scripps.edu,scripps.edu,The Scripps Research Institute,Biomedical research institute for drug discovery and translational medicine,Research Institute,High,Private nonprofit biomedical research institute,Drug discovery and translational medicine
Stanford Center for Innovation in Global Health,https://globalhealth.stanford.edu,globalhealth.stanford.edu,Stanford Center for Innovation in Global Health,Global health research and education with faculty fellows program,University,High,Academic global health research center,Interdisciplinary global health programs
SUNY Downstate Health Sciences University,https://www.downstate.edu,downstate.edu,SUNY Downstate Health Sciences University,Academic medical center with School of Public Health in NYC,Academic Medical Center,High,Academic health sciences university,Only academic medical center in Brooklyn
Syneos Health,https://www.syneoshealth.com,syneoshealth.com,Syneos Health | Biopharma Solutions Organization & CRO,Fully integrated biopharmaceutical solutions organization built to accelerate customer success,CRO,High,"Major CRO for clinical trials, outcomes research, HEOR, RWE",Consulting solutions include HEOR and medical communications
Temple University Barnett College of Public Health,https://sph.temple.edu,sph.temple.edu,Barnett College of Public Health,"Health Services Administration and Policy, Social and Behavioral Sciences",University,High,Urban-focused public health school,Health services and policy programs
The Wistar Institute,https://www.wistar.org,wistar.org,The Wistar Institute is a Global Leader in Biomedical Research,"Vaccine and immunotherapy center for immunology, virology, immuno-oncology",Research Institute,High,Biomedical research institute,Nation's first independent biomedical research institute
UC Davis Health Center for Health and Technology,https://health.ucdavis.edu/cst,health.ucdavis.edu,UC Davis Health Center for Health and Technology,Innovation in clinical telehealth and digital health,Digital Health,High,Academic medical center digital health focus,Telehealth services and innovation
UC San Diego Health,https://health.ucsd.edu/about-us,health.ucsd.edu,About Us | UC San Diego Health,Region's only academic medical center,Academic Medical Center,High,Academic medical center with clinical research,Strong translational medicine programs
UCI Health,https://www.ucihealth.org,ucihealth.org,"About Us | UCI Health | Orange County, CA",NCI-designated Comprehensive Cancer Center in Orange County,Academic Medical Center,High,Academic medical center,UC Irvine academic health system
UCLA Fielding School of Public Health,https://ph.ucla.edu,ph.ucla.edu,UCLA Fielding School of Public Health,Graduates lead transformative public health work across all 50 states,University,High,Top school of public health,Strong epidemiology and community health sciences
UCSF Health,https://www.ucsfhealth.org,ucsfhealth.org,UCSF Health: Ranked #1 in CA,Premier academic medical center in California,Academic Medical Center,High,Premier academic medical center,Consistently ranked top hospital in California
UCSF Institute for Global Health Sciences,https://globalhealthsciences.ucsf.edu,globalhealthsciences.ucsf.edu,UCSF Institute for Global Health Sciences,Developing high-quality evidence for healthy productive lives globally,University,High,Academic global health research institute,Major global health training programs
UNC Gillings School of Global Public Health,https://sph.unc.edu,sph.unc.edu,UNC Gillings School of Global Public Health,Tied for No. 2 overall US school of public health,University,High,Top-ranked school of public health,Strong global health programs
UNC Health,https://www.unchealth.org,unchealth.org,UNC Health | Changing Lives for the Better,Not-for-profit integrated health care system owned by the state,Hospital System,High,Academic health system with clinical research,Integrated with UNC School of Medicine
UNC School of Medicine Department of Health Sciences,https://www.med.unc.edu/healthsciences,med.unc.edu,Department of Health Sciences - UNC School of Medicine,Clinical laboratory science and human movement science programs,University,High,Academic health sciences department,Interdisciplinary health sciences research
University of Alabama at Birmingham School of Public Health,https://www.uab.edu/soph,uab.edu,Home | School of Public Health,"Health policy, research, centers, and events",University,High,Academic employer for epidemiologists and health services researchers,Strong health services research and epidemiology
University of California Health,https://www.ucop.edu/uc-health,ucop.edu,University of California Health,Six academic health centers and 21 health professional schools,Academic Medical Center,High,UC-wide coordinated health system,Global Health Institute and systemwide services
University of Health Sciences and Pharmacy in St. Louis,https://www.uhsp.edu,uhsp.edu,University of Health Sciences and Pharmacy in St. Louis,Health sciences university with pharmacy and health professions,University,Medium,Health sciences academic institution,Pharmacy and health professions education
University of Illinois Chicago Health,https://www.uic.edu/health-care,uic.edu,Health Care | University of Illinois Chicago,Urban academic health center with Mile Square Health Center,Academic Medical Center,High,Urban academic health system,UI Health clinical and community programs
University of Illinois Chicago School of Public Health,https://publichealth.uic.edu,publichealth.uic.edu,School of Public Health | University of Illinois Chicago,"WHO Collaborating Center, Global Health Research Portfolio",University,High,Academic employer for epidemiologists and biostatisticians,Strong global health and community health sciences
University of Kentucky College of Health Sciences,https://chs.uky.edu,chs.uky.edu,College of Health Sciences | University of Kentucky,Clinical laboratory science and health services programs,University,High,Academic health sciences institution,Clinical laboratory and health services programs
University of Michigan School of Public Health,https://sph.umich.edu,sph.umich.edu,Research Centers & Initiatives | University of Michigan SPH,NCI Center for Health Communications Research and partners,University,High,Top school of public health,Strong health communications and cancer prevention research
University of Minnesota School of Public Health,https://www.sph.umn.edu,sph.umn.edu,University of Minnesota School of Public Health,Health services workforce engine of public health,University,High,Academic employer for epidemiologists and health services researchers,Strong environmental and occupational health programs
University of Washington School of Public Health,https://sph.washington.edu,sph.washington.edu,School of Public Health | University of Washington,"Dedicated to science, teaching, and community well-being",University,High,Top school of public health,Strong global health and health metrics programs
UNT Health Science Center,https://www.unthealth.edu,unthealth.edu,UNT Health Fort Worth,Academic medical center with translational research institutes,Academic Medical Center,High,Academic medical center,Health disparities and translational research centers
UofL Health,https://uoflhealth.org,uoflhealth.org,UofL Health | Louisville Hospital and Health Care System,Academic health system with 250+ physician practice locations,Academic Medical Center,High,Academic health system,Partnership with University of Louisville School of Medicine
UTHealth Houston School of Public Health,https://sph.uth.edu,sph.uth.edu,Campuses - UTHealth Houston School of Public Health,"Solutions for public health problems, partners with city of Houston",University,High,Academic employer for epidemiologists and biostatisticians,Multiple campuses across Texas
UVA Health,https://www.uvahealth.com,uvahealth.com,About Us | UVA Health,Integrated health system with world-class academic medical center and research,Academic Medical Center,High,Major academic medical center with clinical research,Strong clinical research infrastructure
Weill Cornell Clinical and Translational Science Center,https://ctscweb.weill.cornell.edu,ctscweb.weill.cornell.edu,Clinical & Translational Science Center | Weill Cornell Medicine,Core laboratory services and translational research informatics,Academic Medical Center,High,Clinical research center,Part of Weill Cornell Medicine
Wolters Kluwer Health,https://www.wolterskluwer.com/en/health,wolterskluwer.com,Health,Transforms complex healthcare data into trusted foundation for clinical and operational success,Health Technology,Medium,Healthcare information and analytics company,Employs data scientists and health informatics professionals
World Health Organization,https://www.who.int,who.int,World Health Organization (WHO),UN agency working to promote health and serve the vulnerable,Public Health Organization,High,International health organization,"Global health surveillance, disease control, health policy"
Yale School of Public Health,https://ysph.yale.edu,ysph.yale.edu,Yale School of Public Health,"Digital health equity conference, national public health events",University,High,Top-tier school of public health,Programs in chronic disease epidemiology and biostatistics
