employer,job_title,url,remote_status,salary,role_family,search_term,why_potentially_relevant,risk_or_concern,source_queue,agent
Sutter Health Research Institutes,Senior Analyst Health Services Research,https://careers.sutterhealth.org,remote,Not listed,Research,research,Health services research analyst remote California system,Academic-adjacent health system research,E,E
Sword Health,Clinical Research Analyst,https://jobs.lever.co/swordhealth,remote,Not listed,Research,research,Digital MSK clinical research analyst remote,Clinical research vs pure analytics,E,E
Sword Health,Data Analyst Health Outcomes,https://swordhealth.com/careers,remote,Not listed,Healthcare Analytics,outcomes,Health outcomes data analyst digital care platform,Outcomes analytics match,E,E
Sword Health,Real World Evidence Researcher,https://swordhealth.com/careers,remote,Not listed,HEOR/RWE,RWE,RWE researcher digital health musculoskeletal care,Direct RWE title,E,E
Syapse,Data Scientist Real World Data,https://syapse.com/careers,remote,Not listed,HEOR/RWE,data,PRECISION medicine real-world data scientist,Precision oncology RWD,E,E
Syapse,Biostatistician,https://www.syapse.com/careers,remote,Not listed,Statistics,biostatistics,Remote biostatistician precision medicine platform,Strong biostatistics fit,E,E
Syapse,Senior RWE Analyst,https://syapse.com/careers,remote,Not listed,HEOR/RWE,RWE,Senior real-world evidence analyst oncology data,Direct RWE match,E,E
Takeda Pharmaceuticals,Real World Evidence Lead,https://takeda.com/careers,remote,Not listed,HEOR/RWE,RWE,Major pharma RWE leadership remote,Lead title may be senior,E,E
Takeda Pharmaceuticals,Epidemiologist Patient Safety,https://takeda.com/careers,remote,Not listed,Research,epidemiology,Pharma epidemiologist patient safety remote,Pharmacoepidemiology fit,E,E
Talkiatry,Data Analyst Clinical Outcomes,https://www.talkiatry.com/careers,remote,Not listed,Healthcare Analytics,outcomes,Telepsychiatry clinical outcomes data analyst,Behavioral health outcomes,E,E
Talkiatry,Population Health Analyst,https://www.talkiatry.com/careers,remote,Not listed,Healthcare Analytics,population health,Population health analytics telepsychiatry platform,Population health match,E,E
Talkspace,Data Scientist Behavioral Health,https://www.talkspace.com/careers,remote,Not listed,Healthcare Analytics,data scientist,Behavioral health data science remote teletherapy,Behavioral health analytics,E,E
Talkspace,Clinical Research Analyst,https://boards.greenhouse.io/talkspace,remote,Not listed,Research,research,Clinical research analyst mental health telehealth,Research analyst role,E,E
Tandem Health AI,Data Scientist Clinical Analytics,https://tandemhealth.ai/careers,remote,Not listed,Healthcare Analytics,data scientist,Clinical AI documentation analytics data scientist,Health AI analytics,E,E
Tempus,Data Scientist Clinical Outcomes,https://www.tempus.com/careers,remote,Not listed,Healthcare Analytics,outcomes,Precision medicine clinical outcomes data science,Genomic/clinical data OS,E,E
Tempus,Senior RWE Analyst,https://www.tempus.com/careers,remote,Not listed,HEOR/RWE,RWE,Senior real-world evidence analyst precision oncology,Strong RWE fit at Tempus,E,E
