organization,visible_url,domain,organization_type,health_system_type,confidence,notes
Hackensack Meridian Health,https://www.hackensackmeridianhealth.org,hackensackmeridianhealth.org,Hospital System,Integrated Health System,high,Major New Jersey integrated health system
Rutgers Health,https://www.rutgershealth.org,rutgershealth.org,Academic Hospital,Academic Health System,high,New Jersey academic health system
Care New England Health System,https://www.carenewengland.org,carenewengland.org,Hospital System,Integrated Health System,high,Rhode Island integrated health system
Valley Health System,https://www.valleyhealth.com,valleyhealth.com,Regional Health System,Regional Health System,high,New Jersey regional health system
Atrium Health,https://www.atriumhealth.org,atriumhealth.org,Hospital System,Integrated Health System,high,Charlotte NC integrated health system
NewYork-Presbyterian,https://www.nyp.org,nyp.org,Academic Hospital,Academic Medical Center / Hospital System,high,Morgan Stanley Children's Hospital integrated with Columbia and Weill Cornell
Mayo Clinic,https://www.mayoclinic.org,mayoclinic.org,Academic Hospital,Academic Medical Center / Health System,high,Major multi-state academic health system and research enterprise
Rady Children's Health,https://www.rchsd.org,rechsd.org,Children's Hospital,Pediatric Academic Hospital,high,San Diego pediatric academic hospital with research institute
MaineHealth,https://www.mainehealth.org,mainehealth.org,Hospital System,Academic Medical Center,high,Maine Medical Center is only academic medical center in Maine
UT Southwestern Medical Center,https://www.utsouthwestern.edu,utsouthwestern.edu,Academic Hospital,Academic Medical Center,high,Dallas TX academic medical center with children's hospital
Mass General Brigham,https://www.massgeneralbrigham.org,massgeneralbrigham.org,Hospital System,Integrated Academic Health System,high,One of largest hospital system-based research enterprises in Massachusetts
UC San Diego Health,https://health.ucsd.edu,health.ucsd.edu,Academic Hospital,Academic Medical Center,high,San Diego academic medical center
Harris Health,https://www.harrishealth.org,harrishealth.org,Hospital System,Public Health System,high,Houston public health system with population health and 1115 Waiver focus
Augusta Health,https://www.augustahealth.com › service › population-health,augustahealth.com,Regional Health System,Community Health System,high,Population health team at Fishersville VA community health system
Children's Hospital Research Institute of Manitoba,https://www.chrim.ca,chrim.ca,Children's Hospital,Pediatric Academic Hospital,high,Canadian children's hospital research institute
UF Health,https://www.ufhealth.org,ufhealth.org,Academic Hospital,Academic Hospital System,high,University of Florida Health academic medical center with public health focus
Nemours Children's Health,https://www.nemours.org,nemours.org,Children's Hospital,Pediatric Health System,high,National pediatric health system with research partnerships across multiple states
Henry Ford Health,https://www.henryford.com,henryford.com,Hospital System,Integrated Delivery Network,high,Detroit MI integrated health system with major research enterprise
Lehigh Valley Health Network,https://www.lvhn.org,lvhn.org,Hospital System,Regional Health Network,high,Pennsylvania regional health network including Reilly Children's Hospital
Flushing Hospital Medical Center,https://www.flushinghospital.org,flushinghospital.org,Regional Health System,Community Hospital,high,Queens NY community hospital serving since 1884
UNM Health System,https://www.unmhealth.com,unmhealth.com,Academic Hospital,Academic Medical Center,high,Albuquerque NM teaching hospital system including UNM Children's Hospital and Cancer Center
Baystate Health,https://www.baystatehealth.org,baystatehealth.org,Hospital System,Regional Health System,high,Massachusetts regional health system and academic medical center
Denver Health,https://www.denverhealth.org,denverhealth.org,Hospital System,Public Hospital System,high,Denver public hospital system including Denver Health Hospital and Clinics
Beacon Health System,https://www.beaconhealthsystem.org,beaconhealthsystem.org,Regional Health System,Regional Health System,high,Indiana regional health system including Memorial Hospital of South Bend
Novant Health,https://www.novanthealth.org,novanthealth.org,Hospital System,Regional Health System,high,Southeast regional health system with clinical research focus
Yale New Haven Health System,https://research-support.yale.edu,ynhhs.org,Hospital System,Academic Medical Center / Health System,high,Yale-affiliated integrated health system in Connecticut
South Central Regional Medical Center,https://www.scrmc.com,scrmc.com,Regional Health System,Regional Medical Center,high,Mississippi regional medical center with population health programs
Johns Hopkins Medicine,https://www.hopkinsmedicine.org,hopkinsmedicine.org,Academic Hospital,Academic Medical Center / Health System,high,Major academic medical center including Johns Hopkins Children's Center
UW Health,https://www.uwhealth.org,uwhealth.org,Academic Hospital,Academic Medical Center / Health System,high,University of Wisconsin Hospitals and Clinics academic health system
Mount Carmel Health,https://www.mountcarmelhealth.com,mountcarmelhealth.com,Regional Health System,Regional Health System,high,Ohio regional health system including Mount Carmel Foundation
Cambridge Health Alliance,https://www.challiance.org,challiance.org,Regional Health System,Public Teaching Hospital System,high,Massachusetts public teaching hospital system with population health management focus
Atlantic Health,https://www.atlantichealth.org,atlantichealth.org,Hospital System,Regional Health System,high,New Jersey regional health system including Morristown Medical Center
Sutter Health,https://www.sutterhealth.org,sutterhealth.org,Hospital System,Regional Health System,high,California not-for-profit regional health system with research focus
Tampa General Hospital,https://www.tgh.org,tgh.org,Academic Hospital,Academic Medical Center,high,Primary teaching hospital for USF Health Morsani College of Medicine
Virginia Mason Franciscan Health,https://www.vmfh.org,vmfh.org,Hospital System,Regional Health System,high,Seattle-area integrated health system including Virginia Mason Medical Center
Children's Nebraska,https://www.childrensnebraska.org,childrensnebraska.org,Children's Hospital,Pediatric Hospital System,high,Only full-service pediatric hospital in Nebraska
Marshfield Clinic Health System,https://www.marshfieldclinic.org,marshfieldclinic.org,Hospital System,Regional Health System,high,Wisconsin regional health system including Medical Center in Weston
Saint Alphonsus Health System,https://www.saintalphonsus.org,saintalphonsus.org,Hospital System,Regional Catholic Health System,high,Catholic faith-based not-for-profit system serving Idaho eastern Oregon and northern Montana
Wooster Community Hospital,https://www.woosterhospital.org,woosterhospital.org,Regional Health System,Community Hospital,medium,Independent community hospital serving Wayne County Ohio area
