organization,domain,visible_url,primary_category,secondary_categories,confidence,notes
Tiziana Life Sciences,tizianalifesciences.com,https://www.tizianalifesciences.com,pharma_biotech,Biotechnology; Bringing breakthrough therapies to patients with aim of treating Non-Active Secondary Progressive Multiple Sclerosis Alzheimer's and ALS,high,Biotechnology company
Total Trials,totaltrials.com,https://www.totaltrials.com,cro_heor_rwe,CRO; Global mission-driven contract research organization,high,Complex CRO clinical trial capabilities and patient recruitment
Tower Health,towerhealth.org,https://jobs.towerhealth.org/,Hospital Systems,Hospital Systems; Workday,medium,Hospital system; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Tranquil Clinical Research,tranquilclinicalresearch.com,https://tranquilclinicalresearch.com,cro_heor_rwe,CRO; Full service CRO with Phase I unit,high,Open 24/7 Phase I capabilities
Translational Genomics Research Institute,tgen.org,https://www.tgen.org,academic,Academic Medical Centers; Research Institute; Workday,high,Arizona genomics nonprofit; Translational genomics; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Trauma Informed Care Project,traumainformedcareproject.org,https://www.traumainformedcareproject.org,behavioral_mental_health,Trauma-informed care organization; Trauma-informed care framework implementation and training,medium,Organization providing trauma-informed care framework and training resources
Trauma Informed Oregon,traumainformedoregon.org,https://traumainformedoregon.org,behavioral_mental_health,Trauma-informed care organization; Trauma-informed care training and statewide implementation,medium,State-level coalition promoting trauma-informed practices across Oregon
Traumatic Stress Institute,traumaticstressinstitute.org,https://www.traumaticstressinstitute.org,behavioral_mental_health,Trauma-informed care organization / PTSD research organization; Trauma-informed care training and traumatic stress research,high,25+ years providing trauma-informed care training and research
Trenton Health Team,trentonhealthteam.org,https://www.trentonhealthteam.org,clinical_informatics_healthit,HIE; Regional health information exchange database for medical information sharing,high,Regional HIE organization
Tribal Tech,tribaltech.com,https://www.tribaltech.com/careers,Federal Healthcare Contractors,Custom; Federal Contractors; Federal Healthcare Contractors,medium,Federal contractor; IHS contractor; failure_reason=no_matching_roles
Tribute Health Plans,tributemedicare.com,https://www.tributemedicare.com,payer_vbc,Medicare Advantage; Medicare Advantage HMO-POS-SNP for long-term care,high,Medicare Advantage health plan
TridentCare,tridentcare.com,https://www.tridentcare.com,med_device_diagnostics,Laboratory Medicine; Mobile diagnostic services and laboratory,medium,Mobile health diagnostics provider
TriNetX,trinetx.com,https://trinetx.com/careers/,Digital Health,Dayforce; Digital Health,medium,Research network; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Trinity Health,trinity-health.org,https://jobs.trinity-health.org/,Hospital Systems,Hospital Systems; Phenom,medium,Multi-state Catholic system; failure_reason=no_matching_roles
Trinity Life Sciences,trinitylifesciences.com,https://trinitylifesciences.com/company/careers/,HEOR / RWE / Consulting,Consulting; HEOR; HEOR Consulting; RWE,medium,HEOR consulting; Market access/HEOR
Triumvirate Environmental,triumvirate.com,https://triumvirate.com,environmental_occupational_health,"Environmental Consulting Firm; Occupational Health, Environmental Health",high,Provides industrial hygiene programs and OSHA compliance services for workplace safety
TriWest Healthcare Alliance,triwest.com,https://www.triwest.com/careers,Federal Contractors,Federal Contractors; Workday,medium,VA community care; failure_reason=fetch_failed:HTTP Error 404: Not Found
Trust for America's Health,tfah.org,https://www.tfah.org/about/careers/,Government / Public Health,Government; Public Health; Workday,medium,Public health advocacy; failure_reason=fetch_failed:HTTP Error 404: Not Found
Trusted Health Plan Inc,trustedhealthplan.com,https://www.trustedhealthplan.com,payer_vbc,Health Insurance; Health insurance plans,medium,DC-based health plan
Truveta,truveta.com,https://truveta.com/careers,Digital Health,Digital Health; Unknown,medium,EHR consortium; Fetch: HTTP Error 308: Permanent Redirect; failure_reason=fetch_failed:HTTP Error 308: Permanent Redirect
Tufts Health Plan,tuftshealthplan.com,https://www.tuftshealthplan.com,payer_vbc,Health Insurance; Medicare and Medicaid Health Connector employer-based plans,high,Massachusetts health insurer
Tufts Medical Center Research,tuftsmedicalcenter.org,https://www.tuftsmedicalcenter.org/careers,Academic Medical Centers,Academic Medical Centers; Unknown,medium,Academic; Fetch: HTTP Error 403: Forbidden; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Tufts Medicine,tuftsmedicine.org,https://www.tuftsmedicine.org/careers,Academic Medical Centers,Academic Medical Centers; Workday,medium,Academic medical center; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Tufts University School of Medicine Public Health,tufts.edu,https://careers.tufts.edu/,Academic Medical Centers,Academic Medical Centers,medium,SPH/Medicine; adjunct/epi potential
Tulane University,rsph.tulane.edu,https://rsph.tulane.edu/epid/employment,google_harvest,University; Epidemiology Employment,high,Tulane School of Public Health epidemiology employment
Tulane University School of Medicine,hr.tulane.edu,https://hr.tulane.edu/jobs,Academic Medical Centers,Academic Medical Centers; Workday,medium,Academic medical center; SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
Tulane University School of Public Health and Tropical Medicine,sph.tulane.edu,https://sph.tulane.edu,academic,School of Public Health,high,New Orleans public health
Tulu Health,tuluhealth.com,https://tuluhealth.com,ai_clinical_datascience,Healthcare AI; Deploying 27 specialized AI agents for RCM patient growth and clinical operations,high,Company homepage; page 12
Turacoz,turacoz.com,https://turacoz.com,medical_communications,Medical Communications; Global scientific communications agency delivering expert medical writing services as strategic MedComms partner,high,Google snippet - medical writing and scientific communications agency
Turnover Dynamics,turnoverdynamics.com,https://www.turnoverdynamics.com/promotional-medical-education,medical_communications,Medical Education; Promotional medical education services - decades of pharmaceutical marketing fixture involving training and educating medical sales reps,medium,Company service page - promotional medical education
Twist Bioscience,twistbioscience.com,https://www.twistbioscience.com,med_device_diagnostics,Biotech Companies; DNA synthesis and NGS-based diagnostic panels; Genomics Testing,high,Synthetic biology; Synthetic biology for genomic testing
UAMS Translational Research Institute,uams.edu,https://tri.uams.edu,academic,Academic Medical Centers; Translational Research Institute,high,Academic medical center; University of Arkansas for Medical Sciences
UC Berkeley School of Public Health,berkeley.edu,https://publichealth.berkeley.edu,academic,Academic Medical Centers; Job Openings | UC Berkeley Public Health; School of Public Health; University; Unknown,high,"Academic; Also seen under domain publichealth.berkeley.edu; Fetch: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostn; UC Berkeley public health; UC Berkeley public health school job opportunities; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'careers.berkeley.edu'. (_s"
UC Davis Health,ucdavis.edu,https://health.ucdavis.edu,academic,Academic Medical Center; Academic Medical Centers; Workday,high,SPH/Medicine; Sacramento clinical research center; adjunct/epi potential; failure_reason=fetch_failed:HTTP Error 403: Forbidden
UC Davis Health Center for Health and Technology,health.ucdavis.edu,https://health.ucdavis.edu/cst,org_harvest,Digital Health; UC Davis Health Center for Health and Technology,high,Telehealth services and innovation; Academic medical center digital health focus; Innovation in clinical telehealth and digital health
UC Merced Health Sciences Research Institute,ucmerced.edu,https://hsri.ucmerced.edu,academic,Academic Medical Centers; Research Institute; Workday,high,SPH/Medicine; UC Merced health research; adjunct/epi potential; failure_reason=no_matching_roles
UC San Diego Health,health.ucsd.edu,https://health.ucsd.edu,hospital_system,About Us | UC San Diego Health; Academic Hospital; Academic Medical Center; General; Health Information Exchange,high,Academic health system participating in health information exchange for provider access; Academic medical center with clinical research; Region's only academic medical center; San Diego academic medical center; Strong translational medicine programs
UC San Diego Herbert Wertheim School of Public Health,sph.ucsd.edu,https://sph.ucsd.edu,academic,School of Public Health,high,UCSD public health school
UCB Biopharma,ucb.com,https://careers.ucb.com/global/en,Biotech Companies,Biotech Companies; Pharmaceutical Companies; Phenom; Unknown,medium,Fetch: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unabl; HEOR; R20 new; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)>; failure_reason=no_matching_roles
UCHealth,uchealth.org,https://careers.uchealth.org/,Hospital Systems,Hospital Systems; Workday,medium,Hospital/cancer center; failure_reason=fetch_failed:HTTP Error 403: Forbidden; population health research
UCI Health,ucihealth.org,https://www.ucihealth.org,org_harvest,"Academic Medical Center; About Us | UCI Health | Orange County, CA",high,UC Irvine academic health system; Academic medical center; NCI-designated Comprehensive Cancer Center in Orange County
UCLA Fielding School of Public Health,ucla.edu,https://ph.ucla.edu,academic,Academic Medical Centers; School of Public Health; UCLA Fielding School of Public Health; University; Unknown,high,Academic; Also seen under domain ph.ucla.edu; Fetch: <urlopen error [Errno -2] Name or service not known>; Graduates lead transformative public health work across all 50 states; Strong epidemiology and community health sciences; Top school of public health; UC Los Angeles public health; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
UConn Health Clinical Research Center,uconn.edu,https://health.uconn.edu/clinical-research-center,academic,Clinical Research Center,high,University of Connecticut
UCSF Fresno,ucsf.edu,https://fresno.ucsf.edu,academic,Academic Medical Center; Academic Medical Centers; Oracle Recruiting,high,Academic; SPH/Medicine; UCSF regional campus clinical research; adjunct/epi potential; failure_reason=no_matching_roles
UCSF Health,ucsfhealth.org,https://www.ucsfhealth.org,org_harvest,Academic Medical Center; UCSF Health: Ranked #1 in CA,high,Consistently ranked top hospital in California; Premier academic medical center; Premier academic medical center in California
UCSF Institute for Global Health Sciences,globalhealthsciences.ucsf.edu,https://globalhealthsciences.ucsf.edu,org_harvest,University; UCSF Institute for Global Health Sciences,high,Major global health training programs; Academic global health research institute; Developing high-quality evidence for healthy productive lives globally
UF Health,ufhealth.org,https://www.ufhealth.org,hospital_system,Academic Hospital,high,University of Florida Health academic medical center with public health focus
Ufonia,ufonia.com,https://ufonia.com,ai_clinical_datascience,Healthcare AI; Scaling AI care with 150000+ patient conversations,medium,Company homepage; page 12
UHIN,uhin.org,https://www.uhin.org,clinical_informatics_healthit,HIE; Utah Health Information Network for statewide clinical data exchange,high,Utah statewide HIE
UICC,uicc.org,https://www.uicc.org,global_health_ngo,Global Health; Global cancer control and prevention,high,Union for International Cancer Control
Ultragenyx Pharmaceutical,ultragenyx.com,https://www.ultragenyx.com/join-our-team/,Biotech Companies,Biotech Companies; Workday (embedded; blocked API),medium,Rare disease; failure_reason=no_matching_roles
UMass Amherst School of Public Health and Health Sciences,umass.edu,https://www.umass.edu/public-health-sciences,academic,Academic Medical Centers; School of Public Health; Workday,high,SPH/Medicine; UMass flagship campus; adjunct/epi potential; failure_reason=no_content
UMass Chan Medical School,umassmed.edu,https://www.umassmed.edu,academic,Medical School,high,University of Massachusetts medical school
UN Foundation,unfoundation.org,https://unfoundation.org,global_health_ngo,Global Health; UN partnership on sustainable development and global health,high,Philanthropic foundation supporting UN health priorities
UNC Gillings School of Global Public Health,sph.unc.edu,https://sph.unc.edu,academic,Academic Medical Centers; Hospital Systems; School of Public Health; UNC Gillings School of Global Public Health; University; Workday,high,Also seen under domain unc.wd1.myworkdayjobs.com; Fetch: HTTP Error 500: Internal Server Error; Hospital system; SPH/Medicine; Strong global health programs; Tied for No. 2 overall US school of public health; Top-ranked school of public health; University of North Carolina; Workday; adjunct/epi potential; failure_reason=fetch_failed:HTTP Error 500: Internal Server Error
UNC Health,unchealth.org,https://www.unchealth.org,org_harvest,Hospital System; UNC Health | Changing Lives for the Better,high,Integrated with UNC School of Medicine; Academic health system with clinical research; Not-for-profit integrated health care system owned by the state
UNC School of Medicine Department of Health Sciences,med.unc.edu,https://www.med.unc.edu/healthsciences,org_harvest,University; Department of Health Sciences - UNC School of Medicine,high,Interdisciplinary health sciences research; Academic health sciences department; Clinical laboratory science and human movement science programs
UNC Sheps Center,shepscenter.unc.edu,https://shepscenter.unc.edu/employment/,Academic Medical Centers,Academic Medical Centers; Unknown,medium,Fetch: <urlopen error timed out>; UNC; failure_reason=fetch_failed:<urlopen error timed out>
UNFPA,unfpa.org,https://www.unfpa.org,global_health_ngo,Global Health; Reproductive health and maternal health,high,UN sexual and reproductive health agency
United Nations Industrial Development Organization (UNIDO),unido.org,https://www.unido.org,environmental_occupational_health,International Organization; Environmental Health,medium,Provides solutions for pressing global challenges including sustainable industrial development
United Therapeutics,unither.com,https://www.unither.com/careers/to-be-a-unitherian,Biotech Companies,Biotech Companies; Workday (embedded; blocked API),medium,Rare disease/pulmonary; failure_reason=no_matching_roles
UnitedHealthcare,uhc.com,https://www.uhc.com,payer_vbc,Health Insurance; National health insurance including Medicare and Medicaid,high,Major national health insurer
University at Buffalo School of Public Health,buffalo.edu,https://jobs.buffalo.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
University Health System,universityhealth.com,https://www.universityhealth.com,behavioral_mental_health,Behavioral health company / Healthcare system; Regional healthcare including behavioral health services,medium,Regional healthcare system with public health and behavioral health programs
University of Alabama at Birmingham School of Public Health,uab.edu,https://www.uab.edu/soph,academic,Academic Medical Centers; Home | School of Public Health; Prospective Faculty and Staff | School of Public Health; School of Public Health; University; Workday,high,"Academic employer for epidemiologists and health services researchers; CTSA; Health policy, research, centers, and events; SPH/Medicine; Southeastern public health school; Strong health services research and epidemiology; UAB School of Public Health official employment opportunities page for faculty and staff; adjunct/epi potential; epi/biostat; failure_reason=fetch_failed:HTTP Error 404: Not Found"
University of Alaska Anchorage Health Sciences,alaska.edu,https://careers.alaska.edu/,Schools of Public Health,Academic Medical Centers; Schools of Public Health,medium,SPH; SPH/Medicine; adjunct/epi potential
University of Arizona Health Sciences,arizona.edu,https://healthsciences.arizona.edu,academic,Academic Medical Centers; Cornerstone; Health Sciences Center,high,Academic medical center; Also seen under domain talent.arizona.edu; Arizona academic health sciences; SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
University of Arkansas Fay W. Boozman College of Public Health,uark.edu,https://jobs.uark.edu/,Academic Medical Centers,Academic Medical Centers,medium,SPH/Medicine; adjunct/epi potential
University of California Health,ucop.edu,https://www.ucop.edu/uc-health,org_harvest,Academic Medical Center; University of California Health,high,Global Health Institute and systemwide services; UC-wide coordinated health system; Six academic health centers and 21 health professional schools
University of California Irvine Program in Public Health,uci.edu,https://careers.uci.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
University of California Los Angeles Health,uclahealth.org,https://uclahealth.org/careers,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:HTTP Error 404: Not Found
University of California Riverside School of Medicine,ucr.edu,https://careers.ucr.edu/,Academic Medical Centers,Academic Medical Centers,medium,SPH/Medicine; adjunct/epi potential
University of California Santa Barbara Health Sciences,ucsb.edu,https://jobs.ucsb.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
University of California Santa Cruz Health Sciences,ucsc.edu,https://jobs.ucsc.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
University of Central Florida College of Medicine,ucf.edu,https://jobs.ucf.edu/,Academic Medical Centers,Academic Medical Centers,medium,SPH/Medicine; adjunct/epi potential
University of Chicago,health.uchicago.edu,https://health.uchicago.edu/people/job-opportunities,google_harvest,Academic Medical Center; Job Opportunities,high,Academic medical center with public health sciences career opportunities
University of Chicago Health Lab,uchicago.wd5.myworkdayjobs.com,https://uchicago.wd5.myworkdayjobs.com/External,Academic Medical Centers,Academic Medical Centers,medium,Workday
University of Cincinnati College of Medicine Public Health,uc.edu,https://jobs.uc.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,Academic medical center; SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
University of Colorado Anschutz,cu.taleo.net,https://cu.taleo.net/careersection/2/moresearch.ftl?lang=en,Academic Medical Centers,Academic Medical Centers; Taleo,medium,SPH/Medicine; Taleo; adjunct/epi potential; failure_reason=no_matching_roles
University of Connecticut Health,uchc.edu,https://jobs.uchc.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,Academic medical center; SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
University of Connecticut School of Medicine Public Health,hartfordhealthcare.org,https://jobs.hartfordhealthcare.org/,Academic Medical Centers,Academic Medical Centers; Hospital Systems; Workday,medium,Hospital system; SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
University of Delaware College of Health Sciences,udel.edu,https://www.udel.edu/apply/ud-jobs/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:HTTP Error 404: Not Found
University of Florida College of Public Health,explore.jobs.ufl.edu,https://explore.jobs.ufl.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,Academic medical center; SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
University of Georgia College of Public Health,uga.edu,https://careers.uga.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
University of Health Sciences and Pharmacy St. Louis,uhsp.edu,https://www.uhsp.edu,academic,Health Sciences Center; University; University of Health Sciences and Pharmacy in St. Louis,high,Health sciences academic institution; Health sciences university with pharmacy and health professions; Pharmacy and health professions education; St. Louis health sciences university
University of Houston HEALTH Research Institute,uh.edu,https://www.uh.edu/centers-institutes/health,academic,Research Institute,high,UH health research institute
University of Illinois Chicago Health,uic.edu,https://www.uic.edu/health-care,org_harvest,Academic Medical Center; Academic Medical Centers; Health Care | University of Illinois Chicago; Workday,high,SPH/Medicine; UI Health clinical and community programs; Urban academic health center with Mile Square Health Center; Urban academic health system; adjunct/epi potential; failure_reason=fetch_failed:HTTP Error 403: Forbidden
University of Illinois Chicago School of Public Health,publichealth.uic.edu,https://publichealth.uic.edu,academic,School of Public Health; School of Public Health | University of Illinois Chicago; University,high,"Academic employer for epidemiologists and biostatisticians; Health equity and social justice focus; Strong global health and community health sciences; WHO Collaborating Center, Global Health Research Portfolio"
University of Iowa College of Public Health,uiowa.edu,https://jobs.uiowa.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,Academic; Academic medical center; SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
University of Kansas Medical Center,kumc.edu,https://www.kumc.edu › academics › departments › population,hospital_system,Academic Hospital; Academic Medical Centers,high,Academic medical center; University of Kansas Health System with Cancer Center and population health program
University of Kansas School of Public Health,ku.edu,https://jobs.ku.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
University of Kentucky College of Health Sciences,chs.uky.edu,https://chs.uky.edu,org_harvest,University; College of Health Sciences | University of Kentucky,high,Clinical laboratory and health services programs; Academic health sciences institution; Clinical laboratory science and health services programs
University of Kentucky College of Public Health,ukjobs.uky.edu,https://ukjobs.uky.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,Academic medical center; SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
University of Louisville School of Public Health and Information Sciences,louisville.edu,https://publichealth.louisville.edu,academic,Academic Medical Centers; School of Public Health; Workday,high,Academic medical center; Kentucky SPHIS; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
University of Maine School of Nursing and Health,maine.edu,https://jobs.maine.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
University of Maryland Medical System,umms.org,https://www.umms.org › health-services › population-health,hospital_system,Academic Hospital; Hospital Systems; Workday,high,Hospital system; Multi-hospital academic system enabling best practices across Maryland communities; failure_reason=no_matching_roles
University of Maryland School of Medicine,medschool.umaryland.edu,https://www.medschool.umaryland.edu,academic,Medical School,high,UM Baltimore medical school
University of Maryland School of Public Health,umd.edu,https://sph.umd.edu,academic,Academic Medical Centers; School of Public Health,high,"Also seen under domain umd.wd1.myworkdayjobs.com; College Park, Maryland; SPH/Medicine; adjunct/epi potential"
University of Memphis School of Public Health,memphis.edu,https://www.memphis.edu/publichealth,academic,Academic Medical Centers; School of Public Health; Workday,high,Also seen under domain workday.memphis.edu; SPH/Medicine; Tennessee public health school; adjunct/epi potential; failure_reason=fetch_failed:<urlopen error [Errno -5] No address associated with hostname>
University of Miami Miller School of Medicine,med.miami.edu,https://med.miami.edu,academic,Academic Medical Centers; Medical School; Workday,high,Also seen under domain miami.edu; Diabetes Research Institute affiliate; SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
University of Michigan IHPI,umich.edu,https://careers.umich.edu/,Academic Medical Centers,Academic Medical Centers; Custom,medium,Health policy innovation; SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
University of Michigan School of Public Health,sph.umich.edu,https://sph.umich.edu,academic,Research Centers & Initiatives | University of Michigan SPH; School of Public Health; University,high,NCI Center for Health Communications Research and partners; Strong health communications and cancer prevention research; Top school of public health; Top-ranked public health school
University of Minnesota School of Public Health,sph.umn.edu,https://www.sph.umn.edu,academic,Academic Medical Centers; Custom; School of Public Health; University; University of Minnesota School of Public Health,high,Academic; Academic employer for epidemiologists and health services researchers; Also seen under domain hr.umn.edu; Health services workforce engine of public health; Nationally top-ranked programs; Strong environmental and occupational health programs; failure_reason=no_matching_roles
University of Mississippi Medical Center,umc.edu,https://umc.edu,hospital_system,Academic Hospital; Academic Medical Centers; Workday,high,John D. Bower School of Population Health; SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
University of Missouri School of Medicine,medicine.missouri.edu,https://medicine.missouri.edu/centers-institutes-labs/careers,google_harvest,Academic Medical Center; Employment - University of Missouri School of Medicine,high,Medical school employment opportunities including epidemiology
University of Missouri School of Public Health,missouri.edu,https://jobs.missouri.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
University of Missouri-Kansas City School of Medicine,umkc.edu,https://jobs.umkc.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
University of Nebraska College of Public Health,employment.unl.edu,https://employment.unl.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
University of Nebraska Medical Center,unmc.edu,https://www.unmc.edu/hr/careers.html,Academic Medical Centers,Academic Medical Centers; Workday,medium,Academic medical center; failure_reason=fetch_failed:HTTP Error 404: Not Found
University of Nevada Las Vegas School of Public Health,unlv.edu,https://www.unlv.edu/publichealth,academic,Academic Medical Centers; School of Public Health,high,SPH/Medicine; UNLV public health school; adjunct/epi potential
University of Nevada Reno School of Public Health,unr.edu,https://www.unr.edu/public-health,academic,Academic Medical Centers; School of Public Health,high,CEPH-accredited programs; SPH/Medicine; adjunct/epi potential
University of New Hampshire Health Sciences,usnh.edu,https://jobs.usnh.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:HTTP Error 404: Not Found
University of New Mexico College of Population Health,unmjobs.unm.edu,https://unmjobs.unm.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,Academic medical center; SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
University of North Carolina at Charlotte Public Health Sciences,uncc.edu,https://careers.uncc.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
University of North Dakota School of Medicine,und.edu,https://jobs.und.edu/,Schools of Public Health,Academic Medical Centers; Schools of Public Health; Workday,medium,SPH; SPH/Medicine; adjunct/epi potential; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
University of North Texas Health,unthsc.edu,https://jobs.unthsc.edu/,Schools of Public Health,Schools of Public Health; Workday,medium,SPH / health sciences; failure_reason=fetch_failed:<urlopen error [Errno -5] No address associated with hostname>
University of Northern Colorado Colorado School of Public Health,unco.edu,https://www.unco.edu/nhs/colorado-school-public-health,academic,School of Public Health,high,Colorado SPH collaborative campus
University of Notre Dame Health Sciences,nd.edu,https://careers.nd.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
University of Oklahoma Health,ouhealth.com,https://jobs.ouhealth.com/,Academic Medical Centers,Academic Medical Centers; Hospital Systems; Workday,medium,Academic medical center; Hospital/cancer center; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>; population health research
University of Oklahoma Health Sciences Center,ouhsc.edu,https://jobs.ouhsc.edu/,Academic Medical Centers,Academic Medical Centers,medium,Academic medical center
University of Oklahoma Hudson College of Public Health,ou.edu,https://jobs.ou.edu/,Academic Medical Centers,Academic Medical Centers; Workday; Workday (embedded; blocked API),medium,SPH/Medicine; adjunct/epi potential; failure_reason=no_content; failure_reason=no_matching_roles
University of Pennsylvania Perelman School of Public Health,wd1.myworkdaysite.com,https://wd1.myworkdaysite.com/recruiting/upenn/careers-at-penn,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
