organization,domain,visible_url,primary_category,secondary_categories,confidence,notes
Accolade,transcarent.com,https://transcarent.com/careers,Digital Health,Custom; Digital Health,medium,Fetch: HTTP Error 308: Permanent Redirect; Health navigation; Navigation; failure_reason=no_matching_roles
Accountability and Reform Research Consortium (Volcker Alliance),volckeralliance.org,https://www.volckeralliance.org/initiatives/accountability-reform-research-consortium,consulting_federal,Policy Research; Documenting impact of changes to federal workforce on public service delivery,high,Research consortium focused on federal workforce and public service
Accuhealth,accuhealth.tech,https://accuhealth.tech,digital_health,Digital Health; Remote patient monitoring technology platform,high,RPM with clinical monitoring services
Acumen Medical Communications,acumenmedcom.com,https://www.acumenmedcom.com,medical_communications,Medical Communications; End-to-end support of medical and scientific communication needs including abstracts posters and medical writing,medium,Company homepage - medical communications and scientific writing
Ad Hoc LLC,adhoc.team,https://adhoc.team/careers/,Federal Contractors,Federal Contractors; Greenhouse (embedded),medium,Federal health research/contractor; VA/CMS tech; failure_reason=no_matching_roles
Adaptive Biotechnologies,adaptivebiotech.com,https://www.adaptivebiotech.com/careers/,Biotech Companies,Biotech Companies; Workday,medium,Immunomics; failure_reason=fetch_failed:HTTP Error 404: Not Found
Adaptive Phage Therapeutics,adaptivetx.com,https://www.adaptivetx.com/careers,Biotech Companies,Biotech Companies; Greenhouse (embedded),medium,Phage therapy; failure_reason=fetch_failed:Remote end closed connection without response
Adelphi Group,adelphigroup.com,https://www.adelphigroup.com/join-us/,HEOR / RWE / Consulting,Consulting; Greenhouse; HEOR; RWE,medium,HEOR/medical affairs; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Advarra,advarra.com,https://www.advarra.com,cro_heor_rwe,Research Consulting; Clinical research organization and contract research services,medium,Clinical trial services and research support
AdventHealth Translational Research Institute,adventhealth.com,https://www.adventhealth.com/institutes/translational-research,academic,Hospital Systems; Translational Research Institute; Workday (embedded; blocked API),high,Florida-based system; Health system research institute; failure_reason=no_matching_roles
Adventist Health,adventisthealth.org,https://www.adventisthealth.org,org_harvest,Hospital System; Adventist Health,high,Population health and quality improvement programs; Large West Coast health system; Faith-based health system with accountable care organization
Advocate Health,advocatehealth.com,https://careers.advocatehealth.com/,Hospital Systems,Hospital Systems,medium,Hospital system
Aetion,aetion.com,https://www.aetion.com/careers/,HEOR / RWE / Consulting,Consulting; Custom; HEOR; RWE,medium,HEOR/RWE/epi consulting; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Aetna,aetna.com,https://www.aetna.com,payer_vbc,Health Insurance; Health insurance including dental and vision plans,high,Major national health insurer
Africa Policy Research Institute,afripoli.org,https://afripoli.org,survey_policy_research,Policy Research; Africa-focused policy research,high,Africa policy research organization
Agency for Healthcare Research and Quality,ahrq.gov,https://www.ahrq.gov,org_harvest,Government; Agency for Healthcare Research and Quality,high,Major employer for outcomes researchers and biostatisticians; Federal health services research agency; Federal agency enhancing quality and effectiveness of health services
Agilent Technologies,agilent.com,https://www.agilent.com,med_device_diagnostics,Biotech Companies; Diagnostics; Pathology and clinical genomics tests; Pharmaceutical Companies; Unknown,high,Fetch: HTTP Error 403: Forbidden; Life sciences; Major diagnostics solutions provider; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Agilify Health,agilifyhealth.com,https://www.agilifyhealth.com,clinical_informatics_healthit,HIE; Health information exchange solutions facilitating data exchange between practitioners,high,HIE solutions provider
Agilon Health,agilonhealth.com,https://www.agilonhealth.com/careers/,Digital Health,Digital Health; Workday,medium,Medicare ACO; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Agios Pharmaceuticals,phe.tbe.taleo.net,https://phe.tbe.taleo.net/phe03/ats/careers/v2/jobSearch?act=redirectCwsV2&cws=37&org=AGIOS,Biotech Companies,Biotech Companies; Taleo,medium,Also seen under domain agios.com; Rare disease oncology; failure_reason=no_matching_roles
AHIP,ahip.org,https://www.ahip.org/careers,Government / Public Health,Government; Public Health; Unknown,medium,Fetch: HTTP Error 404: Not Found; Payer association; Payer policy; Public health research/policy; R20 new; failure_reason=fetch_failed:HTTP Error 404: Not Found
AI Care,care-iq.com,https://care-iq.com,ai_clinical_datascience,Imaging AI; Deep learning for medical imaging analysis (X-rays MRIs CT scans),high,Company homepage; page 2
AI Care Standard,aicarestandard.com,https://aicarestandard.com,ai_clinical_datascience,Clinical AI; Framework for safe and clinically responsible AI-driven patient communication,high,Company homepage; page 2
AiCare,aicare.co,https://aicare.co,ai_clinical_datascience,Healthcare AI; Active Intelligence Platform for wearable sensor data and clinical outcome prediction,high,Company homepage; page 1
Aidoc,aidoc.com,https://www.aidoc.com,ai_clinical_datascience,Clinical AI; Clinical AI for healthcare providers - medical imaging and workflow optimization,high,Company homepage; page 1
Aim,weaim.io,https://weaim.io,ai_clinical_datascience,Healthcare AI; AI Care Manager platform - automate scheduling care planning compliance and billing,high,Company homepage; page 9
AIR Federal,air.org,https://www.air.org/careers,Federal Contractors,Federal Contractors; Research Organizations; Unknown,medium,Federal health research/contractor; Fetch: HTTP Error 403: Forbidden; Greenhouse; Health services research; Medicaid/Medicare research; Merged into AIR; failure_reason=no_matching_roles
Akima,akima.com,https://www.akima.com/careers/,Federal Contractors,Federal Contractors; iCIMS,medium,Federal health research/contractor; failure_reason=fetch_failed:HTTP Error 403: Forbidden; iCIMS
Alabama Department of Health,personnel.alabama.gov,https://personnel.alabama.gov/,Government / Public Health,Government; Public Health; USAJobs,medium,State public health; failure_reason=no_matching_roles
Alabama Department of Public Health,alabamapublichealth.gov,https://www.alabamapublichealth.gov/employment/opportunities,google_harvest,Government; Employment Opportunities,high,State public health department employment opportunities
Alaska Department of Health,governmentjobs.com,https://www.governmentjobs.com/careers/alaska,Government / Public Health,Government; GovernmentJobs; Public Health,medium,County health department; County public health; State public health; failure_reason=no_matching_roles
Albert Einstein College of Medicine,einsteinmed.edu,https://jobs.einsteinmed.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,Academic medical center; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Alberta Health Services,albertahealthservices.ca,https://www.albertahealthservices.ca,behavioral_mental_health,Behavioral health company / Healthcare system; Mental health and behavioral health services (Canadian provincial health system),medium,Canadian provincial healthcare system with behavioral health programs
Alcanza Clinical Research,alcanzaclinical.personio.com,https://alcanzaclinical.personio.com,google_harvest,CRO; Jobs at Alcanza Clinical Research,high,Clinical research organization career page; ATS:Personio
Aledade,aledade.com,https://aledade.com/careers,Digital Health,Custom; Digital Health,medium,Primary care ACO; failure_reason=no_matching_roles
Alexion,alexion.com,https://www.alexion.com,med_device_diagnostics,AstraZeneca Rare Disease; Biotechnology; Other; Rare disease diagnostics and collaborative diagnostic programs; delivering life-changing therapies for rare diseases,high,Pharma with diagnostic collaboration; Rare disease biotech
Alignment Health,alignmenthealth.com,https://www.alignmenthealth.com/careers,Digital Health,Digital Health,medium,Medicare Advantage
Alignment Health Plan,alignmenthealthplan.com,https://www.alignmenthealthplan.com,payer_vbc,Medicare Advantage; Medicare Advantage plans,high,Medicare Advantage insurer
Alira Health,alirahealth.com,https://www.alirahealth.com,cro_heor_rwe,CRO; Market Access; Clinical operations full-service CRO market access patient engagement,high,Early stage to post-market studies
Alliance Health,alliancehealthplan.org,https://www.alliancehealthplan.org,payer_vbc,Medicaid Managed Care; North Carolina BH/IDD Tailored Plan,high,North Carolina Medicaid MCO
Alliance Medical,alliancemedical.com,https://www.alliancemedical.com,med_device_diagnostics,Imaging Diagnostics; Diagnostic imaging and radiopharmacy services worldwide,high,Expert diagnostic imaging 30+ years experience
Allucent,allucent.com,https://www.allucent.com,cro_heor_rwe,CRO; Global full-service CRO for biotech and small-to-mid-size pharma,high,Expert clinical research solutions
Alma,alma.co,https://alma.co/careers,Digital Health,Digital Health; Unknown,medium,Fetch: HTTP Error 404: Not Found; Mental health platform; failure_reason=fetch_failed:HTTP Error 404: Not Found
Almac Diagnostic Services,almacgroup.com,https://www.almacgroup.com,med_device_diagnostics,Diagnostics; Biomarker-driven clinical trials and diagnostic services,high,Specializes in precision medicine diagnostics
Alnylam,alnylam.com,https://www.alnylam.com,pharma_biotech,Biotech Companies; Custom; Leading RNAi therapeutics company; Therapeutics; innovative class of medicines; pioneered RNA interference,high,RNAi; RNAi therapeutics biotech; failure_reason=no_matching_roles
Alpha Omega Integration,alphaomega.com,https://alphaomega.com/careers/,Federal Healthcare Contractors,Federal Contractors; Federal Healthcare Contractors; UKG; UltiPro,medium,CMS contractor; Federal contractor; failure_reason=no_matching_roles
ALS Global,alsglobal.com,https://alsglobal.com,environmental_occupational_health,"Testing and Consulting Services; Occupational Health, Environmental Health",high,Broad range of field services and laboratory testing for industrial and occupational hygiene
Altarum Institute Federal,altarum.org,https://altarum.org/careers,Federal Contractors,Federal Contractors; Lever; Research Organizations,medium,Federal health research/contractor; Health research nonprofit; failure_reason=no_matching_roles
Altera Digital Health,alterahealth.com,https://www.alterahealth.com,digital_health,Healthcare Software; EHR and healthcare IT for mid-size hospitals and health systems,high,Former Allscripts hospital division
Amazon Health AI,health.amazon.com,https://health.amazon.com/health-ai/learn-more,digital_health,Health AI; AI-powered personal health assistant backed by One Medical providers,high,Amazon consumer health AI product
Ambience Healthcare,ambiencehealthcare.com,https://www.ambiencehealthcare.com,ai_clinical_datascience,AI clinical documentation and ambient care; Clinical AI; Custom; Digital Health,high,Clinical AI documentation; Company homepage; failure_reason=no_matching_roles; page 5
Ambient Clinical Analytics,ambientclinical.com,https://ambientclinical.com,digital_health,Clinical Analytics; FDA-cleared digital health and clinical analytics for RPM,high,Real-time clinical condition monitoring
Amentum,amentumcareers.com,https://www.amentumcareers.com/,Federal Contractors,Federal Contractors; Workday,medium,Federal health research/contractor; Workday; failure_reason=no_matching_roles
American College of Occupational and Environmental Medicine (ACOEM),acoem.org,https://acoem.org,environmental_occupational_health,"Professional Association; Occupational Health, Environmental Medicine",high,Improves care and wellbeing of workers through occupational and environmental medicine knowledge
American Conference of Governmental Industrial Hygienists (ACGIH),acgih.org,https://www.acgih.org,environmental_occupational_health,"Professional Association; Industrial Hygiene, Occupational Health, Regulatory Science",high,Respected for dedication to industrial hygiene and occupational/environmental health and safety communities for over 87 years
American Enterprise Institute Health,aei.org,https://www.aei.org/jobs/,Government / Public Health,Government; Public Health; Research Organizations; Unknown,medium,Fetch: HTTP Error 403: Forbidden; Think tank; failure_reason=fetch_failed:HTTP Error 403: Forbidden
American Industrial Hygiene Association (AIHA),aiha.org,https://www.aiha.org,environmental_occupational_health,"Professional Association; Industrial Hygiene, Occupational Health",high,Association for scientists and professionals committed to preserving OEHS in workplace and community
American Public Health Association,apha.org,https://www.apha.org,org_harvest,American Public Health Association; Custom; Government; Public Health; Public Health Organization,medium,Major public health conference and AJPH journal; Professional membership organization for public health professionals; Professional organization for public health advocacy and policy; Public health membership; failure_reason=fetch_failed:HTTP Error 404: Not Found
American Red Cross,redcross.org,https://www.redcross.org,global_health_ngo,Humanitarian Health; Disaster response and international health services,high,US Red Cross with global disaster health programs
Amgen,amgen.com,https://www.amgen.com,pharma_biotech,Biopharmaceutical company developing innovative medicines to fight diseases; Biotech Companies; Biotechnology; Pharmaceutical Companies; harnesses biology to advance human health,high,HEOR; Major biotech company
Amicus Therapeutics,amicusrx.com,https://www.amicusrx.com,pharma_biotech,Biotechnology; Wholly owned subsidiary of BioMarin Pharmaceutical Inc.; rare disease biotechnology company focused on delivering medicines,high,Rare disease biotech
Amneal Pharmaceuticals,amneal.com,https://amneal.com/careers/,Pharmaceutical Companies,Oracle Recruiting; Pharmaceutical Companies,medium,Generic pharma; failure_reason=no_matching_roles
Amplify,amplify.com,https://amplify.com/medical-communications,medical_communications,Medical Communications; Strategic medical communications grounded in science fueled by proprietary insights delivered with trust to healthcare networks,high,Company medical communications page
Amwell,business.amwell.com,https://business.amwell.com/about-us/careers/jobs,Digital Health,Digital Health,medium,Telehealth
Analysis Group,analysisgroup.com,https://www.analysisgroup.com,cro_heor_rwe,Consulting; HEOR; Health economics; RWE; commercial strategy; iCIMS; market access; outcomes research,high,Economic consulting; Economics and outcomes research consulting; failure_reason=no_matching_roles
AnalytAIX,analytaix.com,https://analytaix.com,ai_clinical_datascience,Healthcare AI; Healthcare AI solutions delivering multilingual culturally aware AI,high,Company homepage; page 8
Anavex Life Sciences,anavex.com,https://www.anavex.com,pharma_biotech,Biotechnology; Biopharmaceutical leader advancing targeted CNS therapies through innovative therapeutic discovery and development,high,CNS and Alzheimer's biotech
Annenberg Public Policy Center,annenbergpublicpolicycenter.org,https://www.annenbergpublicpolicycenter.org,consulting_federal,Policy Research; Health policy research and communication,high,University-based policy research center
Antech Diagnostics,antechdiagnostics.com,https://www.antechdiagnostics.com,med_device_diagnostics,Laboratory Medicine; Veterinary diagnostics lab testing imaging and pathology services,high,Veterinary-focused diagnostics expertise
Anterior,anterior.com,https://anterior.com,ai_clinical_datascience,Predictive Analytics; Predictive analytics for orthopedic surgery planning,high,Company homepage; page 15
Anthem,anthem.com,https://www.anthem.com,payer_vbc,Medicare Advantage; Anthem Medicare Advantage Plans Part C,high,Major national Medicare Advantage insurer
Apellis Pharmaceuticals,apellis.com,https://apellis.com/careers/our-culture/,Biotech Companies,Biotech Companies; Workday (embedded; blocked API),medium,Commercial biotech; failure_reason=no_matching_roles
Aplastic Anemia and MDS International Foundation,aamds.org,https://www.aamds.org/sponsored-research/global-pnh-patient-registry,rwd_registry,Patient Registry; Aplastic Anemia / MDS / PNH,high,Global PNH patient registry sponsored with NORD
ApotheCom,apothecom.com,https://www.apothecom.com,medical_communications,Global medical affairs agency delivering evidence-driven medical communications strategy and innovation for pharma and biotech worldwide; Medical Affairs Strategy; Medical Communications; Workday,high,Company homepage - global medical affairs agency; Medical writing agency; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Applied Environmental Inc.,appenv.com,https://www.appenv.com,environmental_occupational_health,"Environmental Consulting Firm; Environmental Health, Industrial Hygiene, Occupational Safety",high,Provides environmental industrial hygiene occupational safety and health consulting to private sector and government
Applied Research Institute,theari.us,https://www.theari.us,survey_policy_research,Applied Research; Action research addressing real-world problems,high,Nonprofit applied research institute; appeared across multiple result pages
APPRISE,appriseinc.org,https://www.appriseinc.org,survey_policy_research,Policy Research; Public policy research and data collection and analysis,high,Applied Public Policy Research Institute for Study and Evaluation
Aptar Digital Health,aptardigitalhealth.com,https://www.aptardigitalhealth.com,digital_health,Digital Health; Digital health drug delivery and patient engagement solutions,high,Aptar Pharma digital health division
Arcadia,arcadia.io,https://arcadia.io,digital_health,Consulting; Digital Health; HEOR; Healthcare Analytics; Lever; RWE; Value-based care analytics and population risk management,high,HEOR/RWE/epi consulting; Population health; Population health data; Population health insights and quality metrics; R20 new; failure_reason=no_matching_roles
Arcus Biosciences,arcusbio.com,https://arcusbio.com/careers/,Biotech Companies,Biotech Companies; Greenhouse,medium,Oncology biotech; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Argenx,argenx.com,https://www.argenx.com,pharma_biotech,Biotech Companies; Biotechnology; Investigating efgartigimod for treatment of several severe autoimmune diseases; Workday; marketed as VYVGART,high,Commercial biotech; Immunology biotech; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)>
Arizona Department of Health,azstatejobs.gov,https://azstatejobs.gov/,Government / Public Health,Custom; Government; Public Health; USAJobs,medium,State public health; failure_reason=no_content
Arizona Industrial Commission,azica.gov,https://www.azica.gov,environmental_occupational_health,Government - State; Injury Prevention,medium,Handles Arizona Industrial Commission Workers Compensation OSHA and Labor Laws
Arkansas Children's Hospital,archildrens.org,https://www.archildrens.org,hospital_system,Children's Hospital; Hospital Systems; Workday,high,Hospital/cancer center; Research and foundation with multiple Arkansas locations; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>; population health research
Arkansas Department of Health,arcareers.arkansas.gov,https://www.arcareers.arkansas.gov/,Government / Public Health,Government; Public Health; USAJobs,medium,State public health; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Arkansas SHARE,sharearkansas.com,https://www.sharearkansas.com,clinical_informatics_healthit,HIE; Arkansas state health information exchange for secure health data access,high,Arkansas statewide HIE
Arnold Ventures,arnoldventures.org,https://www.arnoldventures.org/careers,Research Organizations,Paylocity; Research Organizations,medium,Health policy philanthropy; failure_reason=no_matching_roles
Articulate Science,articulatescience.com,https://www.articulatescience.com/careers,Medical Communications,Custom; Medical Communications,medium,Medical writing boutique; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Ascension,ascension.org,https://jobs.ascension.org/,Hospital Systems,Hospital Systems; Phenom,medium,Hospital/cancer center; Nonprofit Catholic health system; failure_reason=no_matching_roles; population health research
Ashfield Healthcare Communications,ashfieldhealth.com,https://www.ashfieldhealth.com/careers/,Medical Communications,Custom; Medical Communications,medium,Medical writing; Medical/scientific communications; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Aspire Scientific,aspire-scientific.com,https://www.aspire-scientific.com,medical_communications,Medical Communications; Independent evidence-led medical communications agency powered by people and values,high,Company homepage - independent medical communications agency
Association for Health Care Environment (AHE),ahe.org,https://www.ahe.org,environmental_occupational_health,Professional Association; Environmental Health,medium,Association for health care environmental services leaders maintaining care environment using infection prevention practices
Association of Occupational and Environmental Clinics (AOEC),aoec.org,https://aoec.org,environmental_occupational_health,"Professional Association; Occupational Health, Environmental Health",high,Network of clinics providing patient-focused care for workers injured or ill on the job and people exposed to environmental hazards
Association of Public Health Laboratories (APHL),aphl.org,https://aphl.org,environmental_occupational_health,Professional Association; Public Health Preparedness,high,Helps public health laboratories with emergency preparedness and response capabilities
Association of State and Territorial Health Officials (ASTHO),astho.org,https://www.astho.org,environmental_occupational_health,Government; Professional Association; Public Health; Public Health Preparedness; Unknown,high,Fetch: HTTP Error 403: Forbidden; Provides public health preparedness expertise to help communities anticipate respond to and recover from health emergencies; State health officials; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Astellas Pharma US,astellas.com,https://www.astellas.com/en,Pharmaceutical Companies,Custom; Pharmaceutical Companies,medium,HEOR/RWE; R20 new; Specialty pharma; failure_reason=no_matching_roles
AstraZeneca,astrazeneca.com,https://www.astrazeneca.com,pharma_biotech,Global science-led biopharmaceutical business; Pharmaceutical; Pharmaceutical Companies; Unknown; innovative medicines used by millions of patients worldwide,high,Fetch: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unabl; HEOR; Major pharmaceutical company; Rare disease; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)>
Athena Diagnostics,athenadiagnostics.com,https://www.athenadiagnostics.com,med_device_diagnostics,Diagnostics; Neurological disease diagnostics,high,Leader in diagnostic testing for neurological diseases and muscular dystrophy
athenahealth,athenahealth.com,https://www.athenahealth.com/careers,Digital Health,Digital Health; Unknown,medium,Ambulatory EHR; Fetch: HTTP Error 403: Forbidden; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Atlantic Health,atlantichealth.org,https://www.atlantichealth.org,hospital_system,Hospital System; Hospital Systems; Workday,high,Hospital system; New Jersey regional health system including Morristown Medical Center; failure_reason=no_matching_roles
Atrium Health,atriumhealth.org,https://www.atriumhealth.org,hospital_system,Hospital System; Hospital Systems; Workday,high,Carolinas system; Charlotte NC integrated health system; Wisconsin system; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Atropos Health,atroposhealth.com,https://www.atroposhealth.com,cro_heor_rwe,Digital Health; Greenhouse; HEOR; HEOR real-world evidence research-grade RWE; RWD insights; RWE,high,AI-driven evidence generation and publication-grade RWE; RWE evidence network; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Auburn University Health Sciences,auburn.edu,https://jobs.auburn.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
Augusta Health,augustahealth.com,https://www.augustahealth.com › service › population-health,hospital_system,Regional Health System,high,Population health team at Fishersville VA community health system
Augusta University,augusta.edu,https://www.augusta.edu/sph,academic,Academic Medical Center,high,Georgia academic medical center
Aurevia,aurevia.com,https://www.aurevia.com,cro_heor_rwe,"Research Consulting; Quality regulatory and CRO consulting, medtech regulatory compliance",high,Full-service CRO consulting supporting pharma and medical devices
AuroraMed,auroramed.pt,https://auroramed.pt,ai_clinical_datascience,Healthcare AI; Clinician empowerment - trusted AI for medicine founded by physician/engineer,high,Portuguese healthcare AI company; page 12
Australian Government Department of Health,health.gov.au,https://www.health.gov.au/our-work/national-clinical-quality-registry-program,rwd_registry,Clinical Registry; Clinical Quality,high,National Clinical Quality Registry Program funding clinical quality registries
Avalere Health Advisory,avalerehealth.com,https://advisory.avalerehealth.com,cro_heor_rwe,Consulting; Custom; HEOR; Health economics and outcomes research consulting with real-world data; Health plan consulting and managed care solutions; Payer Analytics; RWE,high,Comprehensive real-world data for evidence generation; HEOR/RWE/epi consulting; Policy analytics and health plan advisory; Policy/HEOR; failure_reason=no_matching_roles
Aventine Consulting,aventineconsulting.com,https://www.aventineconsulting.com,medical_communications,Healthcare Communications; Healthcare communications firm acquired by Prime Global Medical Communications in UK,medium,News article about acquisition - healthcare communications firm
Axial Group,axialgroup.com,https://www.axialgroup.com/efficient-publication-strategy,medical_communications,Publication Planning; Efficient publication strategy services - Lanx part of Axial Group full-service CRO,medium,Company page mentions publication strategy - CRO with publication services
Axina,axina.com,https://www.axina.com,cro_heor_rwe,HEOR; RWE; AI-powered RWE HEOR and evidence synthesis solutions,high,Market access and cost-effectiveness focus
Axiom Resource Management,axiomresourcemanagement.com,https://www.axiomresourcemanagement.com/careers,Federal Contractors,Federal Contractors; Unknown,medium,Fetch: <urlopen error [Errno -2] Name or service not known>; Greenhouse sales focus; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Axle Informatics,axleinfo.com,https://axleinfo.com/careers/,Federal Contractors,Custom; Federal Contractors,medium,Federal health research/contractor; NIH contractor; failure_reason=no_matching_roles
AXON Communications,axoncom.com,https://www.axoncom.com/careers,Medical Communications,Custom; Medical Communications,medium,Medical communications; failure_reason=fetch_failed:<urlopen error [Errno -3] Temporary failure in name resolution>
Azalea Health,azaleahealth.com,https://www.azaleahealth.com,clinical_informatics_healthit,EHR; Cloud-based EHR with health information exchange and interoperability,high,Ambulatory and rural health EHR vendor
Azenta Life Sciences,azenta.com,https://www.azenta.com,pharma_biotech,Other; Pharmaceutical company sought support to store GMP materials at ultra low temperature,medium,Life sciences services and storage provider
Babylon Health,babylonhealth.com,https://www.babylonhealth.com/careers,Digital Health,Digital Health; Greenhouse,medium,Digital primary care; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Back Bay Life Science Advisors,bblsa.com,https://www.bblsa.com/lifescience/careers,HEOR / RWE / Consulting,Consulting; Custom; HEOR; RWE,medium,Life sciences advisory; failure_reason=no_matching_roles
BAE Systems Health,baesystems.com,https://jobs.baesystems.com/,Federal Contractors,Federal Contractors; Workday,medium,Federal health research/contractor; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)>
Bain & Company,bain.com,https://www.bain.com,org_harvest,Consulting; Bain & Company: Global Management Consulting Firm,medium,Employs health economists and healthcare analysts; Management consulting with healthcare and life sciences practice; Top management consulting firm with healthcare practice
Ballad Health,balladhealth.org,https://jobs.balladhealth.org/,Hospital Systems,Hospital Systems; Workday,medium,Appalachia system; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Banner Health Sun Health Research Institute,bannerhealth.com,https://www.bannerhealth.com,academic,Hospital Systems; Research Institute,high,Hospital/cancer center; Southwest integrated system; Sun City AZ aging research; population health research
Battelle,battelle.org:443,https://jobs.battelle.org:443/us/en/home,Research Organizations,Phenom; Research Organizations,medium,Workday; failure_reason=no_matching_roles
Battelle Health,battelle.org,https://jobs.battelle.org/,Federal Contractors,Federal Contractors; Phenom,medium,Federal health research/contractor; failure_reason=no_matching_roles
Bausch Health,bauschhealth.com,https://www.bauschhealth.com/careers/working-at-bausch-health/,Pharmaceutical Companies,Pharmaceutical Companies; Workday (embedded; blocked API),medium,Specialty pharma; failure_reason=no_matching_roles
Baxter,baxter.com,https://jobs.baxter.com/en,Biotech Companies,Biotech Companies; Custom; Pharmaceutical Companies,medium,RWE analytics; failure_reason=no_matching_roles
Bayer,bayer.com,https://www.bayer.com,med_device_diagnostics,Diagnostic imaging division; Imaging Diagnostics; Pharmaceutical Companies; Unknown,high,Fetch: <urlopen error timed out>; HEOR; Major pharmaceutical company with imaging diagnostics; failure_reason=fetch_failed:<urlopen error timed out>
Baylor College of Medicine,bcm.edu,https://jobs.bcm.edu/,Academic Medical Centers,Academic Medical Centers; SuccessFactors,medium,Academic; failure_reason=no_matching_roles
Baylor Scott & White Health,bswhealth.com,https://jobs.bswhealth.com/us/en,Hospital Systems,Hospital Systems; Phenom,medium,Texas integrated system; failure_reason=no_matching_roles
Baylor University Public Health,baylor.edu,https://jobs.baylor.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,SPH/Medicine; adjunct/epi potential; failure_reason=no_matching_roles
