organization,domain,visible_url,primary_category,secondary_categories,confidence,source_file,source_branch,notes
AcademyHealth,academyhealth.org,https://academyhealth.org,org_harvest,AcademyHealth; Government; Nonprofit; Public Health; Unknown,high,career_universe_org_harvest.csv; employer_database_master.csv; phase3c_browser_queue_20260620.json,cursor/org-universe-harvest-faa3; main (phase3c_sync_minimum.zip),Annual Research Meeting is major HSR conference; Fetch: HTTP Error 403: Forbidden; Membership org; Professional organization for health services researchers; Professional organization strengthening health services research; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Accenture,accenture.com,https://www.accenture.com/industries/public-service,consulting_federal,Consulting; Federal Contractors; HEOR; Public Sector Consulting; Public sector consulting services; RWE; Workday,high,consulting_federal_universe.csv; employer_database_master.csv; phase3c_browser_queue_20260620.json,cursor/consulting-federal-universe-0daa; main (phase3c_sync_minimum.zip),Federal health research/contractor; Life sciences consulting; Major consulting firm with government services practice; Workday; failure_reason=no_matching_roles
Accolade,transcarent.com,https://transcarent.com/careers,Digital Health,Custom; Digital Health,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Fetch: HTTP Error 308: Permanent Redirect; Health navigation; Navigation; failure_reason=no_matching_roles
Accountability and Reform Research Consortium (Volcker Alliance),volckeralliance.org,https://www.volckeralliance.org/initiatives/accountability-reform-research-consortium,consulting_federal,Policy Research; Documenting impact of changes to federal workforce on public service delivery,high,consulting_federal_universe.csv,cursor/consulting-federal-universe-0daa,Research consortium focused on federal workforce and public service
Accuhealth,accuhealth.tech,https://accuhealth.tech,digital_health,Digital Health; Remote patient monitoring technology platform,high,digital_health_universe.csv,cursor/digital-health-universe-discovery-c955,RPM with clinical monitoring services
Acumen Medical Communications,acumenmedcom.com,https://www.acumenmedcom.com,medical_communications,Medical Communications; End-to-end support of medical and scientific communication needs including abstracts posters and medical writing,medium,medical_communications_universe.csv,cursor/medical-communications-discovery-87dc,Company homepage - medical communications and scientific writing
Ad Hoc LLC,adhoc.team,https://adhoc.team/careers/,Federal Contractors,Federal Contractors; Greenhouse (embedded),medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Federal health research/contractor; VA/CMS tech; failure_reason=no_matching_roles
Adaptive Biotechnologies,adaptivebiotech.com,https://www.adaptivebiotech.com/careers/,Biotech Companies,Biotech Companies; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Immunomics; failure_reason=fetch_failed:HTTP Error 404: Not Found
Adaptive Phage Therapeutics,adaptivetx.com,https://www.adaptivetx.com/careers,Biotech Companies,Biotech Companies; Greenhouse (embedded),medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Phage therapy; failure_reason=fetch_failed:Remote end closed connection without response
Adelphi Group,adelphigroup.com,https://www.adelphigroup.com/join-us/,HEOR / RWE / Consulting,Consulting; Greenhouse; HEOR; RWE,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),HEOR/medical affairs; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Advarra,advarra.com,https://www.advarra.com,cro_heor_rwe,Research Consulting; Clinical research organization and contract research services,medium,cro_heor_rwe_universe.csv,cursor/cro-heor-rwe-discovery-307f,Clinical trial services and research support
AdventHealth Translational Research Institute,adventhealth.com,https://www.adventhealth.com/institutes/translational-research,academic,Hospital Systems; Translational Research Institute; Workday (embedded; blocked API),high,academic_employer_universe.csv; employer_database_master.csv; phase3c_browser_queue_20260620.json,cursor/academic-employer-discovery-0c53; main (phase3c_sync_minimum.zip),Florida-based system; Health system research institute; failure_reason=no_matching_roles
Adventist Health,adventisthealth.org,https://www.adventisthealth.org,org_harvest,Hospital System; Adventist Health,high,career_universe_org_harvest.csv,cursor/org-universe-harvest-faa3,Population health and quality improvement programs; Large West Coast health system; Faith-based health system with accountable care organization
Advocate Health,advocatehealth.com,https://careers.advocatehealth.com/,Hospital Systems,Hospital Systems,medium,employer_database_master.csv,main (phase3c_sync_minimum.zip),Hospital system
Aetion,aetion.com,https://www.aetion.com/careers/,HEOR / RWE / Consulting,Consulting; Custom; HEOR; RWE,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),HEOR/RWE/epi consulting; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Aetna,aetna.com,https://www.aetna.com,payer_vbc,Health Insurance; Health insurance including dental and vision plans,high,payer_vbc_universe.csv,cursor/payer-vbc-discovery-ed6b,Major national health insurer
Africa Policy Research Institute,afripoli.org,https://afripoli.org,survey_policy_research,Policy Research; Africa-focused policy research,high,survey_policy_research_universe.csv,cursor/survey-policy-research-universe-e49c,Africa policy research organization
Agency for Healthcare Research and Quality,ahrq.gov,https://www.ahrq.gov,org_harvest,Government; Agency for Healthcare Research and Quality,high,career_universe_org_harvest.csv,cursor/org-universe-harvest-faa3,Major employer for outcomes researchers and biostatisticians; Federal health services research agency; Federal agency enhancing quality and effectiveness of health services
Agilent Technologies,agilent.com,https://www.agilent.com,med_device_diagnostics,Biotech Companies; Diagnostics; Pathology and clinical genomics tests; Pharmaceutical Companies; Unknown,high,employer_database_master.csv; med_device_diagnostics_universe.csv; phase3c_browser_queue_20260620.json,cursor/med-device-diagnostics-universe-e384; main (phase3c_sync_minimum.zip),Fetch: HTTP Error 403: Forbidden; Life sciences; Major diagnostics solutions provider; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Agilify Health,agilifyhealth.com,https://www.agilifyhealth.com,clinical_informatics_healthit,HIE; Health information exchange solutions facilitating data exchange between practitioners,high,clinical_informatics_healthit_universe.csv,cursor/clinical-informatics-healthit-universe-78ec,HIE solutions provider
Agilon Health,agilonhealth.com,https://www.agilonhealth.com/careers/,Digital Health,Digital Health; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Medicare ACO; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Agios Pharmaceuticals,phe.tbe.taleo.net,https://phe.tbe.taleo.net/phe03/ats/careers/v2/jobSearch?act=redirectCwsV2&cws=37&org=AGIOS,Biotech Companies,Biotech Companies; Taleo,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Also seen under domain agios.com; Rare disease oncology; failure_reason=no_matching_roles
AHIP,ahip.org,https://www.ahip.org/careers,Government / Public Health,Government; Public Health; Unknown,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Fetch: HTTP Error 404: Not Found; Payer association; Payer policy; Public health research/policy; R20 new; failure_reason=fetch_failed:HTTP Error 404: Not Found
AI Care,care-iq.com,https://care-iq.com,ai_clinical_datascience,Imaging AI; Deep learning for medical imaging analysis (X-rays MRIs CT scans),high,ai_clinical_datascience_universe.csv,cursor/ai-clinical-datascience-universe-b799,Company homepage; page 2
AI Care Standard,aicarestandard.com,https://aicarestandard.com,ai_clinical_datascience,Clinical AI; Framework for safe and clinically responsible AI-driven patient communication,high,ai_clinical_datascience_universe.csv,cursor/ai-clinical-datascience-universe-b799,Company homepage; page 2
AiCare,aicare.co,https://aicare.co,ai_clinical_datascience,Healthcare AI; Active Intelligence Platform for wearable sensor data and clinical outcome prediction,high,ai_clinical_datascience_universe.csv,cursor/ai-clinical-datascience-universe-b799,Company homepage; page 1
Aidoc,aidoc.com,https://www.aidoc.com,ai_clinical_datascience,Clinical AI; Clinical AI for healthcare providers - medical imaging and workflow optimization,high,ai_clinical_datascience_universe.csv,cursor/ai-clinical-datascience-universe-b799,Company homepage; page 1
Aim,weaim.io,https://weaim.io,ai_clinical_datascience,Healthcare AI; AI Care Manager platform - automate scheduling care planning compliance and billing,high,ai_clinical_datascience_universe.csv,cursor/ai-clinical-datascience-universe-b799,Company homepage; page 9
AIR Federal,air.org,https://www.air.org/careers,Federal Contractors,Federal Contractors; Research Organizations; Unknown,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Federal health research/contractor; Fetch: HTTP Error 403: Forbidden; Greenhouse; Health services research; Medicaid/Medicare research; Merged into AIR; failure_reason=no_matching_roles
Akima,akima.com,https://www.akima.com/careers/,Federal Contractors,Federal Contractors; iCIMS,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Federal health research/contractor; failure_reason=fetch_failed:HTTP Error 403: Forbidden; iCIMS
Alabama Department of Health,personnel.alabama.gov,https://personnel.alabama.gov/,Government / Public Health,Government; Public Health; USAJobs,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),State public health; failure_reason=no_matching_roles
Alabama Department of Public Health,alabamapublichealth.gov,https://www.alabamapublichealth.gov/employment/opportunities,google_harvest,Government; Employment Opportunities,high,career_google_harvest.csv,cursor/google-career-harvest-faa3,State public health department employment opportunities
Alaska Department of Health,governmentjobs.com,https://www.governmentjobs.com/careers/alaska,Government / Public Health,Government; GovernmentJobs; Public Health,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),County health department; County public health; State public health; failure_reason=no_matching_roles
Albert Einstein College of Medicine,einsteinmed.edu,https://jobs.einsteinmed.edu/,Academic Medical Centers,Academic Medical Centers; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Academic medical center; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Alberta Health Services,albertahealthservices.ca,https://www.albertahealthservices.ca,behavioral_mental_health,Behavioral health company / Healthcare system; Mental health and behavioral health services (Canadian provincial health system),medium,behavioral_mental_health_universe.csv,cursor/behavioral-mental-health-discovery-b6f4,Canadian provincial healthcare system with behavioral health programs
Alcanza Clinical Research,alcanzaclinical.personio.com,https://alcanzaclinical.personio.com,google_harvest,CRO; Jobs at Alcanza Clinical Research,high,career_google_harvest.csv,cursor/google-career-harvest-faa3,Clinical research organization career page; ATS:Personio
Aledade,aledade.com,https://aledade.com/careers,Digital Health,Custom; Digital Health,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Primary care ACO; failure_reason=no_matching_roles
Alexion,alexion.com,https://www.alexion.com,med_device_diagnostics,AstraZeneca Rare Disease; Biotechnology; Other; Rare disease diagnostics and collaborative diagnostic programs; delivering life-changing therapies for rare diseases,high,med_device_diagnostics_universe.csv; pharma_biotech_universe.csv,cursor/med-device-diagnostics-universe-e384; cursor/pharma-biotech-universe-bfec,Pharma with diagnostic collaboration; Rare disease biotech
Alignment Health,alignmenthealth.com,https://www.alignmenthealth.com/careers,Digital Health,Digital Health,medium,employer_database_master.csv,main (phase3c_sync_minimum.zip),Medicare Advantage
Alignment Health Plan,alignmenthealthplan.com,https://www.alignmenthealthplan.com,payer_vbc,Medicare Advantage; Medicare Advantage plans,high,payer_vbc_universe.csv,cursor/payer-vbc-discovery-ed6b,Medicare Advantage insurer
Alira Health,alirahealth.com,https://www.alirahealth.com,cro_heor_rwe,CRO; Market Access; Clinical operations full-service CRO market access patient engagement,high,cro_heor_rwe_universe.csv,cursor/cro-heor-rwe-discovery-307f,Early stage to post-market studies
Alliance Health,alliancehealthplan.org,https://www.alliancehealthplan.org,payer_vbc,Medicaid Managed Care; North Carolina BH/IDD Tailored Plan,high,payer_vbc_universe.csv,cursor/payer-vbc-discovery-ed6b,North Carolina Medicaid MCO
Alliance Medical,alliancemedical.com,https://www.alliancemedical.com,med_device_diagnostics,Imaging Diagnostics; Diagnostic imaging and radiopharmacy services worldwide,high,med_device_diagnostics_universe.csv,cursor/med-device-diagnostics-universe-e384,Expert diagnostic imaging 30+ years experience
Allucent,allucent.com,https://www.allucent.com,cro_heor_rwe,CRO; Global full-service CRO for biotech and small-to-mid-size pharma,high,cro_heor_rwe_universe.csv,cursor/cro-heor-rwe-discovery-307f,Expert clinical research solutions
Alma,alma.co,https://alma.co/careers,Digital Health,Digital Health; Unknown,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Fetch: HTTP Error 404: Not Found; Mental health platform; failure_reason=fetch_failed:HTTP Error 404: Not Found
Almac Diagnostic Services,almacgroup.com,https://www.almacgroup.com,med_device_diagnostics,Diagnostics; Biomarker-driven clinical trials and diagnostic services,high,med_device_diagnostics_universe.csv,cursor/med-device-diagnostics-universe-e384,Specializes in precision medicine diagnostics
Alnylam,alnylam.com,https://www.alnylam.com,pharma_biotech,Biotech Companies; Custom; Leading RNAi therapeutics company; Therapeutics; innovative class of medicines; pioneered RNA interference,high,employer_database_master.csv; pharma_biotech_universe.csv; phase3c_browser_queue_20260620.json,cursor/pharma-biotech-universe-bfec; main (phase3c_sync_minimum.zip),RNAi; RNAi therapeutics biotech; failure_reason=no_matching_roles
Alpha Omega Integration,alphaomega.com,https://alphaomega.com/careers/,Federal Healthcare Contractors,Federal Contractors; Federal Healthcare Contractors; UKG; UltiPro,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),CMS contractor; Federal contractor; failure_reason=no_matching_roles
ALS Global,alsglobal.com,https://alsglobal.com,environmental_occupational_health,"Testing and Consulting Services; Occupational Health, Environmental Health",high,environmental_occupational_health_universe.csv,cursor/environmental-occupational-health-discovery-886b,Broad range of field services and laboratory testing for industrial and occupational hygiene
Altarum Institute Federal,altarum.org,https://altarum.org/careers,Federal Contractors,Federal Contractors; Lever; Research Organizations,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Federal health research/contractor; Health research nonprofit; failure_reason=no_matching_roles
Altera Digital Health,alterahealth.com,https://www.alterahealth.com,digital_health,Healthcare Software; EHR and healthcare IT for mid-size hospitals and health systems,high,digital_health_universe.csv,cursor/digital-health-universe-discovery-c955,Former Allscripts hospital division
Amazon Health AI,health.amazon.com,https://health.amazon.com/health-ai/learn-more,digital_health,Health AI; AI-powered personal health assistant backed by One Medical providers,high,digital_health_universe.csv,cursor/digital-health-universe-discovery-c955,Amazon consumer health AI product
Ambience Healthcare,ambiencehealthcare.com,https://www.ambiencehealthcare.com,ai_clinical_datascience,AI clinical documentation and ambient care; Clinical AI; Custom; Digital Health,high,ai_clinical_datascience_universe.csv; employer_database_master.csv; phase3c_browser_queue_20260620.json,cursor/ai-clinical-datascience-universe-b799; main (phase3c_sync_minimum.zip),Clinical AI documentation; Company homepage; failure_reason=no_matching_roles; page 5
Ambient Clinical Analytics,ambientclinical.com,https://ambientclinical.com,digital_health,Clinical Analytics; FDA-cleared digital health and clinical analytics for RPM,high,digital_health_universe.csv,cursor/digital-health-universe-discovery-c955,Real-time clinical condition monitoring
Amentum,amentumcareers.com,https://www.amentumcareers.com/,Federal Contractors,Federal Contractors; Workday,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Federal health research/contractor; Workday; failure_reason=no_matching_roles
American College of Occupational and Environmental Medicine (ACOEM),acoem.org,https://acoem.org,environmental_occupational_health,"Professional Association; Occupational Health, Environmental Medicine",high,environmental_occupational_health_universe.csv,cursor/environmental-occupational-health-discovery-886b,Improves care and wellbeing of workers through occupational and environmental medicine knowledge
American Conference of Governmental Industrial Hygienists (ACGIH),acgih.org,https://www.acgih.org,environmental_occupational_health,"Professional Association; Industrial Hygiene, Occupational Health, Regulatory Science",high,environmental_occupational_health_universe.csv,cursor/environmental-occupational-health-discovery-886b,Respected for dedication to industrial hygiene and occupational/environmental health and safety communities for over 87 years
American Enterprise Institute Health,aei.org,https://www.aei.org/jobs/,Government / Public Health,Government; Public Health; Research Organizations; Unknown,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Fetch: HTTP Error 403: Forbidden; Think tank; failure_reason=fetch_failed:HTTP Error 403: Forbidden
American Industrial Hygiene Association (AIHA),aiha.org,https://www.aiha.org,environmental_occupational_health,"Professional Association; Industrial Hygiene, Occupational Health",high,environmental_occupational_health_universe.csv,cursor/environmental-occupational-health-discovery-886b,Association for scientists and professionals committed to preserving OEHS in workplace and community
American Public Health Association,apha.org,https://www.apha.org,org_harvest,American Public Health Association; Custom; Government; Public Health; Public Health Organization,medium,career_universe_org_harvest.csv; employer_database_master.csv; phase3c_browser_queue_20260620.json,cursor/org-universe-harvest-faa3; main (phase3c_sync_minimum.zip),Major public health conference and AJPH journal; Professional membership organization for public health professionals; Professional organization for public health advocacy and policy; Public health membership; failure_reason=fetch_failed:HTTP Error 404: Not Found
American Red Cross,redcross.org,https://www.redcross.org,global_health_ngo,Humanitarian Health; Disaster response and international health services,high,global_health_ngo_universe.csv,cursor/global-health-ngo-discovery-e8a1,US Red Cross with global disaster health programs
Amgen,amgen.com,https://www.amgen.com,pharma_biotech,Biopharmaceutical company developing innovative medicines to fight diseases; Biotech Companies; Biotechnology; Pharmaceutical Companies; harnesses biology to advance human health,high,employer_database_master.csv; pharma_biotech_universe.csv,cursor/pharma-biotech-universe-bfec; main (phase3c_sync_minimum.zip),HEOR; Major biotech company
Amicus Therapeutics,amicusrx.com,https://www.amicusrx.com,pharma_biotech,Biotechnology; Wholly owned subsidiary of BioMarin Pharmaceutical Inc.; rare disease biotechnology company focused on delivering medicines,high,pharma_biotech_universe.csv,cursor/pharma-biotech-universe-bfec,Rare disease biotech
Amneal Pharmaceuticals,amneal.com,https://amneal.com/careers/,Pharmaceutical Companies,Oracle Recruiting; Pharmaceutical Companies,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Generic pharma; failure_reason=no_matching_roles
Amplify,amplify.com,https://amplify.com/medical-communications,medical_communications,Medical Communications; Strategic medical communications grounded in science fueled by proprietary insights delivered with trust to healthcare networks,high,medical_communications_universe.csv,cursor/medical-communications-discovery-87dc,Company medical communications page
Amwell,business.amwell.com,https://business.amwell.com/about-us/careers/jobs,Digital Health,Digital Health,medium,employer_database_master.csv,main (phase3c_sync_minimum.zip),Telehealth
Analysis Group,analysisgroup.com,https://www.analysisgroup.com,cro_heor_rwe,Consulting; HEOR; Health economics; RWE; commercial strategy; iCIMS; market access; outcomes research,high,cro_heor_rwe_universe.csv; employer_database_master.csv; phase3c_browser_queue_20260620.json,cursor/cro-heor-rwe-discovery-307f; main (phase3c_sync_minimum.zip),Economic consulting; Economics and outcomes research consulting; failure_reason=no_matching_roles
AnalytAIX,analytaix.com,https://analytaix.com,ai_clinical_datascience,Healthcare AI; Healthcare AI solutions delivering multilingual culturally aware AI,high,ai_clinical_datascience_universe.csv,cursor/ai-clinical-datascience-universe-b799,Company homepage; page 8
Anavex Life Sciences,anavex.com,https://www.anavex.com,pharma_biotech,Biotechnology; Biopharmaceutical leader advancing targeted CNS therapies through innovative therapeutic discovery and development,high,pharma_biotech_universe.csv,cursor/pharma-biotech-universe-bfec,CNS and Alzheimer's biotech
Annenberg Public Policy Center,annenbergpublicpolicycenter.org,https://www.annenbergpublicpolicycenter.org,consulting_federal,Policy Research; Health policy research and communication,high,consulting_federal_universe.csv,cursor/consulting-federal-universe-0daa,University-based policy research center
Antech Diagnostics,antechdiagnostics.com,https://www.antechdiagnostics.com,med_device_diagnostics,Laboratory Medicine; Veterinary diagnostics lab testing imaging and pathology services,high,med_device_diagnostics_universe.csv,cursor/med-device-diagnostics-universe-e384,Veterinary-focused diagnostics expertise
Anterior,anterior.com,https://anterior.com,ai_clinical_datascience,Predictive Analytics; Predictive analytics for orthopedic surgery planning,high,ai_clinical_datascience_universe.csv,cursor/ai-clinical-datascience-universe-b799,Company homepage; page 15
Anthem,anthem.com,https://www.anthem.com,payer_vbc,Medicare Advantage; Anthem Medicare Advantage Plans Part C,high,payer_vbc_universe.csv,cursor/payer-vbc-discovery-ed6b,Major national Medicare Advantage insurer
Apellis Pharmaceuticals,apellis.com,https://apellis.com/careers/our-culture/,Biotech Companies,Biotech Companies; Workday (embedded; blocked API),medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Commercial biotech; failure_reason=no_matching_roles
Aplastic Anemia and MDS International Foundation,aamds.org,https://www.aamds.org/sponsored-research/global-pnh-patient-registry,rwd_registry,Patient Registry; Aplastic Anemia / MDS / PNH,high,real_world_data_registry_universe.csv,cursor/rwd-registry-universe-b89c,Global PNH patient registry sponsored with NORD
ApotheCom,apothecom.com,https://www.apothecom.com,medical_communications,Global medical affairs agency delivering evidence-driven medical communications strategy and innovation for pharma and biotech worldwide; Medical Affairs Strategy; Medical Communications; Workday,high,employer_database_master.csv; medical_communications_universe.csv; phase3c_browser_queue_20260620.json,cursor/medical-communications-discovery-87dc; main (phase3c_sync_minimum.zip),Company homepage - global medical affairs agency; Medical writing agency; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Applied Environmental Inc.,appenv.com,https://www.appenv.com,environmental_occupational_health,"Environmental Consulting Firm; Environmental Health, Industrial Hygiene, Occupational Safety",high,environmental_occupational_health_universe.csv,cursor/environmental-occupational-health-discovery-886b,Provides environmental industrial hygiene occupational safety and health consulting to private sector and government
Applied Research Institute,theari.us,https://www.theari.us,survey_policy_research,Applied Research; Action research addressing real-world problems,high,survey_policy_research_universe.csv,cursor/survey-policy-research-universe-e49c,Nonprofit applied research institute; appeared across multiple result pages
APPRISE,appriseinc.org,https://www.appriseinc.org,survey_policy_research,Policy Research; Public policy research and data collection and analysis,high,survey_policy_research_universe.csv,cursor/survey-policy-research-universe-e49c,Applied Public Policy Research Institute for Study and Evaluation
Aptar Digital Health,aptardigitalhealth.com,https://www.aptardigitalhealth.com,digital_health,Digital Health; Digital health drug delivery and patient engagement solutions,high,digital_health_universe.csv,cursor/digital-health-universe-discovery-c955,Aptar Pharma digital health division
Arcadia,arcadia.io,https://arcadia.io,digital_health,Consulting; Digital Health; HEOR; Healthcare Analytics; Lever; RWE; Value-based care analytics and population risk management,high,digital_health_universe.csv; employer_database_master.csv; phase3c_browser_queue_20260620.json,cursor/digital-health-universe-discovery-c955; main (phase3c_sync_minimum.zip),HEOR/RWE/epi consulting; Population health; Population health data; Population health insights and quality metrics; R20 new; failure_reason=no_matching_roles
Arcus Biosciences,arcusbio.com,https://arcusbio.com/careers/,Biotech Companies,Biotech Companies; Greenhouse,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Oncology biotech; failure_reason=fetch_failed:HTTP Error 403: Forbidden
Argenx,argenx.com,https://www.argenx.com,pharma_biotech,Biotech Companies; Biotechnology; Investigating efgartigimod for treatment of several severe autoimmune diseases; Workday; marketed as VYVGART,high,employer_database_master.csv; pharma_biotech_universe.csv; phase3c_browser_queue_20260620.json,cursor/pharma-biotech-universe-bfec; main (phase3c_sync_minimum.zip),Commercial biotech; Immunology biotech; failure_reason=fetch_failed:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)>
Arizona Department of Health,azstatejobs.gov,https://azstatejobs.gov/,Government / Public Health,Custom; Government; Public Health; USAJobs,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),State public health; failure_reason=no_content
Arizona Industrial Commission,azica.gov,https://www.azica.gov,environmental_occupational_health,Government - State; Injury Prevention,medium,environmental_occupational_health_universe.csv,cursor/environmental-occupational-health-discovery-886b,Handles Arizona Industrial Commission Workers Compensation OSHA and Labor Laws
Arkansas Children's Hospital,archildrens.org,https://www.archildrens.org,hospital_system,Children's Hospital; Hospital Systems; Workday,high,employer_database_master.csv; hospital_system_universe.csv; phase3c_browser_queue_20260620.json,cursor/hospital-discovery-agent-b-d6aa; main (phase3c_sync_minimum.zip),Hospital/cancer center; Research and foundation with multiple Arkansas locations; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>; population health research
Arkansas Department of Health,arcareers.arkansas.gov,https://www.arcareers.arkansas.gov/,Government / Public Health,Government; Public Health; USAJobs,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),State public health; failure_reason=fetch_failed:<urlopen error [Errno -2] Name or service not known>
Arkansas SHARE,sharearkansas.com,https://www.sharearkansas.com,clinical_informatics_healthit,HIE; Arkansas state health information exchange for secure health data access,high,clinical_informatics_healthit_universe.csv,cursor/clinical-informatics-healthit-universe-78ec,Arkansas statewide HIE
Arnold Ventures,arnoldventures.org,https://www.arnoldventures.org/careers,Research Organizations,Paylocity; Research Organizations,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Health policy philanthropy; failure_reason=no_matching_roles
Articulate Science,articulatescience.com,https://www.articulatescience.com/careers,Medical Communications,Custom; Medical Communications,medium,employer_database_master.csv; phase3c_browser_queue_20260620.json,main (phase3c_sync_minimum.zip),Medical writing boutique; failure_reason=fetch_failed:HTTP Error 403: Forbidden
