employer,result_title,google_result_url,apparent_domain,inferred_category,confidence,discovery_notes
UC Berkeley School of Public Health,Job Openings | UC Berkeley Public Health,https://publichealth.berkeley.edu/about-us/jobs,publichealth.berkeley.edu,University,High,UC Berkeley public health school job opportunities
Wadsworth Center,Employment Opportunities | New York State Department of Health,https://www.wadsworth.org/about-us,www.wadsworth.org,Research Institute,High,New York State research institute employment opportunities
Dana-Farber Cancer Institute,Clinical Research Jobs at Dana-Farber Cancer Institute,https://careers.dana-farber.org/jobs/clinical-research,careers.dana-farber.org,Research Institute,High,Cancer research institute with clinical research career opportunities
Keck School of Medicine of USC,Careers - Department of Population and Public Health Sciences,https://keck.usc.edu/pshs/careers,keck.usc.edu,Academic Medical Center,High,USC medical school population health sciences careers
Alabama Department of Public Health,Employment Opportunities,https://www.alabamapublichealth.gov/employment/opportunities,www.alabamapublichealth.gov,Government,High,State public health department employment opportunities
UNM Health Sciences Center,Career Opportunities,https://hsc.unm.edu/students-prospective/career-opportunities,hsc.unm.edu,Academic Medical Center,High,University of New Mexico health sciences career opportunities
Boston Scientific,Health Economics & Reimbursement Jobs,https://jobs.bostonscientific.com/health-economics-and-reimbursement,jobs.bostonscientific.com,Medical Device,High,Medical device company with health economics career opportunities
University of Missouri School of Medicine,Employment - University of Missouri School of Medicine,https://medicine.missouri.edu/centers-institutes-labs/careers,medicine.missouri.edu,Academic Medical Center,High,Medical school employment opportunities including epidemiology
Tulane University,Epidemiology Employment,https://rsph.tulane.edu/epid/employment,rsph.tulane.edu,University,High,Tulane School of Public Health epidemiology employment
UT Health San Antonio,Careers | Population Health Sciences - School of Medicine,https://uthscsa.uthhealth.edu/phs/career,uthscsa.uthhealth.edu,Academic Medical Center,High,UT Health population health sciences careers
Microsoft Research,Real-world Evidence - Microsoft Research: Opportunities,https://www.microsoft.com/home/groups,www.microsoft.com,Health Technology,Medium,Microsoft research opportunities in real-world evidence and health data science
City of Hope,Clinical Research Jobs at City of Hope,https://www.cityofhope.jobs.org/clinical-research-jobs,www.cityofhope.jobs.org,Academic Medical Center,High,Comprehensive cancer center with clinical research opportunities
Tennessee Department of Health,Careers,https://www.tn.gov/health/careers,www.tn.gov,Government,High,State health department career opportunities
Beth Israel Lahey Health,Medical/Clinical Research,https://jobs.bilh.org/jobs/family/medical-clinical-research,jobs.bilh.org,Hospital System,High,Hospital system with clinical research career opportunities
King County Public Health,Jobs at Public Health - King County Washington,https://kingcounty.gov/dept/dph/jobs,kingcounty.gov,Government,High,Official King County government career page for Seattle and King County Public Health department
University of Alabama at Birmingham School of Public Health,Prospective Faculty and Staff | School of Public Health,https://www.uab.edu/shp/about/prospective-faculty-and-staff,www.uab.edu,University,High,UAB School of Public Health official employment opportunities page for faculty and staff
District 4 Public Health Georgia,Careers - District 4 Public Health,https://www.district4health.org/about-us/careers,www.district4health.org,Government,High,Official careers page for Georgia District 4 Public Health department
Colorado Department of Public Health and Environment,Careers,https://cdphe.colorado.gov/careers,cdphe.colorado.gov,Government,High,Official Colorado state government career page for Department of Public Health and Environment
